,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,191,2625,Admir Mehmedi_2019_Wolfsburg,0.573282030199449,50.0,2019,Wolfsburg,Bundesliga,Admir Mehmedi,SUI,"FW,MF",27,1991,26,20,1692,18.8,6,5,11,6,0,0,1,0,4.0,4.0,3.6,7.6,36.0,74.0,176.0,0.32,0.27,0.59,0.32,0.59,0.21,0.19,0.41,0.21,0.41,https://fbref.com/en/players/b500b384/Admir-Mehmedi,18.8,6,36,13,36.1,1.91,0.69,0.17,0.46,17.1,1.0,0,0,0.11,2.0,2.0,562.0,784.0,71.7,8285.0,2441.0,315.0,381.0,82.7,153.0,207.0,73.9,47.0,101.0,46.5,3.6,4.3,1.4,36.0,28.0,27.0,7.0,74.0,784.0,671.0,109.0,22.0,4.0,6.0,78,25.0,47.0,14.0,16.0,2.0,562.0,4.0,23.0,78.0,4.15,47.0,16.0,3.0,5.0,6.0,1.0,10.0,0.53,5.0,1.0,0.0,2.0,1.0,1.0,46.0,28,19.0,19.0,8.0,18.0,44.0,40.9,26.0,25.0,0.0,25.0,12,58.0,9.0,0.0,1007.0,9.0,130.0,418.0,468.0,78.0,1007.0,29.0,13.0,44.8,16.0,55.2,533.0,2681.0,1112.0,36.0,30.0,17.0,45.0,28.0,654.0,176.0,26,1692,65,55.3,18.8,20,78.0,7,6,22.0,1,1.69,35,25,10,0.53,0.4,25.9,25.2,0.7,0.04,0.13,0,28,38,17,78,28,0.0,0.0,0,84.0,24.0,39.0,38.1,-,Second Striker,3/16/1991,,Switzerland,Without Club,1.83,right,1/31/2018,Bayer 04 Leverkusen,,8000000.0,https://www.transfermarkt.com/admir-mehmedi/profil/spieler/66058
1,192,5355,Admir Mehmedi_2020_Wolfsburg,1.337857935992097,73.08,2020,Wolfsburg,Bundesliga,Admir Mehmedi,SUI,"MF,FW",28,1991,21,14,1200,13.3,2,2,4,2,0,0,0,0,1.6,1.6,2.0,3.7,14.0,55.0,94.0,0.15,0.15,0.3,0.15,0.3,0.12,0.15,0.28,0.12,0.28,https://fbref.com/en/players/b500b384/Admir-Mehmedi,13.3,2,23,9,39.1,1.72,0.68,0.09,0.22,17.1,0.0,0,0,0.07,0.4,0.4,410.0,570.0,71.9,5893.0,1650.0,239.0,285.0,83.9,106.0,147.0,72.1,31.0,69.0,44.9,2.0,2.3,0.0,19.0,37.0,15.0,3.0,55.0,570.0,512.0,57.0,16.0,4.0,7.0,41,11.0,20.0,5.0,11.0,0.0,410.0,1.0,16.0,42.0,3.15,29.0,7.0,0.0,2.0,4.0,0.0,6.0,0.45,5.0,0.0,0.0,0.0,1.0,0.0,14.0,6,2.0,9.0,3.0,4.0,15.0,26.7,11.0,10.0,0.0,10.0,5,19.0,4.0,0.0,687.0,6.0,71.0,326.0,295.0,34.0,687.0,12.0,6.0,50.0,6.0,50.0,387.0,1589.0,742.0,14.0,17.0,5.0,22.0,18.0,511.0,94.0,21,1200,57,39.2,13.3,14,74.0,2,7,24.0,0,1.57,20,15,5,0.37,0.52,18.9,15.5,3.4,0.25,-0.06,0,25,25,9,41,6,0.0,0.0,0,67.0,22.0,26.0,45.8,-,Second Striker,3/16/1991,,Switzerland,Without Club,1.83,right,1/31/2018,Bayer 04 Leverkusen,,4000000.0,https://www.transfermarkt.com/admir-mehmedi/profil/spieler/66058
2,193,8171,Admir Mehmedi_2021_Wolfsburg,-0.014953856906748286,42.309999999999995,2021,Wolfsburg,Bundesliga,Admir Mehmedi,SUI,"MF,FW",29,1991,18,8,820,9.1,0,2,2,0,0,0,0,0,0.6,0.6,2.4,3.0,17.0,71.0,60.0,0.0,0.22,0.22,0.0,0.22,0.07,0.27,0.33,0.07,0.33,https://fbref.com/en/players/b500b384/Admir-Mehmedi,9.1,0,7,3,42.9,0.77,0.33,0.0,0.0,16.3,0.0,0,0,0.09,-0.6,-0.6,340.0,440.0,77.3,4998.0,1304.0,185.0,220.0,84.1,106.0,132.0,80.3,21.0,36.0,58.3,2.4,2.5,-0.4,18.0,35.0,17.0,1.0,71.0,440.0,410.0,28.0,7.0,1.0,8.0,20,4.0,7.0,2.0,1.0,0.0,340.0,2.0,13.0,39.0,4.28,33.0,1.0,1.0,2.0,2.0,0.0,3.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,17.0,9,6.0,7.0,4.0,6.0,16.0,37.5,10.0,7.0,0.0,7.0,5,22.0,1.0,0.0,528.0,4.0,47.0,246.0,238.0,33.0,528.0,8.0,7.0,87.5,1.0,12.5,270.0,1186.0,498.0,17.0,19.0,4.0,24.0,18.0,385.0,60.0,18,820,46,26.8,9.1,8,76.0,0,10,21.0,10,1.94,15,8,7,0.77,0.09,13.8,11.4,2.3,0.26,0.07,0,19,15,10,20,9,0.0,0.0,0,45.0,5.0,19.0,20.8,-,Second Striker,3/16/1991,,Switzerland,Without Club,1.83,right,1/31/2018,Bayer 04 Leverkusen,,1000000.0,https://www.transfermarkt.com/admir-mehmedi/profil/spieler/66058
3,2249,10746,Chris Fuhrich_2022_Stuttgart,1.7603578111430256,84.61999999999999,2022,Stuttgart,Bundesliga,Chris FÃƒÂ¼hrich,GER,"FW,MF",23,1998,25,21,1714,19.0,3,2,5,3,0,0,3,0,3.2,3.2,4.2,7.4,61.0,69.0,102.0,0.16,0.11,0.26,0.16,0.26,0.17,0.22,0.39,0.17,0.39,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,19.0,3,30,12,40.0,1.58,0.63,0.1,0.25,19.6,0.0,0,0,0.11,-0.2,-0.2,553.0,698.0,79.2,8245.0,2406.0,292.0,331.0,88.2,173.0,212.0,81.6,42.0,77.0,54.5,4.2,4.9,-2.2,32.0,39.0,28.0,5.0,69.0,698.0,610.0,84.0,28.0,4.0,4.0,61,26.0,23.0,4.0,17.0,0.0,553.0,4.0,15.0,64.0,3.36,40.0,13.0,5.0,2.0,4.0,0.0,4.0,0.21,1.0,2.0,0.0,1.0,0.0,0.0,28.0,16,10.0,10.0,8.0,18.0,39.0,46.2,21.0,31.0,2.0,29.0,8,36.0,9.0,0.0,900.0,16.0,109.0,412.0,402.0,41.0,900.0,65.0,40.0,61.5,25.0,38.5,521.0,3376.0,1684.0,61.0,41.0,11.0,42.0,23.0,581.0,102.0,25,1714,69,56.0,19.0,21,76.0,5,4,30.0,0,1.0,21,27,-6,-0.32,0.49,24.3,30.2,-5.9,-0.31,-0.02,0,9,19,2,61,16,0.0,0.0,0,107.0,3.0,12.0,20.0,27,Second Striker,1/9/1998,,Germany,VfB Stuttgart,1.81,right,7/19/2021,SC Paderborn 07,6/30/2025,4000000.0,https://www.transfermarkt.com/chris-fuhrich/profil/spieler/272278
4,2250,13616,Chris Fuhrich_2023_Stuttgart,1.4073219752215347,76.92,2023,Stuttgart,Bundesliga,Chris FÃƒÂ¼hrich,GER,"FW,MF",24,1998,33,21,1884,20.9,5,2,7,4,1,1,2,0,3.6,2.9,4.8,7.6,93.0,83.0,142.0,0.24,0.1,0.33,0.19,0.29,0.17,0.23,0.4,0.14,0.37,https://fbref.com/en/players/0cf778df/Chris-Fuhrich,20.9,5,43,13,30.2,2.05,0.62,0.09,0.31,18.5,0.0,1,1,0.07,1.4,1.1,552.0,704.0,78.4,8781.0,2032.0,300.0,342.0,87.7,195.0,236.0,82.6,43.0,78.0,55.1,4.8,3.5,-2.8,24.0,43.0,21.0,3.0,83.0,704.0,633.0,69.0,9.0,2.0,13.0,50,21.0,31.0,6.0,18.0,0.0,552.0,2.0,15.0,79.0,3.77,52.0,11.0,7.0,6.0,3.0,0.0,9.0,0.43,7.0,2.0,0.0,0.0,0.0,0.0,36.0,14,15.0,14.0,7.0,24.0,44.0,54.5,20.0,29.0,2.0,27.0,7,43.0,13.0,0.0,948.0,16.0,131.0,376.0,461.0,69.0,947.0,106.0,50.0,47.2,45.0,42.5,575.0,4471.0,2403.0,93.0,60.0,31.0,36.0,29.0,641.0,142.0,33,1884,57,61.6,20.9,21,72.0,1,12,31.0,0,0.91,27,35,-8,-0.38,-0.08,27.8,28.7,-0.9,-0.04,-0.3,0,6,10,3,50,14,0.0,0.0,0,104.0,3.0,10.0,23.1,27,Second Striker,1/9/1998,,Germany,,1.81,right,7/19/2021,SC Paderborn 07,6/30/2025,4000000.0,https://www.transfermarkt.com/chris-fuhrich/profil/spieler/272278
5,2369,4632,Christopher Nkunku_2020_RB Leipzig,-3.163148156543995,3.85,2020,RB Leipzig,Bundesliga,Christopher Nkunku,FRA,"MF,FW",21,1997,32,21,1925,21.4,5,13,18,5,0,0,2,0,7.8,7.8,9.2,16.9,86.0,94.0,184.0,0.23,0.61,0.84,0.23,0.84,0.36,0.43,0.79,0.36,0.79,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,21.4,5,52,24,46.2,2.43,1.12,0.1,0.21,18.6,3.0,0,0,0.15,-2.8,-2.8,661.0,841.0,78.6,9823.0,3507.0,381.0,427.0,89.2,167.0,207.0,80.7,63.0,128.0,49.2,9.2,8.3,3.8,74.0,49.0,32.0,3.0,94.0,841.0,700.0,138.0,33.0,5.0,3.0,121,22.0,80.0,44.0,32.0,0.0,661.0,3.0,17.0,127.0,5.94,69.0,34.0,9.0,6.0,8.0,1.0,23.0,1.08,13.0,6.0,1.0,2.0,1.0,0.0,21.0,13,4.0,11.0,6.0,9.0,33.0,27.3,24.0,25.0,2.0,23.0,20,41.0,8.0,0.0,1118.0,12.0,92.0,452.0,592.0,86.0,1118.0,90.0,55.0,61.1,35.0,38.9,677.0,4337.0,2399.0,86.0,48.0,31.0,50.0,31.0,750.0,184.0,32,1925,60,62.9,21.4,21,78.0,9,11,26.0,2,1.88,56,20,36,1.68,1.05,50.1,19.6,30.5,1.42,1.26,0,24,40,6,121,13,1.0,0.0,0,80.0,25.0,41.0,37.9,-,Second Striker,11/14/1997,,France,Chelsea FC,1.78,right,7/18/2019,Paris Saint-Germain,6/30/2029,43000000.0,https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381
6,2370,7402,Christopher Nkunku_2021_RB Leipzig,-2.065290576211011,19.23,2021,RB Leipzig,Bundesliga,Christopher Nkunku,FRA,"FW,MF",22,1997,28,19,1892,21.0,6,6,12,6,0,0,2,0,6.9,6.9,7.1,13.9,65.0,76.0,207.0,0.29,0.29,0.57,0.29,0.57,0.33,0.34,0.66,0.33,0.66,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,21.0,6,55,26,47.3,2.62,1.24,0.11,0.23,18.2,6.0,0,0,0.12,-0.9,-0.9,761.0,1001.0,76.0,10722.0,3271.0,441.0,499.0,88.4,212.0,270.0,78.5,50.0,131.0,38.2,7.1,7.5,-1.1,71.0,57.0,31.0,6.0,76.0,1001.0,838.0,156.0,48.0,1.0,4.0,145,15.0,92.0,52.0,29.0,0.0,761.0,7.0,19.0,143.0,6.8,69.0,40.0,9.0,8.0,16.0,1.0,16.0,0.76,10.0,2.0,2.0,1.0,1.0,0.0,16.0,11,3.0,7.0,6.0,8.0,18.0,44.4,10.0,27.0,1.0,26.0,9,25.0,14.0,0.0,1261.0,15.0,89.0,476.0,710.0,104.0,1261.0,61.0,36.0,59.0,25.0,41.0,738.0,4050.0,1975.0,65.0,51.0,20.0,57.0,36.0,915.0,207.0,28,1892,68,61.8,21.0,19,85.0,10,9,30.0,0,1.96,40,17,23,1.09,0.71,41.6,14.5,27.1,1.29,0.68,0,39,50,16,145,11,1.0,0.0,0,85.0,29.0,29.0,50.0,-,Second Striker,11/14/1997,,France,Chelsea FC,1.78,right,7/18/2019,Paris Saint-Germain,6/30/2029,80000000.0,https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381
7,2371,10283,Christopher Nkunku_2022_RB Leipzig,-2.2116622180980547,15.379999999999999,2022,RB Leipzig,Bundesliga,Christopher Nkunku,FRA,"FW,MF",23,1997,34,31,2723,30.3,20,13,33,19,1,1,2,0,16.1,15.3,9.7,25.0,100.0,117.0,284.0,0.66,0.43,1.09,0.63,1.06,0.53,0.32,0.85,0.51,0.83,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,30.3,20,81,39,48.1,2.68,1.29,0.23,0.49,16.3,8.0,1,1,0.19,3.9,3.7,813.0,1037.0,78.4,11116.0,2829.0,452.0,523.0,86.4,237.0,294.0,80.6,45.0,80.0,56.3,9.7,10.0,3.3,64.0,47.0,60.0,6.0,117.0,1037.0,979.0,56.0,15.0,12.0,4.0,64,11.0,29.0,14.0,6.0,0.0,813.0,2.0,25.0,145.0,4.79,92.0,9.0,17.0,12.0,13.0,2.0,31.0,1.02,19.0,0.0,5.0,2.0,4.0,1.0,23.0,10,10.0,11.0,2.0,9.0,35.0,25.7,26.0,23.0,2.0,21.0,15,38.0,15.0,0.0,1396.0,18.0,91.0,535.0,791.0,192.0,1395.0,99.0,66.0,66.7,32.0,32.3,856.0,4874.0,2388.0,100.0,55.0,52.0,109.0,50.0,1093.0,284.0,34,2723,80,89.0,30.3,31,84.0,18,3,41.0,0,1.71,65,34,31,1.02,-0.04,59.0,37.3,21.7,0.72,-0.01,0,31,61,13,64,10,3.0,0.0,0,103.0,26.0,28.0,48.1,-,Second Striker,11/14/1997,,France,Chelsea FC,1.78,right,7/18/2019,Paris Saint-Germain,6/30/2029,80000000.0,https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381
8,2372,13145,Christopher Nkunku_2023_RB Leipzig,-0.6578099821966182,30.769999999999996,2023,RB Leipzig,Bundesliga,Christopher Nkunku,FRA,"FW,MF",24,1997,25,20,1897,21.1,16,4,20,13,3,4,4,0,14.4,11.3,4.3,15.6,43.0,71.0,176.0,0.76,0.19,0.95,0.62,0.81,0.68,0.2,0.89,0.54,0.74,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,21.1,16,70,25,35.7,3.32,1.19,0.19,0.52,15.9,7.0,3,4,0.16,1.6,1.7,497.0,620.0,80.2,7415.0,1852.0,289.0,335.0,86.3,136.0,160.0,85.0,44.0,66.0,66.7,4.3,4.6,-0.3,39.0,35.0,28.0,2.0,71.0,620.0,580.0,37.0,11.0,11.0,5.0,17,5.0,6.0,2.0,2.0,0.0,497.0,3.0,20.0,98.0,4.65,62.0,3.0,16.0,10.0,7.0,0.0,14.0,0.66,7.0,0.0,3.0,1.0,3.0,0.0,6.0,4,2.0,1.0,3.0,1.0,6.0,16.7,5.0,8.0,3.0,5.0,8,14.0,11.0,0.0,854.0,17.0,57.0,356.0,448.0,128.0,850.0,77.0,38.0,49.4,27.0,35.1,588.0,2929.0,1225.0,43.0,23.0,23.0,45.0,38.0,672.0,176.0,25,1897,76,62.0,21.1,20,88.0,15,5,29.0,0,2.08,44,28,16,0.76,0.22,43.4,22.3,21.1,1.0,0.66,0,18,37,12,17,4,3.0,0.0,0,59.0,17.0,26.0,39.5,,Second Striker,,,,,,,,,,80000000.0,
9,7926,884,Luca Waldschmidt_2019_Freiburg,1.310868688675994,69.23,2019,Freiburg,Bundesliga,Luca Waldschmidt,GER,"FW,MF",22,1996,30,16,1717,19.1,9,1,10,6,3,3,1,0,7.9,5.6,2.3,7.9,38.0,75.0,86.0,0.47,0.05,0.52,0.31,0.37,0.42,0.12,0.53,0.29,0.41,https://fbref.com/en/players/e5a35ae9/Luca-Waldschmidt,19.1,9,61,27,44.3,3.2,1.42,0.1,0.22,20.9,3.0,3,3,0.09,1.1,0.4,479.0,618.0,77.5,8090.0,1957.0,217.0,245.0,88.6,190.0,229.0,83.0,53.0,94.0,56.4,2.3,2.7,-1.3,23.0,62.0,12.0,3.0,75.0,618.0,569.0,47.0,8.0,5.0,5.0,36,1.0,30.0,20.0,4.0,1.0,479.0,2.0,10.0,63.0,3.3,36.0,5.0,5.0,10.0,5.0,2.0,8.0,0.42,4.0,0.0,0.0,2.0,2.0,0.0,20.0,13,7.0,10.0,3.0,2.0,20.0,10.0,18.0,20.0,3.0,17.0,13,33.0,8.0,1.0,820.0,6.0,86.0,443.0,298.0,50.0,817.0,38.0,20.0,52.6,18.0,47.4,433.0,2618.0,1187.0,38.0,29.0,13.0,36.0,22.0,584.0,86.0,30,1717,57,56.1,19.1,16,82.0,5,14,29.0,2,1.03,29,35,-6,-0.31,0.29,25.5,33.0,-7.5,-0.4,0.46,0,33,26,2,36,13,1.0,0.0,0,71.0,12.0,31.0,27.9,-,Second Striker,5/19/1996,,Germany,1.FC KÃƒÂ¶ln,1.81,left,7/1/2018,Hamburger SV,6/30/2024,16000000.0,https://www.transfermarkt.com/luca-waldschmidt/profil/spieler/196095
10,7927,3547,Luca Waldschmidt_2020_Freiburg,2.0117182151268893,92.31,2020,Freiburg,Bundesliga,Luca Waldschmidt,GER,"FW,MF",23,1996,23,14,1268,14.1,7,1,8,4,3,3,3,0,4.9,2.5,1.4,3.9,17.0,36.0,71.0,0.5,0.07,0.57,0.28,0.35,0.35,0.1,0.44,0.18,0.27,https://fbref.com/en/players/e5a35ae9/Luca-Waldschmidt,14.1,7,40,9,22.5,2.84,0.64,0.1,0.44,18.7,1.0,3,3,0.06,2.1,1.5,286.0,385.0,74.3,4154.0,905.0,161.0,193.0,83.4,101.0,123.0,82.1,11.0,22.0,50.0,1.4,1.2,-0.4,11.0,24.0,11.0,2.0,36.0,385.0,373.0,11.0,1.0,5.0,1.0,7,0.0,0.0,0.0,0.0,0.0,286.0,1.0,21.0,42.0,2.98,26.0,1.0,6.0,5.0,4.0,0.0,4.0,0.28,2.0,0.0,1.0,0.0,1.0,0.0,10.0,7,3.0,5.0,2.0,2.0,18.0,11.1,16.0,11.0,2.0,9.0,4,14.0,4.0,0.0,535.0,5.0,59.0,269.0,211.0,58.0,532.0,33.0,14.0,42.4,19.0,57.6,313.0,1586.0,690.0,17.0,25.0,8.0,32.0,15.0,407.0,71.0,23,1268,55,41.4,14.1,14,75.0,4,9,24.0,1,1.57,22,18,4,0.28,0.43,18.8,24.7,-5.9,-0.42,0.18,0,16,11,6,7,7,1.0,0.0,0,35.0,12.0,20.0,37.5,,Second Striker,,,,,,,,,,16000000.0,
11,7928,11102,Luca Waldschmidt_2022_Wolfsburg,3.983275847198481,96.15,2022,Wolfsburg,Bundesliga,Luca Waldschmidt,GER,"MF,FW",25,1996,14,9,717,8.0,1,0,1,1,0,0,2,0,1.8,1.8,0.4,2.2,5.0,20.0,43.0,0.13,0.0,0.13,0.13,0.13,0.23,0.05,0.28,0.23,0.28,https://fbref.com/en/players/e5a35ae9/Luca-Waldschmidt,8.0,1,17,3,17.6,2.13,0.38,0.06,0.33,17.7,0.0,0,0,0.11,-0.8,-0.8,189.0,242.0,78.1,2630.0,649.0,98.0,118.0,83.1,63.0,74.0,85.1,10.0,12.0,83.3,0.4,0.9,-0.4,5.0,19.0,4.0,1.0,20.0,242.0,231.0,10.0,2.0,0.0,1.0,7,1.0,2.0,0.0,0.0,0.0,189.0,1.0,9.0,13.0,1.63,7.0,2.0,0.0,3.0,1.0,0.0,2.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1,3.0,5.0,1.0,5.0,13.0,38.5,8.0,5.0,0.0,5.0,8,17.0,3.0,0.0,331.0,3.0,56.0,155.0,123.0,21.0,331.0,15.0,6.0,40.0,9.0,60.0,185.0,782.0,261.0,5.0,8.0,2.0,24.0,13.0,235.0,43.0,14,717,51,23.4,8.0,9,68.0,2,5,21.0,6,0.57,4,15,-11,-1.38,-1.38,10.3,10.2,0.1,0.01,-0.01,0,10,8,0,7,1,1.0,0.0,0,37.0,2.0,12.0,14.3,-,Second Striker,5/19/1996,,Germany,1.FC KÃƒÂ¶ln,1.81,left,8/22/2021,SL Benfica,6/30/2024,3000000.0,https://www.transfermarkt.com/luca-waldschmidt/profil/spieler/196095
