,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
10,1248,3738,Antonio Candreva_2020_Inter,-1.09310950244751,25.419999999999998,2020,Inter,Serie A,Antonio Candreva,ITA,DF,32,1987,32,24,1993,22.1,5,7,12,5,0,0,5,0,2.3,2.3,5.3,7.6,80.0,104.0,221.0,0.23,0.32,0.54,0.23,0.54,0.1,0.24,0.34,0.1,0.34,https://fbref.com/en/players/356c9002/Antonio-Candreva,22.1,5,42,14,33.3,1.9,0.63,0.12,0.36,21.7,0.0,0,0,0.05,2.7,2.7,1041.0,1368.0,76.1,19184.0,6030.0,496.0,550.0,90.2,399.0,516.0,77.3,130.0,229.0,56.8,5.3,5.0,1.7,47.0,72.0,59.0,27.0,104.0,1368.0,1140.0,219.0,10.0,0.0,37.0,178,177.0,32.0,3.0,24.0,0.0,1041.0,9.0,40.0,89.0,4.02,65.0,13.0,3.0,5.0,3.0,0.0,12.0,0.54,8.0,2.0,0.0,2.0,0.0,0.0,11.0,6,9.0,1.0,1.0,7.0,29.0,24.1,22.0,26.0,10.0,16.0,14,25.0,33.0,1.0,1553.0,53.0,326.0,608.0,630.0,57.0,1553.0,21.0,10.0,47.6,11.0,52.4,855.0,5145.0,2728.0,80.0,39.0,17.0,30.0,9.0,1060.0,221.0,32,1993,62,58.3,22.1,24,77.0,9,8,18.0,4,2.22,51,26,25,1.13,-0.13,41.0,25.4,15.6,0.71,-0.12,0,15,20,13,178,6,1.0,0.0,0,108.0,5.0,4.0,55.6,,Right Midfield,,,,,,,,,,2500000.0,
11,1249,7609,Antonio Candreva_2021_Sampdoria,0.6365845543843098,62.71,2021,Sampdoria,Serie A,Antonio Candreva,ITA,MF,33,1987,35,28,2505,27.8,5,8,13,3,2,2,1,0,4.9,3.4,5.9,9.2,122.0,196.0,180.0,0.18,0.29,0.47,0.11,0.4,0.18,0.21,0.39,0.12,0.33,https://fbref.com/en/players/356c9002/Antonio-Candreva,27.8,5,55,18,32.7,1.98,0.65,0.05,0.17,22.8,4.0,2,2,0.06,0.1,-0.4,1093.0,1640.0,66.6,20366.0,7427.0,548.0,611.0,89.7,336.0,513.0,65.5,180.0,385.0,46.8,5.9,6.2,2.1,63.0,120.0,67.0,24.0,196.0,1640.0,1405.0,227.0,59.0,2.0,60.0,291,62.0,106.0,24.0,58.0,0.0,1093.0,8.0,66.0,118.0,4.24,71.0,30.0,4.0,8.0,4.0,1.0,15.0,0.54,9.0,3.0,0.0,2.0,1.0,0.0,28.0,19,17.0,9.0,2.0,21.0,53.0,39.6,32.0,24.0,3.0,21.0,9,37.0,27.0,1.0,1891.0,45.0,277.0,821.0,817.0,52.0,1889.0,51.0,29.0,56.9,22.0,43.1,1146.0,7741.0,4000.0,122.0,80.0,9.0,48.0,11.0,1303.0,180.0,35,2505,72,73.2,27.8,28,84.0,14,7,20.0,0,1.31,37,36,1,0.04,0.33,31.3,39.7,-8.4,-0.3,-0.08,0,15,29,10,291,19,1.0,0.0,0,160.0,3.0,8.0,27.3,-,Right Midfield,2/28/1987,,Italy,US Salernitana 1919,1.8,right,7/1/2021,Inter Milan,6/30/2024,2500000.0,https://www.transfermarkt.com/antonio-candreva/profil/spieler/25488
12,1250,10563,Antonio Candreva_2022_Sampdoria,1.4315035906431863,83.05,2022,Sampdoria,Serie A,Antonio Candreva,ITA,"MF,FW",34,1987,36,36,3119,34.7,7,10,17,6,1,2,6,1,5.8,4.2,7.2,11.4,105.0,201.0,223.0,0.2,0.29,0.49,0.17,0.46,0.17,0.21,0.38,0.12,0.33,https://fbref.com/en/players/356c9002/Antonio-Candreva,34.7,7,72,19,26.4,2.08,0.55,0.08,0.32,21.9,4.0,1,2,0.06,1.2,1.8,1296.0,1948.0,66.5,23792.0,8485.0,617.0,730.0,84.5,397.0,600.0,66.2,221.0,444.0,49.8,7.2,8.3,2.8,78.0,138.0,76.0,31.0,201.0,1948.0,1679.0,254.0,78.0,11.0,51.0,343,62.0,114.0,22.0,67.0,0.0,1296.0,15.0,60.0,139.0,4.01,84.0,36.0,7.0,7.0,5.0,0.0,16.0,0.46,10.0,4.0,0.0,1.0,1.0,0.0,27.0,16,9.0,11.0,7.0,19.0,55.0,34.5,36.0,23.0,2.0,21.0,33,60.0,19.0,0.0,2263.0,43.0,328.0,1007.0,955.0,80.0,2261.0,51.0,21.0,41.2,30.0,58.8,1424.0,7478.0,3352.0,105.0,97.0,23.0,58.0,35.0,1627.0,223.0,36,3119,87,91.2,34.7,36,87.0,24,0,,0,1.0,44,56,-12,-0.35,1.15,34.2,48.2,-14.0,-0.4,1.19,0,19,48,14,343,16,0.0,0.0,0,193.0,2.0,7.0,22.2,-,Right Midfield,2/28/1987,,Italy,US Salernitana 1919,1.8,right,7/1/2021,Inter Milan,6/30/2024,1500000.0,https://www.transfermarkt.com/antonio-candreva/profil/spieler/25488
13,1251,13343,Antonio Candreva_2023_Salernitana,0.196284150958102,59.31999999999999,2023,Salernitana,Serie A,Antonio Candreva,ITA,"MF,DF",35,1987,35,32,2726,30.3,7,4,11,7,0,0,3,1,3.7,3.7,4.7,8.3,71.0,135.0,171.0,0.23,0.13,0.36,0.23,0.36,0.12,0.15,0.27,0.12,0.27,https://fbref.com/en/players/356c9002/Antonio-Candreva,30.3,7,46,20,43.5,1.52,0.66,0.15,0.35,22.2,3.0,0,0,0.08,3.3,3.3,1165.0,1597.0,72.9,19672.0,6882.0,604.0,660.0,91.5,393.0,536.0,73.3,124.0,285.0,43.5,4.7,4.9,-0.7,57.0,98.0,55.0,30.0,135.0,1597.0,1350.0,243.0,53.0,5.0,25.0,218,125.0,61.0,9.0,26.0,0.0,1165.0,4.0,46.0,99.0,3.27,67.0,22.0,2.0,5.0,3.0,0.0,11.0,0.36,9.0,1.0,0.0,1.0,0.0,0.0,17.0,7,13.0,2.0,2.0,11.0,38.0,28.9,27.0,7.0,3.0,4.0,17,34.0,32.0,0.0,1802.0,48.0,332.0,783.0,708.0,46.0,1802.0,34.0,8.0,23.5,14.0,41.2,1093.0,5695.0,2245.0,71.0,50.0,10.0,25.0,13.0,1298.0,171.0,35,2726,78,79.7,30.3,32,83.0,18,3,21.0,0,1.17,41,46,-5,-0.17,1.0,30.3,50.1,-19.8,-0.65,0.73,1,7,35,10,218,7,0.0,1.0,0,135.0,2.0,5.0,28.6,-,Right Midfield,2/28/1987,,Italy,,1.8,right,7/1/2023,UC Sampdoria,6/30/2024,1500000.0,https://www.transfermarkt.com/antonio-candreva/profil/spieler/25488
14,1657,2043,Benjamin Bourigeaud_2019_Rennes,-0.12340524181857655,45.76,2019,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"MF,FW",24,1994,34,28,2425,26.9,6,5,11,4,2,3,5,0,6.5,4.2,2.4,6.6,53.0,123.0,167.0,0.22,0.19,0.41,0.15,0.33,0.24,0.09,0.33,0.16,0.24,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,26.9,6,44,14,31.8,1.63,0.52,0.09,0.29,22.9,8.0,2,3,0.1,-0.5,-0.2,913.0,1227.0,74.4,17165.0,4616.0,415.0,482.0,86.1,332.0,421.0,78.9,142.0,252.0,56.3,2.4,2.5,2.6,33.0,95.0,21.0,9.0,123.0,1227.0,1107.0,117.0,41.0,6.0,31.0,120,20.0,55.0,37.0,13.0,0.0,913.0,3.0,32.0,69.0,2.56,48.0,13.0,0.0,3.0,2.0,3.0,11.0,0.41,6.0,2.0,0.0,3.0,0.0,0.0,55.0,35,23.0,21.0,11.0,20.0,67.0,29.9,47.0,44.0,5.0,39.0,32,87.0,34.0,1.0,1536.0,36.0,237.0,814.0,497.0,36.0,1533.0,32.0,10.0,31.3,22.0,68.8,818.0,3974.0,1910.0,53.0,35.0,5.0,40.0,24.0,992.0,167.0,34,2425,71,70.9,26.9,28,81.0,13,6,27.0,2,1.41,37,39,-2,-0.07,-0.53,35.4,35.9,-0.5,-0.02,-0.78,0,35,14,3,120,35,0.0,0.0,0,129.0,15.0,36.0,29.4,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,12000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
15,1658,4722,Benjamin Bourigeaud_2020_Rennes,-1.180596878681807,20.34,2020,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,MF,25,1994,25,21,1903,21.1,2,2,4,2,0,0,5,0,2.5,2.5,2.3,4.9,30.0,120.0,58.0,0.09,0.09,0.19,0.09,0.19,0.12,0.11,0.23,0.12,0.23,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,21.1,2,42,10,23.8,1.99,0.47,0.05,0.2,25.9,12.0,0,0,0.06,-0.5,-0.5,902.0,1211.0,74.5,18020.0,5424.0,370.0,431.0,85.8,357.0,442.0,80.8,160.0,273.0,58.6,2.3,2.7,-0.3,26.0,105.0,19.0,10.0,120.0,1211.0,1066.0,140.0,66.0,2.0,37.0,123,17.0,57.0,23.0,28.0,1.0,902.0,5.0,24.0,67.0,3.17,41.0,18.0,3.0,3.0,2.0,0.0,6.0,0.28,3.0,2.0,0.0,0.0,1.0,0.0,40.0,12,18.0,20.0,2.0,17.0,68.0,25.0,51.0,38.0,7.0,31.0,20,60.0,25.0,0.0,1453.0,40.0,283.0,829.0,352.0,14.0,1453.0,16.0,13.0,81.3,3.0,18.8,813.0,3459.0,1754.0,30.0,24.0,0.0,29.0,11.0,901.0,58.0,25,1903,76,75.5,21.1,21,86.0,16,4,23.0,0,1.84,29,20,9,0.43,-0.3,27.1,21.4,5.7,0.27,0.09,0,30,15,2,123,12,1.0,0.0,0,151.0,13.0,26.0,33.3,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,15000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
16,1659,7503,Benjamin Bourigeaud_2021_Rennes,-0.9616013965614288,28.810000000000002,2021,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"MF,FW",26,1994,37,29,2552,28.4,6,5,11,6,0,0,8,0,4.3,4.3,5.6,9.9,21.0,192.0,164.0,0.21,0.18,0.39,0.21,0.39,0.15,0.2,0.35,0.15,0.35,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,28.4,6,64,24,37.5,2.26,0.85,0.09,0.25,22.2,11.0,0,0,0.07,1.7,1.7,1442.0,1908.0,75.6,26552.0,7192.0,667.0,749.0,89.1,519.0,643.0,80.7,220.0,399.0,55.1,5.6,7.0,-0.6,59.0,142.0,41.0,9.0,192.0,1908.0,1669.0,233.0,81.0,2.0,34.0,226,15.0,132.0,57.0,65.0,0.0,1442.0,6.0,45.0,120.0,4.23,64.0,49.0,1.0,6.0,0.0,0.0,11.0,0.39,5.0,6.0,0.0,0.0,0.0,0.0,40.0,23,17.0,16.0,7.0,21.0,71.0,29.6,50.0,37.0,1.0,36.0,19,59.0,25.0,0.0,2169.0,39.0,263.0,1136.0,782.0,55.0,2169.0,16.0,8.0,50.0,8.0,50.0,1136.0,3920.0,1749.0,21.0,31.0,6.0,30.0,15.0,1493.0,164.0,37,2552,69,74.6,28.4,29,82.0,15,8,22.0,0,1.57,33,27,6,0.21,-0.41,35.2,27.5,7.6,0.27,0.06,0,26,10,3,226,23,0.0,0.0,0,167.0,18.0,45.0,28.6,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,18000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
17,1660,10427,Benjamin Bourigeaud_2022_Rennes,0.08216531850503958,52.54,2022,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"FW,MF",27,1994,38,38,3193,35.5,11,12,23,11,0,0,2,0,5.7,5.7,12.3,18.0,47.0,201.0,322.0,0.31,0.34,0.65,0.31,0.65,0.16,0.35,0.51,0.16,0.51,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,35.5,11,51,21,41.2,1.44,0.59,0.22,0.52,17.3,8.0,0,0,0.11,5.3,5.3,1374.0,1942.0,70.8,26382.0,8525.0,576.0,690.0,83.5,541.0,695.0,77.8,223.0,430.0,51.9,12.3,11.6,-0.3,122.0,133.0,82.0,26.0,201.0,1942.0,1665.0,269.0,56.0,10.0,25.0,294,42.0,171.0,47.0,104.0,0.0,1374.0,8.0,43.0,176.0,4.96,97.0,71.0,1.0,4.0,1.0,2.0,18.0,0.51,14.0,4.0,0.0,0.0,0.0,0.0,46.0,24,16.0,18.0,12.0,24.0,67.0,35.8,43.0,33.0,3.0,30.0,30,76.0,44.0,0.0,2263.0,60.0,266.0,1001.0,1009.0,91.0,2263.0,21.0,9.0,42.9,12.0,57.1,1294.0,6002.0,2613.0,47.0,50.0,14.0,41.0,20.0,1530.0,322.0,38,3193,84,93.4,35.5,38,84.0,15,0,,0,1.74,70,34,36,1.01,-1.36,56.7,37.7,19.0,0.54,0.22,0,25,8,4,294,24,0.0,0.0,0,144.0,14.0,45.0,23.7,14,Right Midfield,1/14/1994,,France,Stade Rennais FC,1.78,right,7/1/2017,RC Lens,6/30/2026,18000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
18,1661,13281,Benjamin Bourigeaud_2023_Rennes,-0.2604989970708619,38.98,2023,Rennes,Ligue 1,Benjamin Bourigeaud,FRA,"MF,FW",28,1994,37,37,3065,34.1,7,10,17,5,2,2,6,1,8.7,7.1,11.6,18.7,40.0,264.0,250.0,0.21,0.29,0.5,0.15,0.44,0.26,0.34,0.6,0.21,0.55,https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,34.1,7,71,19,26.8,2.08,0.56,0.07,0.26,20.0,10.0,2,2,0.1,-1.7,-2.1,1505.0,2007.0,75.0,28664.0,9729.0,576.0,692.0,83.2,682.0,843.0,80.9,207.0,382.0,54.2,11.6,10.3,-1.6,98.0,183.0,96.0,19.0,264.0,2007.0,1766.0,230.0,63.0,13.0,23.0,231,39.0,128.0,45.0,64.0,0.0,1505.0,11.0,40.0,166.0,4.88,102.0,49.0,4.0,9.0,1.0,1.0,19.0,0.56,16.0,0.0,0.0,3.0,0.0,0.0,45.0,29,16.0,23.0,6.0,21.0,65.0,32.3,44.0,38.0,3.0,35.0,31,76.0,32.0,0.0,2305.0,53.0,274.0,1149.0,904.0,80.0,2303.0,33.0,14.0,42.4,17.0,51.5,1716.0,8088.0,3068.0,40.0,72.0,4.0,32.0,18.0,1602.0,250.0,37,3065,83,89.6,34.1,37,83.0,16,0,,0,1.76,64,35,29,0.85,0.6,55.3,39.1,16.1,0.47,0.19,1,35,14,2,231,29,0.0,0.0,0,176.0,10.0,32.0,23.8,14,Right Midfield,1/14/1994,,France,,1.78,right,7/1/2017,RC Lens,6/30/2026,18000000.0,https://www.transfermarkt.com/benjamin-bourigeaud/profil/spieler/266359
19,3111,9418,Denzel Dumfries_2022_Inter,0.18503114867626141,55.93,2022,Inter,Serie A,Denzel Dumfries,NED,DF,25,1996,33,21,2028,22.5,5,4,9,5,0,0,3,0,5.2,5.2,4.4,9.6,55.0,58.0,204.0,0.22,0.18,0.4,0.22,0.4,0.23,0.19,0.43,0.23,0.43,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,22.5,5,38,17,44.7,1.69,0.75,0.13,0.29,11.3,0.0,0,0,0.14,-0.2,-0.2,630.0,860.0,73.3,9792.0,2884.0,335.0,400.0,83.8,244.0,332.0,73.5,32.0,64.0,50.0,4.4,3.5,-0.4,28.0,31.0,22.0,7.0,58.0,860.0,712.0,143.0,2.0,0.0,2.0,36,141.0,0.0,0.0,0.0,0.0,630.0,5.0,30.0,63.0,2.79,49.0,4.0,3.0,4.0,3.0,0.0,7.0,0.31,5.0,1.0,0.0,0.0,1.0,0.0,32.0,12,9.0,14.0,9.0,16.0,32.0,50.0,16.0,15.0,6.0,9.0,9,41.0,26.0,0.0,1088.0,35.0,200.0,376.0,523.0,127.0,1088.0,30.0,15.0,50.0,15.0,50.0,568.0,3136.0,1540.0,55.0,24.0,27.0,39.0,23.0,683.0,204.0,33,2028,61,59.3,22.5,21,83.0,13,12,24.0,5,2.15,54,14,40,1.78,1.0,51.3,22.8,28.5,1.26,0.35,0,32,37,4,36,12,2.0,1.0,0,89.0,43.0,32.0,57.3,2,Right Midfield,4/18/1996,,Netherlands,Inter Milan,1.88,right,8/14/2021,PSV Eindhoven,6/30/2025,28000000.0,https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528
20,3112,12300,Denzel Dumfries_2023_Inter,-0.22210736525306563,40.68,2023,Inter,Serie A,Denzel Dumfries,NED,DF,26,1996,34,25,2218,24.6,1,4,5,1,0,0,4,0,3.6,3.6,4.9,8.5,62.0,59.0,172.0,0.04,0.16,0.2,0.04,0.2,0.15,0.2,0.35,0.15,0.35,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,24.6,1,33,13,39.4,1.34,0.53,0.03,0.08,11.4,0.0,0,0,0.11,-2.6,-2.6,745.0,1004.0,74.2,12394.0,3688.0,358.0,416.0,86.1,313.0,409.0,76.5,56.0,111.0,50.5,4.9,3.9,-0.9,32.0,32.0,32.0,18.0,59.0,1004.0,833.0,168.0,6.0,1.0,2.0,82,162.0,0.0,0.0,0.0,0.0,745.0,3.0,27.0,71.0,2.88,48.0,4.0,1.0,9.0,8.0,1.0,11.0,0.45,6.0,0.0,0.0,2.0,3.0,0.0,35.0,18,17.0,13.0,5.0,22.0,34.0,64.7,12.0,33.0,9.0,24.0,12,47.0,26.0,0.0,1263.0,42.0,266.0,551.0,467.0,99.0,1263.0,52.0,18.0,34.6,23.0,44.2,674.0,3940.0,1928.0,62.0,32.0,23.0,39.0,20.0,785.0,172.0,34,2218,65,64.9,24.6,25,80.0,11,9,23.0,4,1.85,54,26,28,1.14,1.06,49.2,23.4,25.8,1.05,0.61,0,31,39,2,82,18,2.0,1.0,1,90.0,41.0,41.0,50.0,2,Right Midfield,4/18/1996,,Netherlands,,1.88,right,8/14/2021,PSV Eindhoven,6/30/2025,28000000.0,https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528
21,4202,12219,Filippo Terracciano_2023_Hellas Verona,1.5376644817355845,84.75,2023,Hellas Verona,Serie A,Filippo Terracciano,ITA,"DF,MF",19,2003,20,7,821,9.1,0,1,1,0,0,0,2,0,0.2,0.2,1.2,1.4,16.0,37.0,24.0,0.0,0.11,0.11,0.0,0.11,0.02,0.14,0.16,0.02,0.16,https://fbref.com/en/players/5cbb5ad6/Filippo-Terracciano,9.1,0,5,3,60.0,0.55,0.33,0.0,0.0,23.3,0.0,0,0,0.04,-0.2,-0.2,235.0,343.0,68.5,4308.0,1770.0,88.0,113.0,77.9,115.0,148.0,77.7,21.0,53.0,39.6,1.2,1.5,-0.2,8.0,21.0,10.0,4.0,37.0,343.0,290.0,51.0,7.0,1.0,4.0,25,42.0,2.0,1.0,1.0,0.0,235.0,2.0,12.0,14.0,1.53,9.0,2.0,2.0,1.0,0.0,0.0,2.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,20.0,13,11.0,7.0,2.0,15.0,20.0,75.0,5.0,7.0,4.0,3.0,10,30.0,14.0,0.0,439.0,21.0,110.0,224.0,113.0,9.0,439.0,12.0,6.0,50.0,3.0,25.0,217.0,1267.0,618.0,16.0,13.0,0.0,17.0,4.0,242.0,24.0,20,821,41,24.0,9.1,7,75.0,1,13,23.0,17,1.24,5,9,-4,-0.44,0.39,8.8,10.0,-1.1,-0.12,0.33,0,7,17,0,25,13,0.0,0.0,0,47.0,15.0,20.0,42.9,24,Right Midfield,2/8/2003,,Italy,,1.81,right,7/1/2022,Hellas Verona Primavera,6/30/2026,1500000.0,https://www.transfermarkt.com/filippo-terracciano/profil/spieler/631007
22,6143,8858,Jim Allevinah_2022_Clermont Foot,-0.2071791140892951,42.370000000000005,2022,Clermont Foot,Ligue 1,Jim Allevinah,GAB,FW,26,1995,30,13,1488,16.5,1,2,3,1,0,0,1,0,2.8,2.8,1.9,4.7,77.0,56.0,118.0,0.06,0.12,0.18,0.06,0.18,0.17,0.12,0.29,0.17,0.29,https://fbref.com/en/players/1956b948/Jim-Allevinah,16.5,1,43,15,34.9,2.6,0.91,0.02,0.07,19.2,1.0,0,0,0.07,-1.8,-1.8,416.0,545.0,76.3,6103.0,1306.0,245.0,287.0,85.4,123.0,164.0,75.0,29.0,44.0,65.9,1.9,1.4,0.1,15.0,44.0,10.0,2.0,56.0,545.0,524.0,16.0,3.0,1.0,5.0,34,4.0,9.0,5.0,1.0,0.0,416.0,5.0,18.0,53.0,3.21,32.0,4.0,9.0,6.0,1.0,1.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,18.0,13,8.0,8.0,2.0,5.0,18.0,27.8,13.0,11.0,0.0,11.0,6,24.0,4.0,0.0,747.0,8.0,105.0,339.0,319.0,64.0,747.0,68.0,32.0,47.1,36.0,52.9,565.0,4604.0,2177.0,77.0,48.0,17.0,42.0,40.0,595.0,118.0,30,1488,50,43.5,16.5,13,77.0,3,17,29.0,1,0.93,15,32,-17,-1.03,-0.38,18.8,23.4,-4.5,-0.27,-0.11,0,16,34,2,34,13,0.0,1.0,0,65.0,16.0,23.0,41.0,11,Right Midfield,2/27/1995,,Gabon,Clermont Foot 63,1.72,right,7/1/2019,Le Puy Foot 43 Auvergne,6/30/2024,2000000.0,https://www.transfermarkt.com/jim-allevinah/profil/spieler/646733
23,6144,11740,Jim Allevinah_2023_Clermont Foot,0.6671054769693082,64.41,2023,Clermont Foot,Ligue 1,Jim Allevinah,GAB,"DF,FW",27,1995,36,25,2244,24.9,1,1,2,1,0,0,2,0,2.5,2.5,2.0,4.5,82.0,59.0,141.0,0.04,0.04,0.08,0.04,0.08,0.1,0.08,0.18,0.1,0.18,https://fbref.com/en/players/1956b948/Jim-Allevinah,24.9,1,30,8,26.7,1.2,0.32,0.03,0.13,16.9,0.0,0,0,0.08,-1.5,-1.5,658.0,848.0,77.6,9331.0,2378.0,388.0,453.0,85.7,216.0,273.0,79.1,25.0,62.0,40.3,2.0,2.5,-1.0,18.0,37.0,14.0,9.0,59.0,848.0,789.0,58.0,7.0,0.0,3.0,65,50.0,0.0,0.0,0.0,0.0,658.0,1.0,32.0,48.0,1.93,39.0,1.0,3.0,2.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,39.0,24,24.0,11.0,4.0,19.0,62.0,30.6,43.0,24.0,2.0,22.0,24,63.0,26.0,1.0,1134.0,39.0,257.0,502.0,396.0,65.0,1134.0,88.0,34.0,38.6,45.0,51.1,851.0,6113.0,2685.0,82.0,62.0,14.0,46.0,40.0,746.0,141.0,36,2244,62,65.6,24.9,25,80.0,11,11,22.0,0,1.56,24,33,-9,-0.36,-0.74,30.4,38.0,-7.6,-0.31,-0.07,0,22,53,1,65,24,0.0,0.0,0,153.0,12.0,17.0,41.4,11,Right Midfield,2/27/1995,,Gabon,,1.72,right,7/1/2019,Le Puy Foot 43 Auvergne,6/30/2024,2000000.0,https://www.transfermarkt.com/jim-allevinah/profil/spieler/646733
