,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,499,2347,Alex Berenguer_2019_Torino,-0.5431180466897361,34.21,2019,Torino,Serie A,ÃƒÂlex Berenguer,ESP,"MF,DF",23,1995,31,15,1486,16.5,2,3,5,2,0,0,4,0,1.0,1.0,3.7,4.7,63.0,45.0,166.0,0.12,0.18,0.3,0.12,0.3,0.06,0.23,0.28,0.06,0.28,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,16.5,2,22,7,31.8,1.33,0.42,0.09,0.29,20.2,0.0,0,0,0.04,1.0,1.0,535.0,764.0,70.0,8169.0,2104.0,294.0,350.0,84.0,152.0,222.0,68.5,51.0,109.0,46.8,3.7,3.4,-0.7,35.0,21.0,22.0,7.0,45.0,764.0,625.0,137.0,26.0,3.0,6.0,90,75.0,34.0,12.0,11.0,1.0,535.0,2.0,30.0,72.0,4.36,45.0,12.0,7.0,2.0,6.0,0.0,8.0,0.48,4.0,2.0,0.0,0.0,2.0,0.0,31.0,20,12.0,17.0,2.0,14.0,34.0,41.2,20.0,20.0,1.0,19.0,8,39.0,14.0,0.0,980.0,11.0,123.0,419.0,454.0,50.0,980.0,66.0,33.0,50.0,33.0,50.0,575.0,3939.0,2000.0,63.0,54.0,15.0,52.0,51.0,669.0,166.0,31,1486,48,43.5,16.5,15,82.0,7,16,16.0,7,1.68,25,16,9,0.55,0.27,22.5,19.9,2.6,0.16,0.33,0,27,33,3,90,20,1.0,0.0,0,72.0,17.0,42.0,28.8,-,Left Winger,7/4/1995,,Spain,Athletic Bilbao,1.75,right,7/17/2017,CA Osasuna,6/30/2024,4800000.0,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425
1,500,5040,Alex Berenguer_2020_Torino,-0.2365122078545014,43.419999999999995,2020,Torino,Serie A,ÃƒÂlex Berenguer,ESP,"MF,DF",24,1995,29,21,1823,20.3,6,2,8,6,0,0,4,0,4.0,4.0,4.0,8.0,97.0,77.0,121.0,0.3,0.1,0.39,0.3,0.39,0.2,0.2,0.4,0.2,0.4,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,20.3,6,40,14,35.0,1.97,0.69,0.15,0.43,17.8,0.0,0,0,0.1,2.0,2.0,582.0,791.0,73.6,8736.0,2533.0,347.0,394.0,88.1,155.0,219.0,70.8,50.0,109.0,45.9,4.0,3.2,-2.0,35.0,42.0,30.0,5.0,77.0,791.0,685.0,104.0,29.0,4.0,4.0,69,42.0,30.0,8.0,8.0,0.0,582.0,2.0,21.0,85.0,4.2,49.0,13.0,10.0,6.0,6.0,1.0,8.0,0.39,5.0,1.0,2.0,0.0,0.0,0.0,20.0,6,6.0,13.0,1.0,8.0,33.0,24.2,25.0,17.0,1.0,16.0,18,38.0,17.0,0.0,1061.0,21.0,153.0,452.0,481.0,67.0,1061.0,104.0,65.0,62.5,39.0,37.5,672.0,4983.0,2827.0,97.0,58.0,24.0,55.0,48.0,736.0,121.0,29,1823,63,53.3,20.3,21,79.0,8,8,21.0,7,1.1,28,36,-8,-0.39,0.39,24.6,30.3,-5.8,-0.29,0.29,0,28,40,8,69,6,0.0,0.0,0,106.0,15.0,43.0,25.9,-,Left Winger,7/4/1995,,Spain,Athletic Bilbao,1.75,right,7/17/2017,CA Osasuna,6/30/2024,15000000.0,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425
2,809,1735,Amin Younes_2019_Napoli,4.8427768144531385,98.68,2019,Napoli,Serie A,Amin Younes,GER,"MF,FW",24,1993,12,6,498,5.5,3,2,5,3,0,0,1,0,1.7,1.7,0.9,2.6,19.0,37.0,66.0,0.54,0.36,0.9,0.54,0.9,0.3,0.17,0.47,0.3,0.47,https://fbref.com/en/players/228f73ae/Amin-Younes,5.5,3,13,6,46.2,2.35,1.08,0.23,0.5,14.8,0.0,0,0,0.13,1.3,1.3,285.0,323.0,88.2,3699.0,801.0,177.0,194.0,91.2,81.0,88.0,92.0,10.0,14.0,71.4,0.9,1.1,1.1,9.0,30.0,6.0,0.0,37.0,323.0,314.0,8.0,0.0,0.0,3.0,7,5.0,2.0,1.0,0.0,0.0,285.0,1.0,6.0,39.0,7.05,28.0,0.0,6.0,1.0,4.0,0.0,9.0,1.63,5.0,0.0,2.0,1.0,1.0,0.0,11.0,6,3.0,6.0,2.0,3.0,6.0,50.0,3.0,7.0,0.0,7.0,2,13.0,0.0,0.0,397.0,0.0,24.0,195.0,180.0,31.0,397.0,28.0,18.0,64.3,10.0,35.7,316.0,1746.0,819.0,19.0,18.0,15.0,9.0,8.0,336.0,66.0,12,498,42,14.6,5.5,6,66.0,0,6,17.0,6,2.08,12,10,2,0.36,-0.75,8.3,6.5,1.8,0.33,-0.34,0,15,15,2,7,6,0.0,0.0,0,21.0,1.0,3.0,25.0,-,Left Winger,8/6/1993,,Germany,Al-Ettifaq FC,1.68,right,7/1/2018,Ajax Amsterdam,6/30/2024,6000000.0,https://www.transfermarkt.com/amin-younes/profil/spieler/96167
3,1147,4266,Ante Rebic_2020_Milan,-0.14924193412249548,50.0,2020,Milan,Serie A,Ante RebiÃ„â€¡,CRO,"FW,MF",25,1993,26,15,1395,15.5,11,3,14,11,0,0,5,0,6.8,6.8,3.2,10.0,51.0,33.0,159.0,0.71,0.19,0.9,0.71,0.9,0.44,0.21,0.65,0.44,0.65,https://fbref.com/en/players/536cebe5/Ante-Rebic,15.5,11,42,20,47.6,2.71,1.29,0.26,0.55,15.1,0.0,0,0,0.17,4.2,4.2,253.0,420.0,60.2,3677.0,1026.0,153.0,211.0,72.5,67.0,114.0,58.8,19.0,45.0,42.2,3.2,1.9,-0.2,32.0,17.0,25.0,5.0,33.0,420.0,398.0,19.0,0.0,0.0,2.0,48,10.0,4.0,2.0,0.0,0.0,253.0,3.0,18.0,56.0,3.61,41.0,0.0,6.0,6.0,3.0,0.0,9.0,0.58,4.0,0.0,1.0,3.0,1.0,0.0,16.0,11,4.0,9.0,3.0,7.0,34.0,20.6,27.0,14.0,1.0,13.0,3,19.0,12.0,0.0,615.0,16.0,52.0,201.0,384.0,100.0,615.0,46.0,24.0,52.2,22.0,47.8,390.0,2516.0,1207.0,51.0,33.0,32.0,54.0,20.0,452.0,159.0,26,1395,54,40.8,15.5,15,74.0,3,11,27.0,8,1.77,32,21,11,0.71,0.44,29.3,20.1,9.2,0.59,0.22,0,27,14,3,48,11,0.0,0.0,0,59.0,17.0,23.0,42.5,12,Left Winger,9/21/1993,,Croatia,AC Milan,1.85,right,9/12/2020,Eintracht Frankfurt,6/30/2025,32000000.0,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587
4,1148,7081,Ante Rebic_2021_Milan,0.2064382518838679,61.839999999999996,2021,Milan,Serie A,Ante RebiÃ„â€¡,CRO,FW,26,1993,27,20,1776,19.7,11,4,15,11,0,0,4,1,5.9,5.6,5.4,11.0,43.0,52.0,146.0,0.56,0.2,0.76,0.56,0.76,0.3,0.27,0.57,0.28,0.56,https://fbref.com/en/players/536cebe5/Ante-Rebic,19.7,11,43,23,53.5,2.18,1.17,0.26,0.48,14.5,0.0,0,0,0.13,5.1,5.4,290.0,472.0,61.4,3964.0,1216.0,177.0,234.0,75.6,64.0,113.0,56.6,22.0,41.0,53.7,5.4,4.4,-1.4,36.0,24.0,31.0,10.0,52.0,472.0,447.0,20.0,2.0,2.0,2.0,61,7.0,2.0,1.0,0.0,0.0,290.0,5.0,31.0,69.0,3.5,50.0,1.0,4.0,7.0,5.0,2.0,13.0,0.66,7.0,0.0,0.0,2.0,3.0,1.0,26.0,9,4.0,8.0,14.0,8.0,37.0,21.6,29.0,21.0,1.0,20.0,7,33.0,17.0,0.0,720.0,20.0,54.0,191.0,481.0,112.0,720.0,41.0,20.0,48.8,21.0,51.2,376.0,2108.0,1064.0,43.0,17.0,22.0,64.0,29.0,508.0,146.0,27,1776,66,51.9,19.7,20,79.0,10,7,27.0,0,2.0,44,18,26,1.32,0.93,41.4,22.6,18.8,0.95,0.68,0,33,14,11,61,9,3.0,0.0,0,48.0,23.0,35.0,39.7,12,Left Winger,9/21/1993,,Croatia,AC Milan,1.85,right,9/12/2020,Eintracht Frankfurt,6/30/2025,17000000.0,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587
5,1149,10004,Ante Rebic_2022_Milan,-1.3056645775319524,11.84,2022,Milan,Serie A,Ante RebiÃ„â€¡,CRO,FW,27,1993,24,6,891,9.9,2,2,4,2,0,0,2,0,2.4,2.4,4.8,7.2,36.0,38.0,80.0,0.2,0.2,0.4,0.2,0.4,0.24,0.48,0.73,0.24,0.73,https://fbref.com/en/players/536cebe5/Ante-Rebic,9.9,2,30,6,20.0,3.03,0.61,0.07,0.33,16.4,0.0,0,0,0.08,-0.4,-0.4,182.0,299.0,60.9,2866.0,964.0,96.0,146.0,65.8,53.0,80.0,66.3,21.0,34.0,61.8,4.8,3.2,-2.8,29.0,16.0,24.0,8.0,38.0,299.0,291.0,6.0,0.0,1.0,4.0,28,4.0,0.0,0.0,0.0,0.0,182.0,2.0,12.0,51.0,5.16,36.0,0.0,4.0,7.0,3.0,1.0,3.0,0.3,2.0,0.0,0.0,0.0,0.0,1.0,14.0,8,3.0,6.0,5.0,7.0,20.0,35.0,13.0,14.0,0.0,14.0,3,17.0,3.0,1.0,443.0,6.0,20.0,141.0,288.0,75.0,443.0,38.0,16.0,42.1,22.0,57.9,254.0,1569.0,738.0,36.0,16.0,20.0,33.0,16.0,325.0,80.0,24,891,37,26.1,9.9,6,71.0,3,18,26.0,2,2.38,14,8,6,0.61,-0.53,16.2,11.5,4.8,0.48,-0.19,0,18,9,8,28,8,0.0,0.0,0,25.0,13.0,22.0,37.1,12,Left Winger,9/21/1993,,Croatia,AC Milan,1.85,right,9/12/2020,Eintracht Frankfurt,6/30/2025,6000000.0,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587
6,1150,12835,Ante Rebic_2023_Milan,-1.611736752063766,7.89,2023,Milan,Serie A,Ante RebiÃ„â€¡,CRO,"FW,MF",28,1993,23,10,980,10.9,3,2,5,3,0,0,4,0,3.5,3.5,2.0,5.5,17.0,29.0,92.0,0.28,0.18,0.46,0.28,0.46,0.32,0.19,0.5,0.32,0.5,https://fbref.com/en/players/536cebe5/Ante-Rebic,10.9,3,27,13,48.1,2.48,1.19,0.11,0.23,16.0,2.0,0,0,0.13,-0.5,-0.5,187.0,334.0,56.0,2673.0,815.0,110.0,148.0,74.3,51.0,98.0,52.0,14.0,38.0,36.8,2.0,1.9,0.0,13.0,12.0,12.0,3.0,29.0,334.0,316.0,15.0,2.0,4.0,1.0,39,4.0,4.0,2.0,1.0,0.0,187.0,3.0,16.0,34.0,3.12,23.0,1.0,1.0,4.0,4.0,1.0,3.0,0.28,3.0,0.0,0.0,0.0,0.0,0.0,10.0,8,1.0,3.0,6.0,3.0,11.0,27.3,8.0,6.0,1.0,5.0,1,11.0,5.0,0.0,437.0,5.0,22.0,136.0,283.0,56.0,437.0,31.0,15.0,48.4,14.0,45.2,254.0,1213.0,390.0,17.0,10.0,5.0,26.0,15.0,341.0,92.0,23,980,43,28.7,10.9,10,72.0,2,13,20.0,5,1.74,17,11,6,0.55,0.0,15.4,13.0,2.4,0.22,-0.35,0,18,15,8,39,8,0.0,0.0,0,36.0,12.0,15.0,44.4,12,Left Winger,9/21/1993,,Croatia,,1.85,right,9/12/2020,Eintracht Frankfurt,6/30/2025,6000000.0,https://www.transfermarkt.com/ante-rebic/profil/spieler/187587
7,1350,13423,Armand Lauriente_2023_Sassuolo,-0.16375611401347542,48.68,2023,Sassuolo,Serie A,Armand Lauriente,FRA,FW,23,1998,28,27,2175,24.2,7,6,13,6,1,1,10,1,4.7,3.9,6.2,10.1,127.0,90.0,263.0,0.29,0.25,0.54,0.25,0.5,0.19,0.26,0.45,0.16,0.42,https://fbref.com/en/players/2d22cea7/Armand-Lauriente,24.2,7,55,21,38.2,2.28,0.87,0.11,0.29,20.4,10.0,1,1,0.07,2.3,2.1,572.0,805.0,71.1,8488.0,2579.0,338.0,400.0,84.5,170.0,235.0,72.3,36.0,92.0,39.1,6.2,4.3,-0.2,61.0,39.0,49.0,10.0,90.0,805.0,732.0,73.0,21.0,2.0,5.0,110,7.0,44.0,26.0,8.0,0.0,572.0,0.0,29.0,113.0,4.68,78.0,10.0,15.0,3.0,4.0,3.0,12.0,0.5,7.0,0.0,2.0,1.0,2.0,0.0,21.0,15,5.0,7.0,9.0,8.0,21.0,38.1,13.0,20.0,0.0,20.0,12,33.0,8.0,0.0,1100.0,7.0,81.0,392.0,654.0,106.0,1099.0,140.0,64.0,45.7,59.0,42.1,762.0,6095.0,3186.0,127.0,68.0,50.0,56.0,53.0,816.0,263.0,28,2175,78,63.6,24.2,27,80.0,9,1,25.0,0,1.29,33,33,0,0.0,1.01,33.0,28.3,4.6,0.19,0.39,1,22,41,7,110,15,1.0,0.0,0,106.0,1.0,6.0,14.3,45,Left Winger,12/4/1998,,France,,1.71,right,8/31/2022,FC Lorient,6/30/2027,18000000.0,https://www.transfermarkt.com/armand-lauriente/profil/spieler/579930
8,3198,2085,Diego Perotti_2019_Roma,-0.1254691055213036,52.629999999999995,2019,Roma,Serie A,Diego Perotti,ARG,"FW,MF",30,1988,13,6,668,7.4,5,0,5,2,3,3,3,0,3.6,1.2,2.4,3.6,52.0,30.0,56.0,0.67,0.0,0.67,0.27,0.27,0.49,0.32,0.8,0.17,0.48,https://fbref.com/en/players/a40d5a0c/Diego-Perotti,7.4,5,13,6,46.2,1.75,0.81,0.15,0.33,18.5,0.0,3,3,0.1,1.4,0.8,254.0,346.0,73.4,3490.0,827.0,150.0,176.0,85.2,69.0,95.0,72.6,16.0,35.0,45.7,2.4,1.5,-2.4,18.0,16.0,11.0,4.0,30.0,346.0,321.0,25.0,4.0,2.0,1.0,44,4.0,17.0,10.0,0.0,0.0,254.0,0.0,12.0,35.0,4.72,24.0,4.0,1.0,4.0,2.0,0.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,14.0,12,5.0,5.0,4.0,6.0,19.0,31.6,13.0,4.0,0.0,4.0,4,18.0,2.0,0.0,419.0,7.0,57.0,154.0,212.0,35.0,416.0,28.0,18.0,64.3,10.0,35.7,271.0,2358.0,1197.0,52.0,30.0,10.0,12.0,9.0,319.0,56.0,13,668,51,19.5,7.4,6,80.0,3,7,27.0,9,1.38,12,13,-1,-0.13,-0.76,15.3,8.0,7.3,0.99,0.83,0,5,15,1,44,12,0.0,0.0,0,34.0,4.0,4.0,50.0,-,Left Winger,7/26/1988,,Argentina,Without Club,1.79,right,7/1/2016,Genoa CFC,,6500000.0,https://www.transfermarkt.com/diego-perotti/profil/spieler/54984
9,3199,4769,Diego Perotti_2020_Roma,1.4476347193776757,81.58,2020,Roma,Serie A,Diego Perotti,ARG,"FW,MF",31,1988,21,10,875,9.7,5,3,8,1,4,4,3,1,4.2,1.1,2.4,3.5,74.0,55.0,56.0,0.51,0.31,0.82,0.1,0.41,0.43,0.25,0.68,0.11,0.36,https://fbref.com/en/players/a40d5a0c/Diego-Perotti,9.7,5,11,3,27.3,1.13,0.31,0.09,0.33,23.4,0.0,4,4,0.1,0.8,-0.1,308.0,394.0,78.2,5019.0,1120.0,155.0,168.0,92.3,122.0,158.0,77.2,24.0,49.0,49.0,2.4,1.9,0.6,22.0,27.0,10.0,2.0,55.0,394.0,371.0,23.0,3.0,2.0,3.0,41,4.0,15.0,7.0,1.0,0.0,308.0,0.0,9.0,46.0,4.73,29.0,4.0,6.0,1.0,5.0,1.0,3.0,0.31,2.0,1.0,0.0,0.0,0.0,0.0,16.0,13,5.0,8.0,3.0,5.0,20.0,25.0,15.0,14.0,0.0,14.0,3,19.0,6.0,0.0,483.0,14.0,72.0,197.0,226.0,35.0,479.0,45.0,29.0,64.4,16.0,35.6,318.0,3401.0,2033.0,74.0,53.0,21.0,6.0,15.0,360.0,56.0,21,875,42,25.6,9.7,10,69.0,1,11,17.0,7,1.76,16,15,1,0.1,-0.78,15.2,14.9,0.4,0.04,-0.79,0,8,24,0,41,13,0.0,0.0,0,45.0,1.0,9.0,10.0,,Left Winger,,,,,,,,,,6500000.0,
10,3663,7796,Emmanuel Gyasi_2021_Spezia,-0.5964633205466043,31.580000000000002,2021,Spezia,Serie A,Emmanuel Gyasi,GHA,FW,26,1994,37,32,2851,31.7,4,6,10,4,0,0,4,0,5.1,5.1,4.1,9.2,70.0,69.0,250.0,0.13,0.19,0.32,0.13,0.32,0.16,0.13,0.29,0.16,0.29,https://fbref.com/en/players/f9758dae/Emmanuel-Gyasi,31.7,4,29,15,51.7,0.92,0.47,0.14,0.27,12.3,0.0,0,0,0.18,-1.1,-1.1,775.0,942.0,82.3,10199.0,1546.0,495.0,551.0,89.8,205.0,253.0,81.0,29.0,45.0,64.4,4.1,2.9,1.9,27.0,23.0,29.0,4.0,69.0,942.0,931.0,8.0,1.0,1.0,4.0,30,4.0,1.0,0.0,0.0,0.0,775.0,3.0,23.0,65.0,2.05,56.0,0.0,4.0,3.0,2.0,0.0,10.0,0.32,9.0,0.0,1.0,0.0,0.0,0.0,30.0,16,16.0,10.0,4.0,9.0,31.0,29.0,22.0,13.0,2.0,11.0,14,44.0,8.0,0.0,1196.0,14.0,131.0,511.0,573.0,103.0,1196.0,69.0,41.0,59.4,28.0,40.6,781.0,4144.0,1795.0,70.0,37.0,39.0,75.0,44.0,955.0,250.0,37,2851,77,83.4,31.7,32,84.0,21,5,31.0,1,0.97,36,57,-21,-0.66,-0.82,36.1,51.6,-15.5,-0.49,-0.01,0,65,52,28,30,16,1.0,0.0,0,134.0,27.0,51.0,34.6,11,Left Winger,1/11/1994,,Ghana,Spezia Calcio,1.81,right,8/9/2016,US Pistoiese 1921,6/30/2025,2500000.0,https://www.transfermarkt.com/emmanuel-gyasi/profil/spieler/241076
11,3664,10689,Emmanuel Gyasi_2022_Spezia,-1.315052500767826,10.530000000000001,2022,Spezia,Serie A,Emmanuel Gyasi,GHA,"FW,MF",27,1994,36,35,3035,33.7,6,0,6,6,0,0,10,0,5.6,5.6,1.4,7.0,44.0,42.0,145.0,0.18,0.0,0.18,0.18,0.18,0.17,0.04,0.21,0.17,0.21,https://fbref.com/en/players/f9758dae/Emmanuel-Gyasi,33.7,6,38,13,34.2,1.13,0.39,0.16,0.46,15.0,0.0,0,0,0.15,0.4,0.4,765.0,939.0,81.5,9820.0,1991.0,496.0,560.0,88.6,205.0,245.0,83.7,19.0,30.0,63.3,1.4,1.9,-1.4,22.0,24.0,15.0,3.0,42.0,939.0,900.0,37.0,5.0,2.0,1.0,23,17.0,0.0,0.0,0.0,0.0,765.0,2.0,34.0,59.0,1.75,48.0,0.0,4.0,3.0,3.0,1.0,6.0,0.18,5.0,0.0,0.0,1.0,0.0,0.0,47.0,30,31.0,9.0,7.0,21.0,41.0,51.2,20.0,22.0,4.0,18.0,16,63.0,43.0,1.0,1272.0,67.0,296.0,522.0,471.0,87.0,1272.0,55.0,33.0,60.0,22.0,40.0,767.0,4002.0,1567.0,44.0,38.0,17.0,81.0,52.0,865.0,145.0,36,3035,84,88.7,33.7,35,86.0,25,1,28.0,0,1.0,37,58,-21,-0.62,1.48,34.4,54.9,-20.6,-0.61,0.27,0,48,51,21,23,30,0.0,1.0,1,153.0,33.0,67.0,33.0,11,Left Winger,1/11/1994,,Ghana,Spezia Calcio,1.81,right,8/9/2016,US Pistoiese 1921,6/30/2025,2000000.0,https://www.transfermarkt.com/emmanuel-gyasi/profil/spieler/241076
12,3665,13558,Emmanuel Gyasi_2023_Spezia,-4.536623607082267,0.0,2023,Spezia,Serie A,Emmanuel Gyasi,GHA,"FW,DF",28,1994,35,35,2810,31.2,2,0,2,2,0,0,10,0,4.0,4.0,1.9,5.9,35.0,52.0,154.0,0.06,0.0,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,https://fbref.com/en/players/f9758dae/Emmanuel-Gyasi,31.2,2,34,13,38.2,1.09,0.42,0.06,0.15,13.7,0.0,0,0,0.12,-2.0,-2.0,646.0,802.0,80.5,8305.0,1651.0,417.0,475.0,87.8,181.0,226.0,80.1,14.0,26.0,53.8,1.9,1.7,-1.9,22.0,16.0,18.0,2.0,52.0,802.0,711.0,91.0,3.0,1.0,2.0,22,59.0,2.0,0.0,0.0,0.0,646.0,0.0,26.0,53.0,1.7,44.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15,11.0,10.0,3.0,9.0,36.0,25.0,27.0,24.0,6.0,18.0,8,32.0,26.0,0.0,1103.0,39.0,196.0,444.0,472.0,92.0,1103.0,39.0,7.0,17.9,29.0,74.4,627.0,3276.0,1210.0,35.0,33.0,15.0,72.0,42.0,746.0,154.0,35,2810,80,82.2,31.2,35,80.0,11,0,,0,0.86,26,45,-19,-0.61,1.16,32.1,45.1,-13.0,-0.42,0.33,0,47,37,23,22,15,0.0,0.0,0,120.0,18.0,53.0,25.4,,Left Winger,,,,,,,,,,2000000.0,
13,3901,1592,Fabio Borini_2019_Milan,0.27526270142438375,65.79,2019,Milan,Serie A,Fabio Borini,ITA,"FW,DF",27,1991,20,10,1054,11.7,2,2,4,2,0,0,3,0,2.5,2.5,1.2,3.6,13.0,26.0,96.0,0.17,0.17,0.34,0.17,0.34,0.21,0.1,0.31,0.21,0.31,https://fbref.com/en/players/ef5b337e/Fabio-Borini,11.7,2,30,7,23.3,2.56,0.6,0.07,0.29,18.5,0.0,0,0,0.08,-0.5,-0.5,262.0,384.0,68.2,4187.0,1107.0,152.0,179.0,84.9,89.0,126.0,70.6,19.0,55.0,34.5,1.2,0.4,0.8,13.0,14.0,7.0,0.0,26.0,384.0,344.0,35.0,6.0,0.0,3.0,15,24.0,3.0,2.0,0.0,0.0,262.0,5.0,12.0,37.0,3.16,25.0,0.0,5.0,3.0,3.0,1.0,3.0,0.26,2.0,0.0,0.0,1.0,0.0,0.0,14.0,10,7.0,7.0,0.0,3.0,9.0,33.3,6.0,17.0,0.0,17.0,12,26.0,28.0,0.0,534.0,30.0,119.0,219.0,199.0,34.0,534.0,11.0,8.0,72.7,3.0,27.3,342.0,1510.0,552.0,13.0,11.0,5.0,27.0,20.0,364.0,96.0,20,1054,53,30.8,11.7,10,85.0,6,10,21.0,14,2.0,19,12,7,0.6,0.14,14.5,16.1,-1.6,-0.14,-0.49,0,14,34,3,15,10,0.0,0.0,0,50.0,22.0,18.0,55.0,-,Left Winger,3/29/1991,,Italy,Without Club,1.8,right,7/1/2018,Sunderland AFC,,4000000.0,https://www.transfermarkt.com/fabio-borini/profil/spieler/96754
14,3902,3643,Fabio Borini_2020_Hellas Verona,-1.1036356882237295,19.74,2020,Hellas Verona,Serie A,Fabio Borini,ITA,"MF,FW",28,1991,14,9,808,9.0,3,0,3,2,1,1,1,1,3.2,2.4,0.4,2.8,21.0,17.0,72.0,0.33,0.0,0.33,0.22,0.22,0.35,0.05,0.4,0.26,0.31,https://fbref.com/en/players/ef5b337e/Fabio-Borini,9.0,3,38,14,36.8,4.23,1.56,0.05,0.14,18.0,0.0,1,1,0.06,-0.2,-0.4,178.0,263.0,67.7,2789.0,677.0,102.0,120.0,85.0,53.0,81.0,65.4,16.0,36.0,44.4,0.4,0.8,-0.4,7.0,13.0,7.0,0.0,17.0,263.0,241.0,18.0,3.0,1.0,1.0,18,6.0,8.0,0.0,7.0,0.0,178.0,4.0,11.0,29.0,3.23,14.0,2.0,5.0,5.0,2.0,1.0,3.0,0.33,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1,2.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,3.0,13,15.0,6.0,0.0,373.0,9.0,45.0,134.0,200.0,42.0,372.0,19.0,10.0,52.6,9.0,47.4,244.0,1448.0,685.0,21.0,9.0,5.0,12.0,17.0,266.0,72.0,14,808,58,23.6,9.0,9,70.0,2,5,36.0,1,1.5,14,8,6,0.67,1.01,14.2,9.8,4.4,0.49,0.75,0,11,26,4,18,1,1.0,0.0,0,48.0,13.0,19.0,40.6,,Left Winger,,,,,,,,,,4000000.0,
