,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,647,4270,Alexis Saelemaekers_2020_Milan,-0.34216831162373684,38.67,2020,Milan,Serie A,Alexis Saelemaekers,BEL,"FW,DF",20,1999,13,6,684,7.6,1,0,1,1,0,0,4,1,0.6,0.6,0.6,1.2,21.0,14.0,78.0,0.13,0.0,0.13,0.13,0.13,0.08,0.08,0.16,0.08,0.16,https://fbref.com/en/players/ee251371/Alexis-Saelemaekers,7.6,1,9,2,22.2,1.18,0.26,0.11,0.5,17.6,0.0,0,0,0.07,0.4,0.4,271.0,336.0,80.7,3658.0,771.0,159.0,183.0,86.9,85.0,101.0,84.2,9.0,21.0,42.9,0.6,0.9,-0.6,7.0,13.0,9.0,3.0,14.0,336.0,306.0,28.0,0.0,1.0,0.0,24,23.0,5.0,0.0,3.0,0.0,271.0,2.0,10.0,26.0,3.42,24.0,0.0,0.0,1.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,14.0,8,5.0,7.0,2.0,6.0,20.0,30.0,14.0,13.0,1.0,12.0,8,22.0,1.0,0.0,408.0,5.0,46.0,173.0,194.0,20.0,408.0,18.0,8.0,44.4,10.0,55.6,242.0,1107.0,609.0,21.0,15.0,10.0,12.0,6.0,274.0,78.0,13,684,53,20.0,7.6,6,76.0,3,7,32.0,3,2.23,20,9,11,1.45,1.25,16.0,9.0,7.0,0.92,0.57,1,14,8,0,24,8,0.0,0.0,0,38.0,5.0,14.0,26.3,56,Right Winger,6/27/1999,,Belgium,AC Milan,1.8,right,9/1/2020,RSC Anderlecht,6/30/2026,18000000.0,https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950
1,648,7083,Alexis Saelemaekers_2021_Milan,1.0682976392395749,73.33,2021,Milan,Serie A,Alexis Saelemaekers,BEL,FW,21,1999,32,27,2016,22.4,2,4,6,2,0,0,7,1,2.4,2.4,3.1,5.6,43.0,59.0,169.0,0.09,0.18,0.27,0.09,0.27,0.11,0.14,0.25,0.11,0.25,https://fbref.com/en/players/ee251371/Alexis-Saelemaekers,22.4,2,28,7,25.0,1.25,0.31,0.07,0.29,18.4,0.0,0,0,0.09,-0.4,-0.4,679.0,860.0,79.0,8861.0,2127.0,417.0,482.0,86.5,190.0,233.0,81.5,21.0,51.0,41.2,3.1,2.4,0.9,30.0,50.0,23.0,9.0,59.0,860.0,844.0,15.0,2.0,1.0,2.0,47,9.0,4.0,2.0,2.0,0.0,679.0,1.0,19.0,86.0,3.84,66.0,0.0,8.0,1.0,10.0,1.0,9.0,0.4,7.0,0.0,0.0,0.0,2.0,0.0,43.0,26,20.0,18.0,5.0,19.0,60.0,31.7,41.0,29.0,1.0,28.0,25,68.0,6.0,0.0,1126.0,13.0,151.0,457.0,531.0,58.0,1126.0,61.0,37.0,60.7,24.0,39.3,619.0,3436.0,1596.0,43.0,26.0,10.0,61.0,20.0,807.0,169.0,32,2016,63,58.9,22.4,27,70.0,3,5,28.0,0,2.16,41,25,16,0.71,-0.38,40.7,28.2,12.5,0.56,-0.16,1,29,34,6,47,26,1.0,0.0,0,113.0,7.0,16.0,30.4,56,Right Winger,6/27/1999,,Belgium,AC Milan,1.8,right,9/1/2020,RSC Anderlecht,6/30/2026,17000000.0,https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950
2,649,10006,Alexis Saelemaekers_2022_Milan,1.117942060233634,76.0,2022,Milan,Serie A,Alexis Saelemaekers,BEL,FW,22,1999,36,22,1865,20.7,1,3,4,1,0,0,2,0,2.9,2.9,3.3,6.1,63.0,54.0,161.0,0.05,0.14,0.19,0.05,0.19,0.14,0.16,0.3,0.14,0.3,https://fbref.com/en/players/ee251371/Alexis-Saelemaekers,20.7,1,39,12,30.8,1.88,0.58,0.03,0.08,20.7,0.0,0,0,0.07,-1.9,-1.9,681.0,869.0,78.4,9508.0,2300.0,438.0,500.0,87.6,189.0,241.0,78.4,34.0,60.0,56.7,3.3,3.3,-0.3,38.0,45.0,26.0,10.0,54.0,869.0,840.0,28.0,6.0,2.0,1.0,63,11.0,10.0,0.0,2.0,0.0,681.0,1.0,26.0,82.0,3.96,61.0,3.0,8.0,5.0,4.0,1.0,8.0,0.39,5.0,0.0,1.0,0.0,2.0,0.0,43.0,22,12.0,17.0,14.0,15.0,51.0,29.4,36.0,19.0,0.0,19.0,15,58.0,8.0,0.0,1129.0,14.0,111.0,511.0,530.0,68.0,1129.0,92.0,52.0,56.5,40.0,43.5,687.0,4482.0,2160.0,63.0,39.0,16.0,54.0,29.0,827.0,161.0,36,1865,52,54.5,20.7,22,69.0,6,14,24.0,2,2.28,37,21,16,0.77,-0.5,34.7,20.0,14.7,0.71,0.18,0,29,37,1,63,22,0.0,0.0,0,120.0,9.0,14.0,39.1,56,Right Winger,6/27/1999,,Belgium,AC Milan,1.8,right,9/1/2020,RSC Anderlecht,6/30/2026,15000000.0,https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950
3,650,12836,Alexis Saelemaekers_2023_Milan,0.0793731952134776,41.33,2023,Milan,Serie A,Alexis Saelemaekers,BEL,"FW,DF",23,1999,30,14,1403,15.6,2,3,5,2,0,0,1,0,2.5,2.5,4.1,6.6,52.0,52.0,143.0,0.13,0.19,0.32,0.13,0.32,0.16,0.27,0.42,0.16,0.42,https://fbref.com/en/players/ee251371/Alexis-Saelemaekers,15.6,2,35,10,28.6,2.25,0.64,0.06,0.2,20.7,0.0,0,0,0.07,-0.5,-0.5,480.0,621.0,77.3,6935.0,1932.0,279.0,332.0,84.0,155.0,197.0,78.7,26.0,46.0,56.5,4.1,3.6,-1.1,22.0,28.0,30.0,10.0,52.0,621.0,573.0,46.0,5.0,3.0,2.0,48,36.0,5.0,2.0,3.0,0.0,480.0,2.0,12.0,63.0,4.05,42.0,5.0,7.0,7.0,2.0,0.0,6.0,0.39,5.0,0.0,1.0,0.0,0.0,0.0,31.0,20,12.0,16.0,3.0,19.0,41.0,46.3,22.0,13.0,1.0,12.0,19,50.0,11.0,0.0,836.0,13.0,105.0,337.0,407.0,50.0,836.0,72.0,31.0,43.1,32.0,44.4,503.0,3229.0,1563.0,52.0,23.0,15.0,38.0,21.0,568.0,143.0,30,1403,47,41.0,15.6,14,67.0,0,16,29.0,1,1.7,21,16,5,0.32,-0.39,23.3,16.4,6.9,0.44,-0.04,0,23,22,2,48,20,0.0,1.0,0,63.0,9.0,5.0,64.3,56,Right Winger,6/27/1999,,Belgium,,1.8,right,9/1/2020,RSC Anderlecht,6/30/2026,15000000.0,https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950
4,997,3023,Andreas Skov Olsen_2020_Bologna,-2.5995553098577084,4.0,2020,Bologna,Serie A,Andreas Skov Olsen,DEN,"FW,MF",19,1999,26,7,760,8.4,1,0,1,1,0,0,2,0,2.1,2.1,0.6,2.6,41.0,20.0,104.0,0.12,0.0,0.12,0.12,0.12,0.24,0.07,0.31,0.24,0.31,https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen,8.4,1,20,7,35.0,2.37,0.83,0.05,0.14,17.4,1.0,0,0,0.1,-1.1,-1.1,269.0,378.0,71.2,4175.0,1012.0,156.0,182.0,85.7,85.0,126.0,67.5,18.0,41.0,43.9,0.6,0.9,-0.6,8.0,13.0,10.0,5.0,20.0,378.0,347.0,29.0,5.0,0.0,3.0,56,2.0,22.0,13.0,3.0,0.0,269.0,2.0,8.0,21.0,2.49,12.0,3.0,1.0,2.0,2.0,1.0,3.0,0.36,2.0,0.0,0.0,1.0,0.0,0.0,11.0,8,5.0,5.0,1.0,4.0,12.0,33.3,8.0,10.0,1.0,9.0,8,19.0,5.0,0.0,511.0,3.0,67.0,176.0,272.0,29.0,511.0,33.0,12.0,36.4,21.0,63.6,313.0,2313.0,1041.0,41.0,21.0,12.0,32.0,11.0,356.0,104.0,26,760,29,22.2,8.4,7,61.0,0,19,18.0,8,1.12,11,14,-3,-0.36,-0.02,10.6,13.4,-2.7,-0.33,-0.49,0,13,11,3,56,8,0.0,0.0,0,52.0,7.0,8.0,46.7,-,Right Winger,12/29/1999,,Denmark,Club Brugge KV,1.87,left,7/24/2019,FC Nordsjaelland,6/30/2026,6500000.0,https://www.transfermarkt.com/andreas-skov-olsen/profil/spieler/432982
5,998,5772,Andreas Skov Olsen_2021_Bologna,-1.213248926343632,29.330000000000002,2021,Bologna,Serie A,Andreas Skov Olsen,DEN,"FW,DF",20,1999,26,12,1179,13.1,2,3,5,2,0,0,1,0,4.1,4.1,2.0,6.1,61.0,29.0,119.0,0.15,0.23,0.38,0.15,0.38,0.31,0.16,0.47,0.31,0.47,https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen,13.1,2,30,10,33.3,2.29,0.76,0.07,0.2,19.5,2.0,0,0,0.14,-2.1,-2.1,407.0,546.0,74.5,5984.0,1534.0,231.0,263.0,87.8,127.0,172.0,73.8,25.0,61.0,41.0,2.0,1.9,1.0,20.0,12.0,10.0,5.0,29.0,546.0,505.0,38.0,6.0,0.0,5.0,66,5.0,26.0,18.0,2.0,0.0,407.0,3.0,12.0,40.0,3.05,30.0,6.0,3.0,0.0,1.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,19.0,10,11.0,4.0,4.0,11.0,21.0,52.4,10.0,15.0,0.0,15.0,3,22.0,25.0,0.0,710.0,21.0,122.0,243.0,351.0,57.0,710.0,39.0,17.0,43.6,22.0,56.4,405.0,2493.0,1349.0,61.0,26.0,24.0,30.0,9.0,499.0,119.0,26,1179,45,34.5,13.1,12,72.0,1,14,23.0,1,1.08,18,19,-1,-0.08,0.45,21.0,19.4,1.6,0.12,0.51,0,12,12,2,66,10,0.0,0.0,0,58.0,9.0,10.0,47.4,-,Right Winger,12/29/1999,,Denmark,Club Brugge KV,1.87,left,7/24/2019,FC Nordsjaelland,6/30/2026,12000000.0,https://www.transfermarkt.com/andreas-skov-olsen/profil/spieler/432982
6,999,8620,Andreas Skov Olsen_2022_Bologna,-1.622456472354353,20.0,2022,Bologna,Serie A,Andreas Skov Olsen,DEN,"FW,DF",21,1999,18,6,747,8.3,0,2,2,0,0,0,0,0,0.9,0.9,0.4,1.2,29.0,19.0,52.0,0.0,0.24,0.24,0.0,0.24,0.11,0.05,0.15,0.11,0.15,https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen,8.3,0,7,2,28.6,0.84,0.24,0.0,0.0,14.3,0.0,0,0,0.12,-0.9,-0.9,304.0,400.0,76.0,4310.0,1374.0,186.0,215.0,86.5,88.0,113.0,77.9,21.0,50.0,42.0,0.4,0.6,1.6,8.0,13.0,8.0,6.0,19.0,400.0,333.0,65.0,6.0,1.0,0.0,37,42.0,17.0,7.0,0.0,0.0,304.0,2.0,7.0,23.0,2.77,17.0,3.0,1.0,1.0,1.0,0.0,6.0,0.72,3.0,1.0,1.0,0.0,1.0,0.0,12.0,10,4.0,4.0,4.0,5.0,11.0,45.5,6.0,9.0,1.0,8.0,3,15.0,11.0,0.0,491.0,12.0,90.0,203.0,202.0,19.0,491.0,15.0,5.0,33.3,10.0,66.7,253.0,1832.0,823.0,29.0,24.0,8.0,19.0,5.0,325.0,52.0,18,747,42,21.8,8.3,6,74.0,2,12,26.0,2,1.33,13,16,-3,-0.36,-0.09,9.1,12.0,-2.9,-0.35,-0.18,0,4,15,0,37,10,0.0,0.0,0,48.0,4.0,10.0,28.6,,Right Winger,,,,,,,,,,12000000.0,
7,2041,4768,Carles Perez_2020_Roma,3.391232335762445,97.33000000000001,2020,Roma,Serie A,Carles PÃƒÂ©rez,ESP,"FW,MF",21,1998,14,5,566,6.3,1,3,4,1,0,0,2,0,1.2,1.2,1.3,2.5,28.0,21.0,39.0,0.16,0.48,0.64,0.16,0.64,0.18,0.21,0.39,0.18,0.39,https://fbref.com/en/players/a8f21b9f/Carles-Perez,6.3,1,21,8,38.1,3.34,1.27,0.05,0.13,20.0,0.0,0,0,0.06,-0.2,-0.2,191.0,225.0,84.9,3091.0,532.0,102.0,117.0,87.2,69.0,82.0,84.1,13.0,15.0,86.7,1.3,0.9,1.7,10.0,13.0,5.0,0.0,21.0,225.0,212.0,13.0,2.0,2.0,1.0,8,2.0,8.0,1.0,5.0,0.0,191.0,0.0,2.0,28.0,4.44,14.0,4.0,4.0,4.0,2.0,0.0,4.0,0.63,2.0,1.0,0.0,1.0,0.0,0.0,12.0,8,4.0,6.0,2.0,3.0,10.0,30.0,7.0,6.0,1.0,5.0,3,15.0,1.0,0.0,303.0,1.0,30.0,134.0,145.0,21.0,303.0,23.0,14.0,60.9,9.0,39.1,193.0,1285.0,611.0,28.0,18.0,8.0,18.0,11.0,228.0,39.0,14,566,40,16.5,6.3,5,75.0,1,9,21.0,3,1.79,17,11,6,0.95,0.32,15.1,9.8,5.3,0.85,0.26,0,14,9,0,8,8,0.0,0.0,0,19.0,2.0,9.0,18.2,-,Right Winger,2/16/1998,,Spain,Celta de Vigo,1.73,left,9/1/2020,FC Barcelona,6/30/2027,8000000.0,https://www.transfermarkt.com/carles-perez/profil/spieler/282810
8,2042,7554,Carles Perez_2021_Roma,0.20105805887619682,49.33,2021,Roma,Serie A,Carles PÃƒÂ©rez,ESP,"MF,FW",22,1998,21,6,773,8.6,2,1,3,2,0,0,0,0,2.7,2.7,1.3,4.0,32.0,16.0,65.0,0.23,0.12,0.35,0.23,0.35,0.31,0.16,0.47,0.31,0.47,https://fbref.com/en/players/a8f21b9f/Carles-Perez,8.6,2,23,8,34.8,2.68,0.93,0.09,0.25,16.9,0.0,0,0,0.13,-0.7,-0.7,236.0,306.0,77.1,3598.0,570.0,144.0,163.0,88.3,71.0,92.0,77.2,16.0,29.0,55.2,1.3,0.9,-0.3,15.0,10.0,3.0,0.0,16.0,306.0,281.0,20.0,3.0,2.0,2.0,25,0.0,15.0,3.0,12.0,0.0,236.0,5.0,9.0,33.0,3.84,13.0,7.0,6.0,4.0,3.0,0.0,5.0,0.58,0.0,1.0,2.0,1.0,1.0,0.0,9.0,4,3.0,6.0,0.0,6.0,31.0,19.4,25.0,9.0,0.0,9.0,6,15.0,1.0,0.0,422.0,5.0,35.0,182.0,214.0,34.0,422.0,32.0,17.0,53.1,15.0,46.9,239.0,1665.0,840.0,32.0,26.0,12.0,26.0,14.0,307.0,65.0,21,773,37,22.6,8.6,6,87.0,4,15,17.0,11,1.67,13,16,-3,-0.35,-0.79,14.3,13.6,0.8,0.09,-0.56,0,12,7,0,25,4,1.0,0.0,0,31.0,3.0,11.0,21.4,-,Right Winger,2/16/1998,,Spain,Celta de Vigo,1.73,left,9/1/2020,FC Barcelona,6/30/2027,6000000.0,https://www.transfermarkt.com/carles-perez/profil/spieler/282810
9,2142,2090,Cengiz Under_2019_Roma,0.9964353858706405,70.67,2019,Roma,Serie A,Cengiz ÃƒÅ“nder,TUR,FW,21,1997,26,17,1375,15.3,3,7,10,3,0,0,1,0,2.4,2.4,3.9,6.4,53.0,45.0,164.0,0.2,0.46,0.65,0.2,0.65,0.16,0.26,0.42,0.16,0.42,https://fbref.com/en/players/1880614f/Cengiz-Under,15.3,3,39,12,30.8,2.55,0.79,0.08,0.25,20.5,0.0,0,0,0.06,0.6,0.6,413.0,572.0,72.2,6466.0,1690.0,229.0,265.0,86.4,124.0,166.0,74.7,40.0,84.0,47.6,3.9,3.4,3.1,32.0,29.0,28.0,8.0,45.0,572.0,536.0,35.0,7.0,2.0,8.0,63,5.0,23.0,13.0,0.0,0.0,413.0,1.0,25.0,73.0,4.79,49.0,9.0,8.0,3.0,4.0,0.0,12.0,0.79,8.0,1.0,2.0,0.0,1.0,0.0,6.0,3,3.0,3.0,0.0,2.0,11.0,18.2,9.0,7.0,0.0,7.0,13,19.0,5.0,0.0,731.0,6.0,69.0,275.0,400.0,59.0,731.0,43.0,21.0,48.8,22.0,51.2,515.0,3592.0,1622.0,53.0,43.0,17.0,38.0,22.0,581.0,164.0,26,1375,53,40.2,15.3,17,72.0,5,9,17.0,4,1.73,29,17,12,0.79,0.52,27.5,22.8,4.8,0.31,-0.02,0,8,29,4,63,3,0.0,1.0,0,59.0,5.0,12.0,29.4,-,Right Winger,7/14/1997,,Turkey,Olympique Marseille,1.73,left,7/16/2017,Basaksehir FK,6/30/2025,24000000.0,https://www.transfermarkt.com/cengiz-under/profil/spieler/341647
10,2143,4773,Cengiz Under_2020_Roma,1.8334744109403465,86.67,2020,Roma,Serie A,Cengiz ÃƒÅ“nder,TUR,FW,22,1997,18,10,873,9.7,3,0,3,3,0,0,2,0,2.0,2.0,2.6,4.6,46.0,41.0,101.0,0.31,0.0,0.31,0.31,0.31,0.2,0.27,0.47,0.2,0.47,https://fbref.com/en/players/1880614f/Cengiz-Under,9.7,3,27,9,33.3,2.78,0.93,0.11,0.33,20.1,0.0,0,0,0.07,1.0,1.0,245.0,346.0,70.8,4392.0,1326.0,117.0,135.0,86.7,82.0,110.0,74.5,35.0,68.0,51.5,2.6,1.8,-2.6,27.0,22.0,20.0,7.0,41.0,346.0,325.0,19.0,4.0,5.0,12.0,44,1.0,14.0,8.0,2.0,1.0,245.0,2.0,8.0,56.0,5.77,35.0,1.0,13.0,4.0,2.0,1.0,2.0,0.21,0.0,0.0,1.0,1.0,0.0,0.0,10.0,6,4.0,4.0,2.0,2.0,9.0,22.2,7.0,7.0,2.0,5.0,8,18.0,7.0,0.0,464.0,10.0,50.0,166.0,254.0,47.0,464.0,42.0,32.0,76.2,10.0,23.8,302.0,2341.0,1227.0,46.0,29.0,21.0,26.0,10.0,339.0,101.0,18,873,49,25.5,9.7,10,70.0,2,8,22.0,11,1.67,20,18,2,0.21,-0.64,22.0,13.3,8.7,0.9,0.36,0,5,16,0,44,6,0.0,0.0,0,35.0,5.0,3.0,62.5,,Right Winger,,,,,,,,,,18000000.0,
11,2556,12213,Cyril Ngonge_2023_Hellas Verona,-3.83937282313268,0.0,2023,Hellas Verona,Serie A,Cyril Ngonge,BEL,"MF,FW",22,2000,14,9,745,8.3,3,1,4,3,0,0,2,0,2.0,2.0,0.6,2.5,18.0,13.0,40.0,0.36,0.12,0.48,0.36,0.48,0.24,0.07,0.31,0.24,0.31,https://fbref.com/en/players/2b8360f1/Cyril-Ngonge,8.3,3,26,10,38.5,3.14,1.21,0.12,0.3,23.5,0.0,0,0,0.08,1.0,1.0,98.0,175.0,56.0,1450.0,491.0,53.0,81.0,65.4,34.0,49.0,69.4,8.0,22.0,36.4,0.6,0.6,0.4,11.0,10.0,6.0,4.0,13.0,175.0,160.0,12.0,2.0,1.0,1.0,18,0.0,7.0,3.0,3.0,0.0,98.0,3.0,8.0,27.0,3.27,13.0,3.0,4.0,6.0,1.0,0.0,3.0,0.36,1.0,1.0,0.0,1.0,0.0,0.0,7.0,3,2.0,2.0,3.0,3.0,11.0,27.3,8.0,7.0,0.0,7.0,6,13.0,4.0,0.0,300.0,5.0,28.0,135.0,143.0,20.0,300.0,35.0,12.0,34.3,20.0,57.1,181.0,993.0,473.0,18.0,11.0,9.0,23.0,12.0,202.0,40.0,14,745,53,21.8,8.3,9,71.0,2,5,22.0,4,1.13,8,9,-1,-0.12,0.79,8.3,10.4,-2.1,-0.25,0.15,0,13,11,5,18,3,0.0,1.0,0,29.0,17.0,35.0,32.7,26,Right Winger,5/26/2000,,Belgium,,1.79,left,1/19/2023,FC Groningen,6/30/2026,2000000.0,https://www.transfermarkt.com/cyril-ngonge/profil/spieler/358032
12,2747,7814,Daniele Verde_2021_Spezia,-2.269653361158892,5.33,2021,Spezia,Serie A,Daniele Verde,ITA,FW,24,1996,21,12,980,10.9,6,1,7,6,0,0,1,0,3.0,3.0,1.9,5.0,28.0,30.0,88.0,0.55,0.09,0.64,0.55,0.64,0.28,0.18,0.45,0.28,0.45,https://fbref.com/en/players/d3298c99/Daniele-Verde,10.9,6,33,15,45.5,3.03,1.38,0.18,0.4,18.4,0.0,0,0,0.09,3.0,3.0,317.0,411.0,77.1,5309.0,858.0,172.0,200.0,86.0,113.0,144.0,78.5,30.0,58.0,51.7,1.9,2.6,-0.9,10.0,14.0,9.0,0.0,30.0,411.0,375.0,36.0,3.0,1.0,6.0,45,15.0,18.0,8.0,2.0,0.0,317.0,0.0,5.0,26.0,2.39,22.0,2.0,1.0,1.0,0.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4,2.0,2.0,1.0,4.0,10.0,40.0,6.0,5.0,0.0,5.0,9,14.0,7.0,0.0,500.0,7.0,57.0,188.0,260.0,57.0,500.0,17.0,7.0,41.2,10.0,58.8,338.0,2187.0,784.0,28.0,14.0,12.0,14.0,7.0,377.0,88.0,21,980,47,28.7,10.9,12,64.0,0,9,23.0,6,0.77,13,27,-14,-1.29,-1.06,13.1,20.8,-7.7,-0.71,-0.31,0,2,12,2,45,4,0.0,0.0,0,45.0,0.0,0.0,,10,Right Winger,6/20/1996,,Italy,Spezia Calcio,1.68,left,7/1/2021,AEK Athens,6/30/2025,5000000.0,https://www.transfermarkt.com/daniele-verde/profil/spieler/256361
13,2748,10706,Daniele Verde_2022_Spezia,-1.6703202781738293,17.330000000000002,2022,Spezia,Serie A,Daniele Verde,ITA,"FW,MF",25,1996,33,21,1957,21.7,8,6,14,7,1,2,2,0,5.4,3.9,4.9,8.8,51.0,71.0,98.0,0.37,0.28,0.64,0.32,0.6,0.25,0.23,0.48,0.18,0.4,https://fbref.com/en/players/d3298c99/Daniele-Verde,21.7,8,51,21,41.2,2.35,0.97,0.14,0.33,22.8,9.0,1,2,0.08,2.6,3.1,576.0,826.0,69.7,10492.0,3274.0,287.0,342.0,83.9,194.0,265.0,73.2,81.0,173.0,46.8,4.9,4.0,1.1,39.0,49.0,26.0,8.0,71.0,826.0,686.0,136.0,40.0,4.0,12.0,141,18.0,77.0,41.0,26.0,1.0,576.0,4.0,13.0,79.0,3.64,48.0,20.0,4.0,6.0,1.0,0.0,11.0,0.51,7.0,2.0,0.0,2.0,0.0,0.0,11.0,4,8.0,2.0,1.0,9.0,20.0,45.0,11.0,17.0,2.0,15.0,18,29.0,8.0,0.0,987.0,17.0,158.0,381.0,457.0,49.0,985.0,38.0,15.0,39.5,23.0,60.5,575.0,3484.0,1465.0,51.0,32.0,19.0,17.0,12.0,652.0,98.0,33,1957,59,57.2,21.7,21,77.0,7,12,29.0,2,0.94,31,46,-15,-0.69,0.23,24.2,34.9,-10.7,-0.49,0.34,0,3,15,12,141,4,0.0,0.0,0,102.0,1.0,0.0,100.0,10,Right Winger,6/20/1996,,Italy,Spezia Calcio,1.68,left,7/1/2021,AEK Athens,6/30/2025,3000000.0,https://www.transfermarkt.com/daniele-verde/profil/spieler/256361
14,2749,13574,Daniele Verde_2023_Spezia,-2.1048439155530403,10.67,2023,Spezia,Serie A,Daniele Verde,ITA,"FW,MF",26,1996,25,11,998,11.1,3,0,3,2,1,1,1,0,2.9,2.1,1.3,3.4,18.0,42.0,57.0,0.27,0.0,0.27,0.18,0.18,0.26,0.12,0.38,0.19,0.31,https://fbref.com/en/players/d3298c99/Daniele-Verde,11.1,3,32,10,31.3,2.89,0.9,0.06,0.2,21.6,1.0,1,1,0.07,0.1,-0.1,312.0,443.0,70.4,5403.0,1794.0,143.0,175.0,81.7,128.0,168.0,76.2,35.0,74.0,47.3,1.3,2.4,-1.3,18.0,28.0,17.0,6.0,42.0,443.0,348.0,93.0,18.0,1.0,6.0,68,18.0,37.0,20.0,12.0,0.0,312.0,2.0,8.0,44.0,3.97,27.0,12.0,0.0,1.0,1.0,3.0,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4,3.0,0.0,1.0,3.0,7.0,42.9,4.0,6.0,0.0,6.0,8,12.0,4.0,0.0,538.0,11.0,63.0,219.0,261.0,30.0,537.0,17.0,6.0,35.3,7.0,41.2,301.0,1569.0,592.0,18.0,9.0,8.0,17.0,12.0,345.0,57.0,25,998,40,29.2,11.1,11,62.0,0,14,23.0,7,0.58,8,20,-12,-1.08,-0.38,14.5,18.8,-4.3,-0.39,0.12,0,2,15,3,68,4,0.0,0.0,0,50.0,0.0,2.0,0.0,,Right Winger,,,,,,,,,,3000000.0,
