,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,136,13771,Adam Masina_2023_Udinese,-2.4828117461477834,3.26,2023,Udinese,Serie A,Adam Masina,MAR,DF,28,1994,14,8,789,8.8,2,0,2,2,0,0,2,0,0.1,0.1,0.2,0.3,4.0,24.0,6.0,0.23,0.0,0.23,0.23,0.23,0.01,0.02,0.03,0.01,0.03,https://fbref.com/en/players/de0f152c/Adam-Masina,8.8,2,2,2,100.0,0.23,0.23,1.0,1.0,12.3,0.0,0,0,0.04,1.9,1.9,332.0,428.0,77.6,7007.0,2817.0,110.0,125.0,88.0,164.0,195.0,84.1,56.0,99.0,56.6,0.2,0.3,-0.2,2.0,26.0,5.0,3.0,24.0,428.0,386.0,40.0,13.0,1.0,6.0,10,27.0,0.0,0.0,0.0,0.0,332.0,2.0,3.0,5.0,0.57,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7,7.0,3.0,0.0,6.0,15.0,40.0,9.0,11.0,4.0,7.0,10,20.0,28.0,1.0,496.0,55.0,243.0,219.0,41.0,6.0,496.0,4.0,3.0,75.0,0.0,0.0,297.0,1477.0,714.0,4.0,3.0,1.0,4.0,1.0,307.0,6.0,14,789,56,23.1,8.8,8,82.0,5,6,22.0,6,1.07,12,14,-2,-0.23,-0.26,11.6,14.8,-3.1,-0.36,-0.3,0,11,1,0,10,7,0.0,1.0,0,44.0,26.0,11.0,70.3,3,Left-Back,1/2/1994,,Morocco,,1.91,left,7/18/2022,Watford FC,6/30/2025,2500000.0,https://www.transfermarkt.com/adam-masina/profil/spieler/286949
1,408,12075,Aleksa Terzic_2023_Fiorentina,2.4172150767418894,92.39,2023,Fiorentina,Serie A,Aleksa TerziÃ„â€¡,SRB,DF,22,1999,22,8,935,10.4,1,1,2,1,0,0,2,0,0.4,0.4,1.9,2.3,49.0,40.0,61.0,0.1,0.1,0.19,0.1,0.19,0.04,0.18,0.22,0.04,0.22,https://fbref.com/en/players/3ef0a2d7/Aleksa-Terzic,10.4,1,10,2,20.0,0.96,0.19,0.1,0.5,24.8,0.0,0,0,0.04,0.6,0.6,582.0,724.0,80.4,10551.0,3203.0,258.0,282.0,91.5,239.0,292.0,81.8,73.0,112.0,65.2,1.9,1.9,-0.9,25.0,34.0,26.0,23.0,40.0,724.0,590.0,131.0,12.0,0.0,1.0,79,111.0,8.0,0.0,5.0,0.0,582.0,3.0,19.0,43.0,4.13,32.0,6.0,4.0,1.0,0.0,0.0,5.0,0.48,3.0,1.0,0.0,1.0,0.0,0.0,16.0,9,9.0,4.0,3.0,11.0,21.0,52.4,10.0,13.0,4.0,9.0,5,21.0,16.0,0.0,824.0,26.0,220.0,341.0,272.0,9.0,824.0,27.0,16.0,59.3,8.0,29.6,484.0,3453.0,1961.0,49.0,28.0,4.0,14.0,7.0,511.0,61.0,22,935,43,27.3,10.4,8,85.0,5,14,18.0,13,1.32,16,8,8,0.77,0.7,17.5,9.4,8.1,0.78,0.64,0,4,12,3,79,9,0.0,0.0,0,59.0,7.0,9.0,43.8,15,Left-Back,8/17/1999,,Serbia,,1.84,left,7/1/2019,Red Star Belgrade,6/30/2024,2000000.0,https://www.transfermarkt.com/aleksa-terzic/profil/spieler/404260
2,413,2076,Aleksandar Kolarov_2019_Roma,1.0877765099258363,77.17,2019,Roma,Serie A,Aleksandar Kolarov,SRB,DF,32,1985,33,32,2906,32.3,8,2,10,5,3,3,7,1,5.0,2.6,6.6,9.2,105.0,165.0,177.0,0.25,0.06,0.31,0.15,0.22,0.15,0.2,0.36,0.08,0.28,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,32.3,8,40,13,32.5,1.24,0.4,0.13,0.38,24.5,12.0,3,3,0.06,3.0,2.4,1599.0,2069.0,77.3,27091.0,11540.0,821.0,903.0,90.9,567.0,718.0,79.0,162.0,324.0,50.0,6.6,5.5,-4.6,58.0,137.0,52.0,27.0,165.0,2069.0,1677.0,386.0,69.0,1.0,39.0,190,267.0,50.0,9.0,38.0,0.0,1599.0,6.0,52.0,114.0,3.53,70.0,30.0,3.0,5.0,4.0,2.0,9.0,0.28,6.0,1.0,1.0,0.0,0.0,1.0,38.0,26,22.0,10.0,6.0,21.0,34.0,61.8,13.0,23.0,15.0,8.0,41,79.0,82.0,2.0,2377.0,125.0,645.0,1061.0,698.0,40.0,2374.0,55.0,31.0,56.4,24.0,43.6,1225.0,7207.0,4656.0,105.0,70.0,16.0,28.0,17.0,1482.0,177.0,33,2906,88,85.0,32.3,32,90.0,31,1,27.0,0,1.73,60,41,19,0.59,0.76,56.7,45.7,10.9,0.34,0.11,1,28,39,1,190,26,0.0,1.0,0,182.0,38.0,25.0,60.3,-,Left-Back,11/10/1985,,Serbia,,1.87,left,7/22/2017,Manchester City,,6500000.0,https://www.transfermarkt.com/aleksandar-kolarov/profil/spieler/46156
3,414,4759,Aleksandar Kolarov_2020_Roma,1.1345541957113754,81.52000000000001,2020,Roma,Serie A,Aleksandar Kolarov,SRB,DF,33,1985,32,30,2732,30.4,7,3,10,5,2,4,6,0,6.7,3.5,5.1,8.7,86.0,111.0,193.0,0.23,0.1,0.33,0.16,0.26,0.22,0.17,0.39,0.12,0.29,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,30.4,7,68,17,25.0,2.24,0.56,0.07,0.29,26.1,27.0,2,4,0.05,0.3,1.5,1445.0,1823.0,79.3,26871.0,8919.0,624.0,684.0,91.2,640.0,761.0,84.1,170.0,311.0,54.7,5.1,4.4,-2.1,56.0,89.0,40.0,18.0,111.0,1823.0,1503.0,315.0,66.0,5.0,31.0,183,178.0,71.0,5.0,61.0,0.0,1445.0,5.0,34.0,115.0,3.79,72.0,24.0,3.0,12.0,2.0,2.0,4.0,0.13,3.0,1.0,0.0,0.0,0.0,0.0,37.0,28,16.0,16.0,5.0,20.0,37.0,54.1,17.0,20.0,9.0,11.0,31,68.0,57.0,0.0,2105.0,96.0,551.0,891.0,682.0,67.0,2101.0,35.0,19.0,54.3,16.0,45.7,1039.0,5776.0,3584.0,86.0,46.0,15.0,22.0,11.0,1314.0,193.0,32,2732,85,79.9,30.4,30,90.0,30,2,16.0,5,2.0,64,37,27,0.89,1.02,61.7,35.9,25.8,0.85,1.11,0,29,30,3,183,28,0.0,2.0,0,158.0,42.0,30.0,58.3,,Left-Back,,,,,,,,,,1500000.0,
4,563,1257,Alex Sandro_2019_Juventus,1.0891571158282563,79.35,2019,Juventus,Serie A,Alex Sandro,BRA,DF,27,1991,31,28,2387,26.5,1,2,3,1,0,0,7,0,1.5,1.5,2.4,3.9,104.0,163.0,163.0,0.04,0.08,0.11,0.04,0.11,0.06,0.09,0.15,0.06,0.15,https://fbref.com/en/players/0d82903c/Alex-Sandro,26.5,1,22,8,36.4,0.83,0.3,0.05,0.13,15.0,0.0,0,0,0.07,-0.5,-0.5,1531.0,1898.0,80.7,25867.0,7764.0,723.0,799.0,90.5,646.0,761.0,84.9,130.0,229.0,56.8,2.4,3.2,-0.4,36.0,125.0,39.0,15.0,163.0,1898.0,1675.0,211.0,26.0,2.0,19.0,116,185.0,0.0,0.0,0.0,0.0,1531.0,12.0,48.0,77.0,2.9,69.0,2.0,2.0,1.0,2.0,1.0,6.0,0.23,5.0,0.0,0.0,0.0,0.0,1.0,68.0,45,28.0,33.0,7.0,21.0,36.0,58.3,15.0,32.0,8.0,24.0,38,106.0,71.0,0.0,2215.0,95.0,495.0,1091.0,645.0,45.0,2215.0,56.0,29.0,51.8,27.0,48.2,1334.0,7251.0,4204.0,104.0,84.0,8.0,34.0,25.0,1522.0,163.0,31,2387,77,69.8,26.5,28,84.0,21,3,11.0,2,2.55,50,19,31,1.17,0.38,46.0,25.5,20.4,0.77,0.37,0,49,49,2,116,45,0.0,1.0,0,163.0,55.0,38.0,59.1,12,Left-Back,1/26/1991,,Brazil,Juventus FC,1.81,left,8/20/2015,FC Porto,6/30/2024,40000000.0,https://www.transfermarkt.com/alex-sandro/profil/spieler/79960
5,564,3787,Alex Sandro_2020_Juventus,0.9753660559386884,73.91,2020,Juventus,Serie A,Alex Sandro,BRA,DF,28,1991,29,27,2385,26.5,1,3,4,1,0,0,4,0,0.8,0.8,2.1,2.8,91.0,151.0,83.0,0.04,0.11,0.15,0.04,0.15,0.03,0.08,0.11,0.03,0.11,https://fbref.com/en/players/0d82903c/Alex-Sandro,26.5,1,16,4,25.0,0.6,0.15,0.06,0.25,17.8,0.0,0,0,0.05,0.2,0.2,1687.0,1983.0,85.1,27574.0,8739.0,820.0,887.0,92.4,697.0,790.0,88.2,126.0,207.0,60.9,2.1,2.0,0.9,33.0,110.0,40.0,13.0,151.0,1983.0,1726.0,245.0,31.0,2.0,13.0,67,214.0,0.0,0.0,0.0,0.0,1687.0,12.0,23.0,78.0,2.94,64.0,4.0,3.0,1.0,6.0,0.0,7.0,0.26,6.0,0.0,0.0,1.0,0.0,0.0,44.0,26,23.0,14.0,7.0,12.0,33.0,36.4,21.0,26.0,6.0,20.0,47,91.0,46.0,3.0,2244.0,86.0,541.0,1119.0,602.0,30.0,2244.0,56.0,37.0,66.1,19.0,33.9,1462.0,7224.0,3972.0,91.0,88.0,10.0,23.0,16.0,1538.0,83.0,29,2385,82,69.7,26.5,27,87.0,24,2,24.0,3,2.03,48,31,17,0.64,-0.75,52.0,32.8,19.3,0.73,0.13,0,42,45,0,67,26,1.0,1.0,0,162.0,31.0,24.0,56.4,12,Left-Back,1/26/1991,,Brazil,Juventus FC,1.81,left,8/20/2015,FC Porto,6/30/2024,20000000.0,https://www.transfermarkt.com/alex-sandro/profil/spieler/79960
6,565,6591,Alex Sandro_2021_Juventus,0.5347722147552383,57.60999999999999,2021,Juventus,Serie A,Alex Sandro,BRA,DF,29,1991,26,20,1858,20.6,2,1,3,2,0,0,2,0,1.6,1.6,1.6,3.2,69.0,130.0,76.0,0.1,0.05,0.15,0.1,0.15,0.08,0.08,0.16,0.08,0.16,https://fbref.com/en/players/0d82903c/Alex-Sandro,20.6,2,13,3,23.1,0.63,0.15,0.15,0.67,13.4,0.0,0,0,0.13,0.4,0.4,1208.0,1421.0,85.0,21302.0,6647.0,512.0,549.0,93.3,550.0,608.0,90.5,117.0,195.0,60.0,1.6,1.9,-0.6,17.0,100.0,20.0,11.0,130.0,1421.0,1290.0,128.0,24.0,0.0,13.0,60,103.0,0.0,0.0,0.0,0.0,1208.0,3.0,22.0,45.0,2.18,38.0,1.0,2.0,2.0,2.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,37.0,23,19.0,13.0,5.0,13.0,25.0,52.0,12.0,20.0,4.0,16.0,31,68.0,57.0,0.0,1645.0,108.0,490.0,831.0,335.0,43.0,1645.0,28.0,22.0,78.6,6.0,21.4,938.0,5241.0,3243.0,69.0,44.0,7.0,24.0,11.0,1160.0,76.0,26,1858,71,54.3,20.6,20,86.0,15,6,23.0,1,2.23,49,21,28,1.36,0.72,42.8,21.9,20.9,1.01,0.2,0,26,28,0,60,23,0.0,0.0,1,123.0,38.0,23.0,62.3,12,Left-Back,1/26/1991,,Brazil,Juventus FC,1.81,left,8/20/2015,FC Porto,6/30/2024,6000000.0,https://www.transfermarkt.com/alex-sandro/profil/spieler/79960
7,566,9463,Alex Sandro_2022_Juventus,0.34721821551001947,54.35,2022,Juventus,Serie A,Alex Sandro,BRA,DF,30,1991,28,17,1780,19.8,0,1,1,0,0,0,3,0,0.9,0.9,1.3,2.2,68.0,80.0,86.0,0.0,0.05,0.05,0.0,0.05,0.04,0.07,0.11,0.04,0.11,https://fbref.com/en/players/0d82903c/Alex-Sandro,19.8,0,9,2,22.2,0.46,0.1,0.0,0.0,13.0,0.0,0,0,0.1,-0.9,-0.9,918.0,1096.0,83.8,16222.0,5459.0,396.0,440.0,90.0,420.0,489.0,85.9,84.0,119.0,70.6,1.3,1.3,-0.3,23.0,73.0,26.0,10.0,80.0,1096.0,960.0,132.0,21.0,0.0,8.0,35,109.0,0.0,0.0,0.0,0.0,918.0,4.0,15.0,42.0,2.12,36.0,1.0,1.0,0.0,3.0,1.0,7.0,0.35,6.0,0.0,0.0,0.0,1.0,0.0,27.0,16,15.0,9.0,3.0,11.0,25.0,44.0,14.0,17.0,6.0,11.0,27,54.0,40.0,0.0,1288.0,84.0,411.0,568.0,321.0,37.0,1288.0,29.0,14.0,48.3,15.0,51.7,725.0,4206.0,2255.0,68.0,32.0,9.0,15.0,20.0,835.0,86.0,28,1780,64,52.0,19.8,17,85.0,13,11,31.0,4,1.61,26,25,1,0.05,-0.99,25.7,21.0,4.7,0.24,-0.23,0,31,34,1,35,16,1.0,0.0,1,113.0,31.0,20.0,60.8,12,Left-Back,1/26/1991,,Brazil,Juventus FC,1.81,left,8/20/2015,FC Porto,6/30/2024,3000000.0,https://www.transfermarkt.com/alex-sandro/profil/spieler/79960
8,567,12336,Alex Sandro_2023_Juventus,-0.30732953317148354,45.65,2023,Juventus,Serie A,Alex Sandro,BRA,DF,31,1991,25,21,1787,19.9,0,1,1,0,0,0,5,1,0.2,0.2,0.9,1.1,51.0,97.0,25.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.05,0.01,0.05,https://fbref.com/en/players/0d82903c/Alex-Sandro,19.9,0,5,0,0.0,0.25,0.0,0.0,,22.7,0.0,0,0,0.04,-0.2,-0.2,1081.0,1256.0,86.1,19560.0,6667.0,466.0,504.0,92.5,477.0,532.0,89.7,120.0,172.0,69.8,0.9,1.1,0.1,12.0,93.0,9.0,3.0,97.0,1256.0,1100.0,152.0,24.0,0.0,8.0,19,117.0,0.0,0.0,0.0,0.0,1081.0,4.0,13.0,36.0,1.81,32.0,0.0,2.0,0.0,1.0,1.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,35.0,20,16.0,16.0,3.0,15.0,22.0,68.2,7.0,27.0,10.0,17.0,15,50.0,64.0,1.0,1455.0,118.0,521.0,750.0,196.0,13.0,1455.0,28.0,19.0,67.9,4.0,14.3,763.0,4257.0,2489.0,51.0,36.0,3.0,26.0,17.0,901.0,25.0,25,1787,71,52.3,19.9,21,82.0,16,4,15.0,8,1.92,35,20,15,0.76,0.31,31.6,23.8,7.8,0.39,0.07,0,27,25,1,19,20,1.0,0.0,0,127.0,39.0,22.0,63.9,12,Left-Back,1/26/1991,,Brazil,,1.81,left,8/20/2015,FC Porto,6/30/2024,3000000.0,https://www.transfermarkt.com/alex-sandro/profil/spieler/79960
9,1233,12404,Antonino Gallo_2023_Lecce,-1.2037987558043857,26.090000000000003,2023,Lecce,Serie A,Antonino Gallo,ITA,DF,22,2000,32,28,2486,27.6,0,1,1,0,0,0,5,1,0.6,0.6,1.9,2.6,71.0,154.0,65.0,0.0,0.04,0.04,0.0,0.04,0.02,0.07,0.09,0.02,0.09,https://fbref.com/en/players/c74d63ac/Antonino-Gallo,27.6,0,10,2,20.0,0.36,0.07,0.0,0.0,25.8,0.0,0,0,0.06,-0.6,-0.6,843.0,1254.0,67.2,15118.0,6837.0,373.0,438.0,85.2,365.0,511.0,71.4,89.0,245.0,36.3,1.9,2.1,-0.9,38.0,121.0,34.0,19.0,154.0,1254.0,980.0,267.0,20.0,0.0,14.0,89,247.0,0.0,0.0,0.0,0.0,843.0,7.0,24.0,64.0,2.32,50.0,9.0,3.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,56.0,36,35.0,12.0,9.0,38.0,57.0,66.7,19.0,37.0,6.0,31.0,13,69.0,71.0,0.0,1509.0,91.0,472.0,646.0,415.0,14.0,1509.0,29.0,15.0,51.7,10.0,34.5,683.0,4301.0,2501.0,71.0,44.0,5.0,22.0,7.0,706.0,65.0,32,2486,78,72.7,27.6,28,86.0,23,4,21.0,4,1.09,24,28,-4,-0.14,0.72,26.4,27.1,-0.7,-0.03,0.49,1,13,17,2,89,36,0.0,0.0,2,198.0,25.0,29.0,46.3,25,Left-Back,1/5/2000,,Italy,,1.83,left,7/25/2019,SSD Palermo,6/30/2026,2500000.0,https://www.transfermarkt.com/antonino-gallo/profil/spieler/392516
10,1344,10701,Arkadiusz Reca_2022_Spezia,-1.5151687736046981,15.22,2022,Spezia,Serie A,Arkadiusz Reca,POL,DF,26,1995,25,22,1772,19.7,0,2,2,0,0,0,3,0,0.3,0.3,2.1,2.5,51.0,57.0,41.0,0.0,0.1,0.1,0.0,0.1,0.02,0.11,0.13,0.02,0.13,https://fbref.com/en/players/6213fd82/Arkadiusz-Reca,19.7,0,8,4,50.0,0.41,0.2,0.0,0.0,20.8,0.0,0,0,0.04,-0.3,-0.3,622.0,879.0,70.8,10345.0,4830.0,309.0,369.0,83.7,233.0,304.0,76.6,61.0,144.0,42.4,2.1,1.5,-0.1,13.0,45.0,15.0,9.0,57.0,879.0,688.0,185.0,7.0,0.0,3.0,37,178.0,0.0,0.0,0.0,0.0,622.0,6.0,28.0,29.0,1.47,23.0,3.0,2.0,0.0,1.0,0.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0,31.0,19,21.0,3.0,7.0,20.0,30.0,66.7,10.0,20.0,7.0,13.0,32,63.0,47.0,2.0,1101.0,85.0,433.0,446.0,229.0,10.0,1101.0,23.0,12.0,52.2,11.0,47.8,504.0,3188.0,1800.0,51.0,30.0,5.0,37.0,8.0,560.0,41.0,25,1772,71,51.8,19.7,22,77.0,13,3,26.0,1,1.0,18,31,-13,-0.66,0.27,19.2,31.7,-12.5,-0.64,0.01,0,23,13,0,37,19,0.0,1.0,0,98.0,18.0,28.0,39.1,13,Left-Back,6/17/1995,,Poland,Spezia Calcio,1.87,left,7/1/2022,Atalanta BC,6/30/2025,3000000.0,https://www.transfermarkt.com/arkadiusz-reca/profil/spieler/268178
11,1345,13569,Arkadiusz Reca_2023_Spezia,-1.423958164390844,18.48,2023,Spezia,Serie A,Arkadiusz Reca,POL,DF,27,1995,30,24,2173,24.1,1,1,2,1,0,0,5,0,1.0,1.0,2.2,3.2,82.0,79.0,94.0,0.04,0.04,0.08,0.04,0.08,0.04,0.09,0.13,0.04,0.13,https://fbref.com/en/players/6213fd82/Arkadiusz-Reca,24.1,1,22,8,36.4,0.91,0.33,0.05,0.13,23.7,0.0,0,0,0.04,0.0,0.0,827.0,1197.0,69.1,14250.0,5884.0,393.0,478.0,82.2,320.0,430.0,74.4,89.0,200.0,44.5,2.2,2.1,-1.2,23.0,76.0,33.0,25.0,79.0,1197.0,943.0,250.0,5.0,0.0,9.0,99,245.0,0.0,0.0,0.0,0.0,827.0,4.0,45.0,50.0,2.07,39.0,2.0,3.0,4.0,1.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,44.0,28,22.0,12.0,10.0,19.0,32.0,59.4,13.0,21.0,5.0,16.0,24,68.0,54.0,0.0,1483.0,90.0,469.0,605.0,424.0,32.0,1483.0,61.0,19.0,31.1,36.0,59.0,736.0,5119.0,3001.0,82.0,50.0,8.0,38.0,10.0,821.0,94.0,30,2173,72,63.5,24.1,24,83.0,17,6,30.0,1,0.71,21,38,-17,-0.7,0.31,25.5,35.3,-9.8,-0.41,0.18,0,32,15,2,99,28,0.0,1.0,0,125.0,19.0,22.0,46.3,,Left-Back,,,,,,,,,,3000000.0,
12,2489,2344,Cristian Ansaldi_2019_Torino,0.8273403473307882,64.13,2019,Torino,Serie A,Cristian Ansaldi,ARG,"DF,MF",31,1986,24,23,1807,20.1,3,2,5,3,0,0,3,0,1.4,1.4,2.9,4.3,96.0,93.0,108.0,0.15,0.1,0.25,0.15,0.25,0.07,0.14,0.21,0.07,0.21,https://fbref.com/en/players/bbafc0c4/Cristian-Ansaldi,20.1,3,39,10,25.6,1.94,0.5,0.08,0.3,25.5,5.0,0,0,0.03,1.6,1.6,574.0,888.0,64.6,10975.0,4452.0,268.0,307.0,87.3,192.0,307.0,62.5,93.0,212.0,43.9,2.9,2.4,-0.9,35.0,53.0,47.0,30.0,93.0,888.0,671.0,210.0,32.0,3.0,25.0,147,152.0,25.0,7.0,3.0,1.0,574.0,7.0,29.0,66.0,3.29,40.0,10.0,9.0,4.0,2.0,1.0,5.0,0.25,3.0,0.0,1.0,0.0,0.0,1.0,50.0,26,19.0,21.0,10.0,15.0,30.0,50.0,15.0,21.0,4.0,17.0,15,65.0,31.0,0.0,1159.0,37.0,233.0,474.0,479.0,36.0,1159.0,80.0,53.0,66.3,27.0,33.8,632.0,5111.0,2846.0,96.0,60.0,9.0,48.0,33.0,660.0,108.0,24,1807,75,52.8,20.1,23,77.0,13,1,25.0,4,1.71,23,15,8,0.4,0.01,20.9,26.2,-5.3,-0.26,-0.5,0,22,32,2,147,26,0.0,0.0,0,114.0,3.0,16.0,15.8,-,Left-Back,9/20/1986,,Argentina,Parma Calcio 1913,1.81,both,7/1/2019,Inter Milan,6/30/2024,4000000.0,https://www.transfermarkt.com/cristian-ansaldi/profil/spieler/55854
13,2490,5037,Cristian Ansaldi_2020_Torino,1.01027237471919,75.0,2020,Torino,Serie A,Cristian Ansaldi,ARG,"DF,MF",32,1986,27,21,1768,19.6,4,4,8,4,0,0,9,0,1.9,1.9,3.3,5.2,90.0,66.0,124.0,0.2,0.2,0.41,0.2,0.41,0.09,0.17,0.26,0.09,0.26,https://fbref.com/en/players/bbafc0c4/Cristian-Ansaldi,19.6,4,29,8,27.6,1.48,0.41,0.14,0.5,21.0,1.0,0,0,0.06,2.1,2.1,571.0,819.0,69.7,11582.0,4418.0,249.0,278.0,89.6,198.0,279.0,71.0,111.0,216.0,51.4,3.3,3.8,0.7,33.0,57.0,49.0,39.0,66.0,819.0,660.0,156.0,19.0,0.0,30.0,141,130.0,7.0,2.0,0.0,0.0,571.0,3.0,21.0,59.0,3.0,46.0,3.0,4.0,3.0,2.0,1.0,8.0,0.41,6.0,0.0,2.0,0.0,0.0,0.0,37.0,25,24.0,7.0,6.0,19.0,34.0,55.9,15.0,23.0,3.0,20.0,14,51.0,20.0,4.0,1068.0,54.0,282.0,375.0,426.0,41.0,1068.0,73.0,36.0,49.3,37.0,50.7,614.0,4593.0,2262.0,90.0,43.0,11.0,40.0,29.0,629.0,124.0,27,1768,65,51.7,19.6,21,78.0,11,6,23.0,2,1.0,26,32,-6,-0.31,0.57,24.1,29.8,-5.8,-0.29,0.26,0,28,30,4,141,25,0.0,0.0,0,109.0,9.0,18.0,33.3,-,Left-Back,9/20/1986,,Argentina,Parma Calcio 1913,1.81,both,7/1/2019,Inter Milan,6/30/2024,2000000.0,https://www.transfermarkt.com/cristian-ansaldi/profil/spieler/55854
14,2491,7872,Cristian Ansaldi_2021_Torino,0.8441567837611966,66.3,2021,Torino,Serie A,Cristian Ansaldi,ARG,"DF,FW",33,1986,31,20,1947,21.6,1,6,7,0,1,1,1,0,1.9,1.1,5.0,6.1,91.0,66.0,93.0,0.05,0.28,0.32,0.0,0.28,0.09,0.23,0.32,0.05,0.28,https://fbref.com/en/players/bbafc0c4/Cristian-Ansaldi,21.6,1,17,6,35.3,0.79,0.28,0.0,0.0,23.5,4.0,1,1,0.07,-0.9,-1.1,674.0,997.0,67.6,12959.0,5276.0,308.0,350.0,88.0,242.0,345.0,70.1,106.0,248.0,42.7,5.0,4.8,1.0,36.0,64.0,40.0,34.0,66.0,997.0,757.0,239.0,32.0,0.0,26.0,177,185.0,22.0,3.0,16.0,0.0,674.0,1.0,28.0,72.0,3.33,43.0,15.0,5.0,4.0,3.0,2.0,8.0,0.37,7.0,0.0,1.0,0.0,0.0,0.0,48.0,33,25.0,14.0,9.0,24.0,38.0,63.2,14.0,21.0,7.0,14.0,16,64.0,38.0,0.0,1205.0,60.0,305.0,481.0,435.0,31.0,1204.0,54.0,28.0,51.9,26.0,48.1,645.0,4747.0,2501.0,91.0,58.0,8.0,26.0,17.0,658.0,93.0,31,1947,63,56.9,21.6,20,88.0,16,11,17.0,3,1.03,26,38,-12,-0.55,-0.13,30.7,36.9,-6.1,-0.28,0.07,0,24,22,0,177,33,0.0,1.0,0,99.0,7.0,14.0,33.3,-,Left-Back,9/20/1986,,Argentina,Parma Calcio 1913,1.81,both,7/1/2019,Inter Milan,6/30/2024,2000000.0,https://www.transfermarkt.com/cristian-ansaldi/profil/spieler/55854
