,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,890,200,Andre Hahn_2019_Augsburg,-2.4352674584214364,7.580000000000001,2019,Augsburg,Bundesliga,AndrÃƒÂ© Hahn,GER,"FW,MF",27,1990,28,21,2052,22.8,4,4,8,4,0,0,7,0,2.9,2.9,4.1,7.0,41.0,29.0,127.0,0.18,0.18,0.35,0.18,0.35,0.13,0.18,0.31,0.13,0.31,https://fbref.com/en/players/cd82452e/Andre-Hahn,22.8,4,37,14,37.8,1.62,0.61,0.11,0.29,17.2,0.0,0,0,0.08,1.1,1.1,299.0,562.0,53.2,5230.0,1496.0,143.0,209.0,68.4,103.0,173.0,59.5,39.0,93.0,41.9,4.1,2.6,-0.1,30.0,18.0,22.0,16.0,29.0,562.0,535.0,23.0,0.0,0.0,4.0,82,19.0,0.0,0.0,0.0,0.0,299.0,4.0,47.0,51.0,2.24,39.0,2.0,0.0,8.0,1.0,1.0,7.0,0.31,3.0,0.0,0.0,4.0,0.0,0.0,64.0,38,22.0,39.0,3.0,22.0,53.0,41.5,31.0,28.0,2.0,26.0,27,91.0,32.0,0.0,863.0,35.0,152.0,386.0,336.0,64.0,863.0,43.0,17.0,39.5,26.0,60.5,429.0,2710.0,1071.0,41.0,24.0,8.0,44.0,28.0,511.0,127.0,28,2052,73,67.1,22.8,21,89.0,19,7,26.0,1,1.07,37,43,-6,-0.26,0.99,30.4,40.6,-10.2,-0.45,0.05,0,67,20,22,82,38,0.0,0.0,0,108.0,54.0,65.0,45.4,-,Right Winger,8/13/1990,,Germany,Without Club,1.85,right,7/1/2018,Hamburger SV,,1600000.0,https://www.transfermarkt.com/andre-hahn/profil/spieler/42783
1,891,2893,Andre Hahn_2020_Augsburg,-4.011229508659294,0.0,2020,Augsburg,Bundesliga,AndrÃƒÂ© Hahn,GER,"FW,MF",28,1990,15,8,702,7.8,1,0,1,1,0,1,6,1,2.6,1.9,0.6,2.5,15.0,9.0,34.0,0.13,0.0,0.13,0.13,0.13,0.34,0.08,0.41,0.24,0.31,https://fbref.com/en/players/cd82452e/Andre-Hahn,7.8,1,15,4,26.7,1.92,0.51,0.07,0.25,15.7,0.0,0,1,0.12,-1.6,-0.9,98.0,178.0,55.1,1481.0,415.0,51.0,74.0,68.9,31.0,54.0,57.4,7.0,20.0,35.0,0.6,0.7,-0.6,9.0,10.0,7.0,4.0,9.0,178.0,167.0,10.0,1.0,1.0,5.0,15,7.0,1.0,0.0,0.0,0.0,98.0,1.0,12.0,19.0,2.43,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,15.0,9,7.0,5.0,3.0,5.0,21.0,23.8,16.0,23.0,5.0,18.0,13,28.0,14.0,0.0,309.0,15.0,63.0,127.0,123.0,32.0,308.0,11.0,4.0,36.4,7.0,63.6,144.0,1026.0,364.0,15.0,11.0,4.0,19.0,12.0,164.0,34.0,15,702,47,22.9,7.8,8,69.0,3,7,22.0,11,1.27,8,17,-9,-1.15,-0.81,10.9,13.2,-2.3,-0.29,0.14,1,24,9,7,15,9,0.0,0.0,0,26.0,27.0,25.0,51.9,-,Right Winger,8/13/1990,,Germany,Without Club,1.85,right,7/1/2018,Hamburger SV,,2500000.0,https://www.transfermarkt.com/andre-hahn/profil/spieler/42783
2,892,5622,Andre Hahn_2021_Augsburg,-2.8631885274491853,3.0300000000000002,2021,Augsburg,Bundesliga,AndrÃƒÂ© Hahn,GER,"FW,MF",29,1990,29,24,2037,22.6,8,3,11,8,0,0,4,0,5.0,5.0,2.1,7.1,22.0,29.0,82.0,0.35,0.13,0.49,0.35,0.49,0.22,0.09,0.31,0.22,0.31,https://fbref.com/en/players/cd82452e/Andre-Hahn,22.6,8,43,14,32.6,1.9,0.62,0.19,0.57,15.2,0.0,0,0,0.12,3.0,3.0,247.0,457.0,54.0,4105.0,921.0,120.0,194.0,61.9,95.0,151.0,62.9,21.0,52.0,40.4,2.1,1.3,0.9,18.0,17.0,9.0,3.0,29.0,457.0,435.0,21.0,0.0,2.0,8.0,28,10.0,0.0,0.0,0.0,0.0,247.0,1.0,24.0,30.0,1.33,19.0,0.0,1.0,5.0,4.0,1.0,7.0,0.31,4.0,0.0,1.0,1.0,1.0,0.0,31.0,17,14.0,13.0,4.0,9.0,44.0,20.5,35.0,35.0,3.0,32.0,14,45.0,24.0,0.0,737.0,30.0,124.0,348.0,279.0,68.0,737.0,40.0,17.0,42.5,23.0,57.5,362.0,2008.0,662.0,22.0,15.0,3.0,48.0,23.0,460.0,82.0,29,2037,70,66.6,22.6,24,80.0,9,5,22.0,1,1.1,28,34,-6,-0.27,0.79,25.8,39.4,-13.7,-0.6,-0.05,0,33,27,14,28,17,1.0,0.0,0,65.0,68.0,111.0,38.0,-,Right Winger,8/13/1990,,Germany,Without Club,1.85,right,7/1/2018,Hamburger SV,,2000000.0,https://www.transfermarkt.com/andre-hahn/profil/spieler/42783
3,893,8454,Andre Hahn_2022_Augsburg,-3.425261927819078,1.52,2022,Augsburg,Bundesliga,AndrÃƒÂ© Hahn,GER,"MF,FW",30,1990,32,25,2101,23.3,5,2,7,5,0,0,5,0,2.9,2.9,2.1,5.0,25.0,31.0,95.0,0.21,0.09,0.3,0.21,0.3,0.12,0.09,0.21,0.12,0.21,https://fbref.com/en/players/cd82452e/Andre-Hahn,23.3,5,45,20,44.4,1.93,0.86,0.11,0.25,16.9,0.0,0,0,0.06,2.1,2.1,232.0,447.0,51.9,3598.0,1078.0,139.0,207.0,67.1,57.0,126.0,45.2,28.0,59.0,47.5,2.1,1.2,-0.1,19.0,14.0,17.0,13.0,31.0,447.0,437.0,8.0,0.0,0.0,3.0,41,4.0,0.0,0.0,0.0,0.0,232.0,2.0,25.0,36.0,1.54,26.0,0.0,1.0,5.0,3.0,1.0,4.0,0.17,3.0,0.0,0.0,0.0,1.0,0.0,36.0,20,9.0,15.0,12.0,17.0,50.0,34.0,33.0,38.0,5.0,33.0,15,51.0,43.0,0.0,771.0,55.0,137.0,304.0,335.0,79.0,771.0,31.0,13.0,41.9,18.0,58.1,358.0,1828.0,584.0,25.0,17.0,6.0,64.0,22.0,458.0,95.0,32,2101,66,68.7,23.3,25,78.0,6,7,23.0,0,1.16,25,37,-12,-0.51,-0.04,24.0,35.7,-11.8,-0.5,0.39,0,56,18,17,41,20,1.0,0.0,0,73.0,58.0,71.0,45.0,-,Right Winger,8/13/1990,,Germany,Without Club,1.85,right,7/1/2018,Hamburger SV,,1200000.0,https://www.transfermarkt.com/andre-hahn/profil/spieler/42783
4,1131,8987,Ansgar Knauff_2022_Eint Frankfurt,-1.148980111263249,27.27,2022,Eint Frankfurt,Bundesliga,Ansgar Knauff,GER,"DF,MF",19,2002,12,8,759,8.4,1,1,2,1,0,0,0,0,0.5,0.5,1.1,1.6,39.0,32.0,45.0,0.12,0.12,0.24,0.12,0.24,0.06,0.13,0.19,0.06,0.19,https://fbref.com/en/players/19a967ab/Ansgar-Knauff,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,19.5,0.0,0,0,0.04,0.5,0.5,213.0,341.0,62.5,3252.0,1276.0,106.0,154.0,68.8,88.0,121.0,72.7,10.0,26.0,38.5,1.1,1.7,-0.1,10.0,19.0,5.0,3.0,32.0,341.0,266.0,71.0,0.0,1.0,1.0,21,70.0,1.0,0.0,0.0,0.0,213.0,4.0,14.0,23.0,2.73,16.0,1.0,2.0,1.0,3.0,0.0,3.0,0.36,2.0,0.0,1.0,0.0,0.0,0.0,18.0,14,8.0,5.0,5.0,8.0,15.0,53.3,7.0,11.0,1.0,10.0,8,26.0,6.0,0.0,442.0,11.0,84.0,206.0,164.0,31.0,442.0,27.0,18.0,66.7,9.0,33.3,245.0,1981.0,1147.0,39.0,24.0,7.0,16.0,8.0,247.0,45.0,12,759,63,24.8,8.4,8,82.0,3,4,26.0,2,1.08,11,10,1,0.12,0.31,9.7,9.4,0.3,0.03,0.26,0,11,8,1,21,14,0.0,0.0,0,45.0,7.0,17.0,29.2,36,Right Winger,1/10/2002,,Germany,Eintracht Frankfurt,1.8,right,7/1/2023,Borussia Dortmund,6/30/2028,8000000.0,https://www.transfermarkt.com/ansgar-knauff/profil/spieler/429874
5,1132,11907,Ansgar Knauff_2023_Eint Frankfurt,-2.349812630463107,9.09,2023,Eint Frankfurt,Bundesliga,Ansgar Knauff,GER,DF,20,2002,24,14,1286,14.3,1,1,2,1,0,0,1,0,0.9,0.9,1.6,2.5,47.0,40.0,74.0,0.07,0.07,0.14,0.07,0.14,0.06,0.12,0.18,0.06,0.18,https://fbref.com/en/players/19a967ab/Ansgar-Knauff,14.3,1,15,7,46.7,1.05,0.49,0.07,0.14,19.7,0.0,0,0,0.06,0.1,0.1,455.0,683.0,66.6,7020.0,2807.0,236.0,301.0,78.4,183.0,268.0,68.3,25.0,57.0,43.9,1.6,2.4,-0.6,8.0,27.0,14.0,4.0,40.0,683.0,523.0,158.0,5.0,1.0,0.0,29,153.0,0.0,0.0,0.0,0.0,455.0,2.0,32.0,24.0,1.68,18.0,0.0,1.0,0.0,5.0,0.0,4.0,0.28,2.0,0.0,0.0,0.0,2.0,0.0,36.0,25,22.0,11.0,3.0,15.0,34.0,44.1,19.0,19.0,1.0,18.0,15,51.0,26.0,0.0,879.0,31.0,263.0,373.0,265.0,43.0,879.0,63.0,22.0,34.9,33.0,52.4,410.0,2879.0,1677.0,47.0,26.0,15.0,31.0,9.0,433.0,74.0,24,1286,54,42.0,14.3,14,72.0,5,10,28.0,6,1.38,20,26,-6,-0.42,-1.03,16.6,21.1,-4.4,-0.31,-0.97,0,15,17,2,29,25,1.0,0.0,0,97.0,9.0,16.0,36.0,36,Right Winger,1/10/2002,,Germany,,1.8,right,7/1/2023,Borussia Dortmund,6/30/2028,8000000.0,https://www.transfermarkt.com/ansgar-knauff/profil/spieler/429874
6,2299,5455,Christian Gebauer_2021_Arminia,-2.8337297246131468,4.55,2021,Arminia,Bundesliga,Christian Gebauer,AUT,"MF,FW",26,1993,23,5,687,7.6,1,1,2,1,0,0,0,0,1.9,1.9,1.0,3.0,8.0,14.0,41.0,0.13,0.13,0.26,0.13,0.26,0.25,0.14,0.39,0.25,0.39,https://fbref.com/en/players/d847944b/Christian-Gebauer,7.6,1,10,4,40.0,1.31,0.52,0.1,0.25,15.7,0.0,0,0,0.19,-0.9,-0.9,114.0,179.0,63.7,1729.0,643.0,69.0,86.0,80.2,28.0,49.0,57.1,12.0,23.0,52.2,1.0,1.1,0.0,11.0,12.0,4.0,0.0,14.0,179.0,175.0,3.0,0.0,0.0,1.0,9,3.0,0.0,0.0,0.0,0.0,114.0,1.0,12.0,16.0,2.09,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4,2.0,5.0,2.0,4.0,11.0,36.4,7.0,4.0,1.0,3.0,6,15.0,14.0,0.0,243.0,19.0,62.0,91.0,95.0,18.0,243.0,6.0,2.0,33.3,4.0,66.7,125.0,565.0,235.0,8.0,3.0,3.0,13.0,10.0,145.0,41.0,23,687,30,22.5,7.6,5,74.0,1,18,18.0,6,1.17,6,17,-11,-1.44,-0.87,9.4,15.6,-6.1,-0.8,-0.13,0,7,9,0,9,4,0.0,1.0,0,40.0,8.0,15.0,34.8,-,Right Winger,12/20/1993,,Austria,SCR Altach,1.87,right,7/15/2020,SCR Altach,6/30/2025,,https://www.transfermarkt.com/christian-gebauer/profil/spieler/275423
7,2670,2206,Daniel Caligiuri_2019_Schalke 04,-0.14867954336749742,53.03,2019,Schalke 04,Bundesliga,Daniel Caligiuri,ITA,"DF,FW",30,1988,31,31,2756,30.6,7,3,10,3,4,6,9,0,6.5,1.8,5.4,7.2,107.0,155.0,141.0,0.23,0.1,0.33,0.1,0.2,0.21,0.18,0.39,0.06,0.24,https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,30.6,7,44,9,20.5,1.44,0.29,0.07,0.33,25.2,7.0,4,6,0.04,0.5,1.2,1101.0,1655.0,66.5,20743.0,10263.0,461.0,556.0,82.9,470.0,622.0,75.6,160.0,364.0,44.0,5.4,5.4,-2.4,58.0,101.0,45.0,10.0,155.0,1655.0,1179.0,460.0,89.0,2.0,16.0,179,306.0,65.0,6.0,58.0,0.0,1101.0,16.0,55.0,113.0,3.69,51.0,38.0,9.0,5.0,6.0,4.0,11.0,0.36,4.0,3.0,2.0,1.0,1.0,0.0,93.0,52,55.0,29.0,9.0,44.0,103.0,42.7,59.0,66.0,10.0,56.0,50,143.0,72.0,1.0,2113.0,108.0,518.0,994.0,653.0,58.0,2107.0,102.0,64.0,62.7,38.0,37.3,926.0,6814.0,3777.0,107.0,75.0,22.0,47.0,43.0,995.0,141.0,31,2756,89,90.1,30.6,31,89.0,27,0,,0,0.94,35,52,-17,-0.56,-0.26,42.8,44.8,-2.0,-0.07,0.65,0,30,38,0,179,52,1.0,1.0,0,224.0,39.0,38.0,50.6,-,Right Winger,1/15/1988,,Italy,Without Club,1.82,right,1/25/2017,VfL Wolfsburg,,4000000.0,https://www.transfermarkt.com/daniel-caligiuri/profil/spieler/38410
8,2671,4909,Daniel Caligiuri_2020_Schalke 04,-1.5667313969971224,21.21,2020,Schalke 04,Bundesliga,Daniel Caligiuri,ITA,"MF,FW",31,1988,28,26,2293,25.5,2,2,4,1,1,1,5,0,3.4,2.6,3.2,5.8,66.0,105.0,131.0,0.08,0.08,0.16,0.04,0.12,0.13,0.12,0.26,0.1,0.23,https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,25.5,2,43,11,25.6,1.69,0.43,0.02,0.09,23.1,8.0,1,1,0.06,-1.4,-1.6,626.0,1001.0,62.5,10228.0,4141.0,327.0,427.0,76.6,197.0,305.0,64.6,66.0,138.0,47.8,3.2,3.7,-1.2,40.0,60.0,27.0,2.0,105.0,1001.0,832.0,160.0,64.0,3.0,4.0,123,30.0,66.0,3.0,50.0,1.0,626.0,9.0,53.0,89.0,3.49,41.0,26.0,4.0,7.0,8.0,3.0,6.0,0.24,3.0,1.0,0.0,0.0,2.0,0.0,58.0,37,18.0,25.0,15.0,27.0,74.0,36.5,47.0,67.0,6.0,61.0,25,83.0,39.0,0.0,1394.0,48.0,201.0,616.0,601.0,56.0,1393.0,77.0,42.0,54.5,35.0,45.5,676.0,4020.0,1773.0,66.0,47.0,21.0,67.0,58.0,773.0,131.0,28,2293,82,74.9,25.5,26,84.0,16,2,52.0,0,1.29,26,42,-16,-0.63,-0.16,26.5,38.8,-12.3,-0.48,-0.31,0,25,41,1,123,37,0.0,0.0,0,171.0,58.0,45.0,56.3,,Right Winger,,,,,,,,,,2000000.0,
9,2672,5612,Daniel Caligiuri_2021_Augsburg,-0.2076171109341542,46.97,2021,Augsburg,Bundesliga,Daniel Caligiuri,ITA,"MF,FW",32,1988,33,31,2665,29.6,6,4,10,4,2,3,5,0,4.8,2.4,4.6,7.0,64.0,114.0,136.0,0.2,0.14,0.34,0.14,0.27,0.16,0.16,0.32,0.08,0.24,https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,29.6,6,37,13,35.1,1.25,0.44,0.11,0.31,22.3,8.0,2,3,0.07,1.2,1.6,795.0,1185.0,67.1,14229.0,5807.0,387.0,475.0,81.5,277.0,400.0,69.3,106.0,214.0,49.5,4.6,4.2,-0.6,51.0,63.0,32.0,7.0,114.0,1185.0,939.0,240.0,87.0,2.0,18.0,125,78.0,75.0,36.0,29.0,0.0,795.0,6.0,35.0,95.0,3.21,44.0,30.0,10.0,2.0,8.0,1.0,8.0,0.27,5.0,2.0,1.0,0.0,0.0,0.0,71.0,46,29.0,31.0,11.0,29.0,92.0,31.5,63.0,45.0,6.0,39.0,38,109.0,41.0,0.0,1582.0,64.0,351.0,741.0,521.0,43.0,1579.0,88.0,61.0,69.3,27.0,30.7,823.0,4891.0,2278.0,64.0,62.0,10.0,79.0,62.0,873.0,136.0,33,2665,81,87.1,29.6,31,85.0,22,2,22.0,0,1.09,29,46,-17,-0.57,-0.35,30.2,50.2,-20.0,-0.68,-0.69,0,35,61,3,125,46,0.0,0.0,0,197.0,30.0,50.0,37.5,-,Right Winger,1/15/1988,,Italy,Without Club,1.82,right,7/1/2020,FC Schalke 04,,2000000.0,https://www.transfermarkt.com/daniel-caligiuri/profil/spieler/38410
10,2673,8442,Daniel Caligiuri_2022_Augsburg,-0.5962014912810117,39.39,2022,Augsburg,Bundesliga,Daniel Caligiuri,ITA,"DF,MF",33,1988,28,24,2004,22.3,4,2,6,1,3,3,4,0,4.3,1.9,2.4,4.3,52.0,77.0,90.0,0.18,0.09,0.27,0.04,0.13,0.19,0.11,0.3,0.08,0.19,https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,22.3,4,33,10,30.3,1.48,0.45,0.03,0.1,24.2,4.0,3,3,0.06,-0.3,-0.9,629.0,931.0,67.6,10766.0,4627.0,324.0,387.0,83.7,222.0,308.0,72.1,67.0,158.0,42.4,2.4,2.2,-0.4,23.0,56.0,17.0,2.0,77.0,931.0,668.0,253.0,63.0,1.0,8.0,109,145.0,41.0,19.0,20.0,1.0,629.0,10.0,29.0,65.0,2.92,30.0,20.0,4.0,2.0,4.0,5.0,8.0,0.36,3.0,3.0,0.0,1.0,1.0,0.0,46.0,30,17.0,26.0,3.0,27.0,72.0,37.5,45.0,36.0,5.0,31.0,18,64.0,33.0,0.0,1250.0,60.0,264.0,578.0,430.0,29.0,1247.0,64.0,40.0,62.5,24.0,37.5,585.0,3793.0,1725.0,52.0,44.0,9.0,69.0,37.0,601.0,90.0,28,2004,72,65.5,22.3,24,80.0,8,4,20.0,4,1.21,26,38,-12,-0.54,-0.11,24.7,36.5,-11.8,-0.53,0.28,0,32,43,0,109,30,1.0,0.0,0,173.0,30.0,26.0,53.6,-,Right Winger,1/15/1988,,Italy,Without Club,1.82,right,7/1/2020,FC Schalke 04,,,https://www.transfermarkt.com/daniel-caligiuri/profil/spieler/38410
11,3291,3686,Dodi Lukebakio_2020_Hertha BSC,1.4439260932514764,77.27000000000001,2020,Hertha BSC,Bundesliga,Dodi Lukebakio,BEL,"FW,MF",21,1997,30,24,2031,22.6,7,6,13,7,0,0,2,0,7.5,7.5,4.7,12.2,68.0,39.0,166.0,0.31,0.27,0.58,0.31,0.58,0.33,0.21,0.54,0.33,0.54,https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,22.6,7,40,18,45.0,1.77,0.8,0.18,0.39,16.5,2.0,0,0,0.19,-0.5,-0.5,463.0,620.0,74.7,7462.0,1511.0,242.0,288.0,84.0,144.0,200.0,72.0,50.0,80.0,62.5,4.7,3.8,1.3,36.0,26.0,20.0,5.0,39.0,620.0,566.0,53.0,9.0,1.0,6.0,56,10.0,21.0,11.0,8.0,1.0,463.0,1.0,17.0,68.0,3.01,44.0,7.0,10.0,4.0,3.0,0.0,12.0,0.53,3.0,2.0,4.0,3.0,0.0,0.0,25.0,18,13.0,8.0,4.0,10.0,28.0,35.7,18.0,22.0,4.0,18.0,10,35.0,14.0,0.0,885.0,11.0,105.0,405.0,389.0,64.0,885.0,65.0,46.0,70.8,19.0,29.2,543.0,3954.0,1754.0,68.0,46.0,23.0,68.0,46.0,629.0,166.0,30,2031,68,66.4,22.6,24,76.0,6,6,37.0,4,1.13,28,37,-9,-0.4,-0.22,27.8,36.5,-8.7,-0.39,-0.15,0,26,27,10,56,18,0.0,0.0,0,88.0,20.0,28.0,41.7,14,Right Winger,9/24/1997,,Belgium,Hertha BSC,1.87,left,8/1/2019,Watford FC,6/30/2024,13000000.0,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259
12,3292,6464,Dodi Lukebakio_2021_Hertha BSC,0.26550846461327904,57.58,2021,Hertha BSC,Bundesliga,Dodi Lukebakio,BEL,"FW,MF",22,1997,29,21,1855,20.6,5,5,10,3,2,2,4,1,6.9,5.3,2.8,8.1,49.0,39.0,124.0,0.24,0.24,0.49,0.15,0.39,0.34,0.13,0.47,0.26,0.39,https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,20.6,5,40,17,42.5,1.94,0.82,0.08,0.18,16.2,1.0,2,2,0.13,-1.9,-2.3,394.0,533.0,73.9,6636.0,1179.0,195.0,258.0,75.6,136.0,162.0,84.0,44.0,66.0,66.7,2.8,1.7,2.2,22.0,25.0,10.0,4.0,39.0,533.0,511.0,21.0,10.0,1.0,9.0,28,4.0,2.0,2.0,0.0,0.0,394.0,1.0,6.0,47.0,2.28,38.0,2.0,5.0,2.0,0.0,0.0,7.0,0.34,7.0,0.0,0.0,0.0,0.0,0.0,21.0,14,13.0,5.0,3.0,9.0,20.0,45.0,11.0,14.0,1.0,13.0,12,33.0,8.0,0.0,754.0,11.0,98.0,349.0,325.0,78.0,752.0,66.0,39.0,59.1,27.0,40.9,468.0,3192.0,1474.0,49.0,41.0,28.0,48.0,40.0,574.0,124.0,29,1855,64,60.6,20.6,21,76.0,3,8,32.0,0,1.0,29,35,-6,-0.29,0.08,26.5,30.2,-3.7,-0.18,-0.04,1,34,31,20,28,14,0.0,0.0,0,77.0,23.0,25.0,47.9,14,Right Winger,9/24/1997,,Belgium,Hertha BSC,1.87,left,8/1/2019,Watford FC,6/30/2024,7500000.0,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259
13,3294,11087,Dodi Lukebakio_2022_Wolfsburg,0.6355765925912917,65.14999999999999,2022,Wolfsburg,Bundesliga,Dodi Lukebakio,BEL,"FW,MF",23,1997,19,7,882,9.8,1,2,3,1,0,0,2,0,2.6,2.6,2.4,5.1,38.0,23.0,80.0,0.1,0.2,0.31,0.1,0.31,0.27,0.25,0.52,0.27,0.52,https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,9.8,1,17,7,41.2,1.73,0.71,0.06,0.14,15.4,0.0,0,0,0.16,-1.6,-1.6,227.0,301.0,75.4,3432.0,630.0,122.0,148.0,82.4,68.0,89.0,76.4,20.0,34.0,58.8,2.4,2.1,-0.4,11.0,14.0,10.0,4.0,23.0,301.0,289.0,10.0,2.0,1.0,2.0,18,5.0,0.0,0.0,0.0,0.0,227.0,2.0,5.0,34.0,3.47,21.0,0.0,9.0,1.0,3.0,0.0,7.0,0.72,5.0,0.0,2.0,0.0,0.0,0.0,7.0,4,3.0,2.0,2.0,1.0,10.0,10.0,9.0,5.0,0.0,5.0,13,20.0,4.0,0.0,423.0,3.0,73.0,195.0,166.0,29.0,423.0,44.0,27.0,61.4,17.0,38.6,285.0,1932.0,1001.0,38.0,20.0,13.0,33.0,20.0,300.0,80.0,19,882,46,28.8,9.8,7,81.0,4,12,27.0,10,0.95,12,21,-9,-0.92,-0.84,16.6,16.2,0.4,0.04,0.04,0,15,13,11,18,4,0.0,0.0,0,46.0,11.0,15.0,42.3,,Right Winger,,,,,,,,,,12000000.0,
14,3295,12238,Dodi Lukebakio_2023_Hertha BSC,-0.6092583029522659,37.88,2023,Hertha BSC,Bundesliga,Dodi Lukebakio,BEL,"FW,MF",24,1997,32,27,2397,26.6,11,3,14,6,5,5,8,0,8.6,4.7,4.4,9.1,96.0,42.0,178.0,0.41,0.11,0.53,0.23,0.34,0.32,0.16,0.49,0.18,0.34,https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,26.6,11,59,22,37.3,2.22,0.83,0.1,0.27,20.3,1.0,5,5,0.08,2.4,1.3,422.0,613.0,68.8,6794.0,1573.0,224.0,296.0,75.7,117.0,165.0,70.9,52.0,86.0,60.5,4.4,4.8,-1.4,29.0,18.0,26.0,6.0,42.0,613.0,565.0,47.0,12.0,4.0,7.0,65,3.0,25.0,15.0,6.0,0.0,422.0,1.0,16.0,85.0,3.19,48.0,10.0,16.0,2.0,7.0,2.0,9.0,0.34,5.0,1.0,1.0,1.0,1.0,0.0,18.0,11,7.0,8.0,3.0,6.0,27.0,22.2,21.0,23.0,5.0,18.0,13,31.0,17.0,0.0,979.0,20.0,111.0,412.0,481.0,103.0,974.0,141.0,67.0,47.5,64.0,45.4,644.0,5374.0,2513.0,96.0,59.0,48.0,82.0,48.0,683.0,178.0,32,2397,75,78.3,26.6,27,83.0,14,5,32.0,0,0.81,34,55,-21,-0.79,0.03,29.2,47.2,-17.9,-0.67,-0.32,0,33,59,17,65,11,0.0,1.0,0,121.0,16.0,32.0,33.3,,Right Winger,,,,,,,,,,12000000.0,
