,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,14,418,Aaron Lennon_2019_Burnley,-1.9289291931892036,11.62,2019,Burnley,Premier League,Aaron Lennon,ENG,MF,31,1987,16,14,1215,13.5,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,21.0,18.0,55.0,0.07,0.07,0.15,0.07,0.15,0.06,0.05,0.11,0.06,0.11,https://fbref.com/en/players/2ff964a0/Aaron-Lennon,13.5,1,4,2,50.0,0.3,0.15,0.25,0.5,13.4,0.0,0,0,0.2,0.2,0.2,227.0,307.0,73.9,3224.0,613.0,136.0,167.0,81.4,75.0,92.0,81.5,9.0,16.0,56.3,0.7,0.8,0.3,7.0,10.0,6.0,3.0,18.0,307.0,301.0,5.0,0.0,1.0,0.0,23,5.0,0.0,0.0,0.0,0.0,227.0,1.0,15.0,20.0,1.48,12.0,0.0,1.0,0.0,7.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,26.0,16,11.0,12.0,3.0,6.0,14.0,42.9,8.0,24.0,0.0,24.0,10,36.0,18.0,0.0,431.0,22.0,75.0,201.0,159.0,21.0,431.0,15.0,7.0,46.7,8.0,53.3,201.0,1162.0,522.0,21.0,5.0,6.0,15.0,13.0,261.0,55.0,16,1215,76,35.5,13.5,14,84.0,10,2,19.0,0,0.75,12,22,-10,-0.74,-0.21,10.9,24.5,-13.6,-1.0,-0.84,0,12,16,0,23,16,0.0,1.0,0,44.0,1.0,12.0,7.7,-,Right Winger,4/16/1987,,England,,1.65,right,8/25/2021,Kayserispor,,2400000.0,https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221
1,67,4339,Abdoul Kader Bamba_2020_Nantes,0.528413713870337,65.13,2020,Nantes,Ligue 1,Abdoul Kader Bamba,FRA,"FW,MF",25,1994,27,16,1468,16.3,1,3,4,1,0,0,5,0,2.0,2.0,5.0,7.0,82.0,58.0,137.0,0.06,0.18,0.25,0.06,0.25,0.12,0.31,0.43,0.12,0.43,https://fbref.com/en/players/32f3d97e/Abdoul-Kader-Bamba,16.3,1,19,9,47.4,1.16,0.55,0.05,0.11,20.1,0.0,0,0,0.11,-1.0,-1.0,566.0,726.0,78.0,8182.0,2195.0,342.0,398.0,85.9,174.0,209.0,83.3,32.0,68.0,47.1,5.0,4.2,-2.0,37.0,34.0,26.0,5.0,58.0,726.0,674.0,50.0,18.0,3.0,2.0,55,10.0,21.0,13.0,6.0,1.0,566.0,2.0,18.0,74.0,4.54,46.0,9.0,6.0,3.0,10.0,0.0,6.0,0.37,2.0,1.0,1.0,1.0,1.0,0.0,19.0,15,5.0,9.0,5.0,9.0,30.0,30.0,21.0,8.0,2.0,6.0,16,35.0,8.0,0.0,945.0,9.0,107.0,463.0,396.0,43.0,945.0,106.0,58.0,54.7,47.0,44.3,665.0,4718.0,2564.0,82.0,66.0,25.0,46.0,31.0,705.0,137.0,27,1468,54,58.3,16.3,16,82.0,5,11,15.0,0,1.37,19,14,5,0.31,0.99,20.0,17.6,2.4,0.15,0.46,0,20,48,1,55,15,0.0,0.0,0,133.0,10.0,13.0,43.5,-,Right Winger,4/25/1994,,France,FC Nantes,1.77,right,7/1/2019,FC Nantes B,6/30/2024,2000000.0,https://www.transfermarkt.com/abdoul-kader-bamba/profil/spieler/560725
2,68,7154,Abdoul Kader Bamba_2021_Nantes,-0.4089820794814362,42.86,2021,Nantes,Ligue 1,Abdoul Kader Bamba,FRA,"FW,MF",26,1994,29,6,917,10.2,3,1,4,3,0,1,2,0,2.4,1.6,1.3,2.8,41.0,43.0,96.0,0.29,0.1,0.39,0.29,0.39,0.23,0.12,0.36,0.15,0.28,https://fbref.com/en/players/32f3d97e/Abdoul-Kader-Bamba,10.2,3,14,6,42.9,1.37,0.59,0.21,0.5,19.9,1.0,0,1,0.11,0.6,1.4,368.0,490.0,75.1,5544.0,1482.0,216.0,253.0,85.4,115.0,150.0,76.7,26.0,55.0,47.3,1.3,1.4,-0.3,23.0,25.0,10.0,0.0,43.0,490.0,441.0,47.0,21.0,1.0,4.0,39,6.0,17.0,9.0,8.0,0.0,368.0,2.0,17.0,45.0,4.42,28.0,7.0,4.0,1.0,5.0,0.0,3.0,0.29,2.0,0.0,1.0,0.0,0.0,0.0,18.0,3,7.0,8.0,3.0,11.0,18.0,61.1,7.0,10.0,0.0,10.0,7,25.0,4.0,1.0,617.0,3.0,70.0,284.0,274.0,32.0,616.0,47.0,27.0,57.4,20.0,42.6,390.0,2495.0,1174.0,41.0,21.0,20.0,26.0,18.0,450.0,96.0,29,917,32,26.8,10.2,6,76.0,0,23,20.0,1,0.9,10,21,-11,-1.08,-1.19,12.6,17.0,-4.4,-0.44,-0.43,0,8,41,0,39,3,0.0,0.0,0,71.0,4.0,10.0,28.6,,Right Winger,,,,,,,,,,2000000.0,
3,144,12551,Adam Ounas_2023_Lille,0.030007871507709585,54.48,2023,Lille,Ligue 1,Adam Ounas,ALG,"FW,MF",25,1996,21,12,1064,11.8,1,1,2,1,0,0,2,0,2.3,2.3,2.8,5.1,55.0,66.0,125.0,0.08,0.08,0.17,0.08,0.17,0.2,0.23,0.43,0.2,0.43,https://fbref.com/en/players/ed90babd/Adam-Ounas,11.8,1,26,9,34.6,2.2,0.76,0.04,0.11,19.1,3.0,0,0,0.09,-1.3,-1.3,403.0,569.0,70.8,7134.0,2189.0,190.0,234.0,81.2,153.0,218.0,70.2,48.0,83.0,57.8,2.8,2.9,-1.8,26.0,34.0,32.0,4.0,66.0,569.0,510.0,54.0,11.0,5.0,5.0,75,7.0,36.0,15.0,8.0,0.0,403.0,5.0,19.0,56.0,4.74,36.0,11.0,4.0,3.0,2.0,0.0,6.0,0.51,3.0,1.0,0.0,1.0,1.0,0.0,20.0,11,4.0,10.0,6.0,8.0,13.0,61.5,5.0,16.0,0.0,16.0,7,27.0,5.0,0.0,727.0,6.0,56.0,270.0,420.0,37.0,727.0,82.0,37.0,45.1,31.0,37.8,564.0,4043.0,2014.0,55.0,43.0,11.0,25.0,25.0,532.0,125.0,21,1064,51,31.1,11.8,12,67.0,2,9,30.0,0,2.0,18,14,4,0.34,-0.31,21.6,12.3,9.4,0.79,0.07,0,15,29,2,75,11,1.0,0.0,0,60.0,5.0,10.0,33.3,11,Right Winger,11/11/1996,,Algeria,,1.72,left,9/1/2022,SSC Napoli,6/30/2024,7000000.0,https://www.transfermarkt.com/adam-ounas/profil/spieler/400485
4,168,2654,Adama Traore_2019_Wolves,0.6333767005129364,67.80000000000001,2019,Wolves,Premier League,Adama TraorÃƒÂ©,ESP,"FW,MF",22,1996,29,8,902,10.0,1,1,2,1,0,0,1,0,1.3,1.3,2.2,3.5,82.0,31.0,61.0,0.1,0.1,0.2,0.1,0.2,0.13,0.22,0.35,0.13,0.35,https://fbref.com/en/players/9a28eba4/Adama-Traore,10.0,1,19,7,36.8,1.9,0.7,0.05,0.14,19.3,0.0,0,0,0.07,-0.3,-0.3,228.0,326.0,69.9,3292.0,976.0,129.0,158.0,81.6,70.0,96.0,72.9,13.0,22.0,59.1,2.2,2.3,-1.2,17.0,12.0,17.0,11.0,31.0,326.0,300.0,25.0,0.0,1.0,0.0,35,20.0,0.0,0.0,0.0,0.0,228.0,1.0,17.0,43.0,4.29,27.0,0.0,10.0,3.0,3.0,0.0,2.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,16.0,13,11.0,3.0,2.0,4.0,9.0,44.4,5.0,11.0,0.0,11.0,6,22.0,7.0,0.0,503.0,6.0,61.0,240.0,230.0,42.0,503.0,81.0,65.0,80.2,16.0,19.8,333.0,3683.0,2153.0,82.0,48.0,31.0,38.0,45.0,362.0,61.0,29,902,31,26.4,10.0,8,65.0,0,21,18.0,8,1.21,9,13,-4,-0.4,-0.58,14.4,12.2,2.3,0.23,-0.05,0,15,26,6,35,13,0.0,0.0,0,54.0,22.0,35.0,38.6,-,Right Winger,1/25/1996,,Spain,Without Club,1.78,right,8/8/2018,Middlesbrough FC,,25500000.0,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
5,169,4239,Adama Traore_2020_Metz,2.3779029624501344,89.83,2020,Metz,Ligue 1,Adama TraorÃƒÂ©,MLI,"FW,MF",24,1995,15,12,1007,11.2,1,4,5,1,0,0,1,0,1.3,1.3,2.6,4.0,24.0,60.0,37.0,0.09,0.36,0.45,0.09,0.45,0.12,0.24,0.35,0.12,0.35,https://fbref.com/en/players/1a6f2a66/Adama-Traore,11.2,1,17,4,23.5,1.52,0.36,0.06,0.25,25.3,7.0,0,0,0.08,-0.3,-0.3,394.0,484.0,81.4,6297.0,1972.0,209.0,235.0,88.9,136.0,166.0,81.9,36.0,57.0,63.2,2.6,2.4,1.4,35.0,38.0,12.0,0.0,60.0,484.0,411.0,71.0,18.0,3.0,1.0,44,5.0,39.0,19.0,13.0,1.0,394.0,2.0,4.0,61.0,5.45,40.0,14.0,3.0,0.0,3.0,1.0,4.0,0.36,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1,1.0,2.0,0.0,3.0,12.0,25.0,9.0,7.0,2.0,5.0,3,6.0,5.0,0.0,584.0,10.0,45.0,333.0,214.0,6.0,584.0,39.0,28.0,71.8,11.0,28.2,327.0,1996.0,863.0,24.0,22.0,2.0,17.0,14.0,412.0,37.0,15,1007,67,40.0,11.2,12,79.0,5,3,18.0,2,1.2,11,11,0,0.0,0.48,12.3,13.1,-0.8,-0.07,0.54,0,7,33,0,44,1,0.0,0.0,0,55.0,9.0,18.0,33.3,-,Right Winger,6/5/1995,,Mali,FerencvÃƒÂ¡rosi TC,1.78,left,8/20/2018,TP Mazembe,6/30/2025,30000000.0,https://www.transfermarkt.com/adama-traore/profil/spieler/364405
6,171,5385,Adama Traore_2020_Wolves,0.7044073412255871,68.77,2020,Wolves,Premier League,Adama TraorÃƒÂ©,ESP,"FW,DF",23,1996,37,27,2605,28.9,4,9,13,4,0,0,1,0,3.8,3.8,6.6,10.4,252.0,88.0,246.0,0.14,0.31,0.45,0.14,0.45,0.13,0.23,0.36,0.13,0.36,https://fbref.com/en/players/9a28eba4/Adama-Traore,28.9,4,43,12,27.9,1.49,0.41,0.09,0.33,19.8,0.0,0,0,0.09,0.2,0.2,614.0,952.0,64.5,9406.0,2530.0,335.0,425.0,78.8,202.0,311.0,65.0,41.0,97.0,42.3,6.6,6.5,2.4,48.0,55.0,41.0,28.0,88.0,952.0,895.0,56.0,0.0,9.0,3.0,183,55.0,0.0,0.0,0.0,0.0,614.0,1.0,49.0,111.0,3.83,67.0,0.0,31.0,1.0,10.0,2.0,15.0,0.52,11.0,0.0,3.0,0.0,1.0,0.0,33.0,21,6.0,14.0,13.0,8.0,23.0,34.8,15.0,19.0,3.0,16.0,13,46.0,14.0,2.0,1335.0,23.0,133.0,552.0,694.0,106.0,1335.0,246.0,183.0,74.4,63.0,25.6,946.0,10181.0,5631.0,252.0,111.0,71.0,88.0,65.0,1011.0,246.0,37,2605,70,76.2,28.9,27,86.0,18,10,29.0,1,1.57,44,33,11,0.38,0.38,43.7,28.6,15.1,0.52,0.41,0,39,77,6,183,21,0.0,0.0,0,118.0,45.0,52.0,46.4,-,Right Winger,1/25/1996,,Spain,Without Club,1.78,right,8/8/2018,Middlesbrough FC,,30000000.0,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
7,172,8207,Adama Traore_2021_Wolves,-0.7370737974173664,32.45,2021,Wolves,Premier League,Adama TraorÃƒÂ©,ESP,"FW,MF",24,1996,37,28,2649,29.4,2,2,4,2,0,0,4,0,2.0,2.0,4.8,6.9,219.0,70.0,220.0,0.07,0.07,0.14,0.07,0.14,0.07,0.16,0.23,0.07,0.23,https://fbref.com/en/players/9a28eba4/Adama-Traore,29.4,2,43,13,30.2,1.46,0.44,0.05,0.15,19.7,0.0,0,0,0.05,0.0,0.0,572.0,873.0,65.5,8290.0,1985.0,338.0,418.0,80.9,175.0,277.0,63.2,35.0,75.0,46.7,4.8,3.8,-2.8,55.0,36.0,30.0,18.0,70.0,873.0,848.0,23.0,1.0,1.0,2.0,150,21.0,0.0,0.0,0.0,0.0,572.0,2.0,47.0,115.0,3.91,74.0,0.0,25.0,3.0,13.0,0.0,5.0,0.17,3.0,0.0,1.0,0.0,1.0,0.0,28.0,16,11.0,13.0,4.0,13.0,21.0,61.9,8.0,23.0,1.0,22.0,7,35.0,12.0,1.0,1267.0,20.0,118.0,565.0,626.0,106.0,1267.0,216.0,153.0,70.8,63.0,29.2,845.0,9040.0,5204.0,219.0,111.0,58.0,112.0,65.0,987.0,220.0,37,2649,72,77.5,29.4,28,87.0,25,9,25.0,0,1.22,31,41,-10,-0.34,0.36,30.8,39.6,-8.8,-0.3,0.19,0,47,86,7,150,16,1.0,0.0,0,104.0,73.0,76.0,49.0,-,Right Winger,1/25/1996,,Spain,Without Club,1.78,right,8/8/2018,Middlesbrough FC,,20000000.0,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
8,174,11129,Adama Traore_2022_Wolves,0.730713318265555,69.49,2022,Wolves,Premier League,Adama TraorÃƒÂ©,ESP,"FW,MF",25,1996,20,10,1067,11.9,1,0,1,1,0,0,0,0,3.0,3.0,1.4,4.4,84.0,29.0,85.0,0.08,0.0,0.08,0.08,0.08,0.25,0.12,0.37,0.25,0.37,https://fbref.com/en/players/9a28eba4/Adama-Traore,11.9,1,23,5,21.7,1.94,0.42,0.04,0.2,19.7,0.0,0,0,0.13,-2.0,-2.0,242.0,339.0,71.4,3655.0,663.0,126.0,158.0,79.7,79.0,109.0,72.5,21.0,31.0,67.7,1.4,1.4,-1.4,18.0,15.0,12.0,6.0,29.0,339.0,336.0,2.0,0.0,2.0,2.0,39,1.0,0.0,0.0,0.0,0.0,242.0,1.0,13.0,60.0,5.06,32.0,0.0,20.0,2.0,4.0,2.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,8.0,3,6.0,0.0,2.0,3.0,7.0,42.9,4.0,4.0,1.0,3.0,2,10.0,1.0,0.0,474.0,3.0,47.0,189.0,265.0,51.0,474.0,102.0,83.0,81.4,19.0,18.6,341.0,3864.0,2076.0,84.0,42.0,25.0,46.0,29.0,397.0,85.0,20,1067,53,31.2,11.9,10,85.0,5,10,22.0,1,1.55,9,10,-1,-0.08,0.07,13.5,16.3,-2.8,-0.24,0.4,0,10,26,9,39,3,0.0,0.0,0,49.0,15.0,16.0,48.4,-,Right Winger,1/25/1996,,Spain,Without Club,1.78,right,8/8/2018,Middlesbrough FC,,10000000.0,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
9,175,14018,Adama Traore_2023_Wolves,-2.028426007002634,10.65,2023,Wolves,Premier League,Adama TraorÃƒÂ©,ESP,"FW,MF",26,1996,34,12,1496,16.6,2,1,3,2,0,0,2,0,1.4,1.4,3.7,5.1,85.0,36.0,156.0,0.12,0.06,0.18,0.12,0.18,0.08,0.23,0.31,0.08,0.31,https://fbref.com/en/players/9a28eba4/Adama-Traore,16.6,2,19,7,36.8,1.14,0.42,0.11,0.29,15.0,0.0,0,0,0.07,0.6,0.6,325.0,494.0,65.8,4826.0,1228.0,198.0,264.0,75.0,85.0,129.0,65.9,25.0,46.0,54.3,3.7,3.2,-2.7,24.0,17.0,22.0,14.0,36.0,494.0,491.0,1.0,0.0,3.0,0.0,81,1.0,0.0,0.0,0.0,0.0,325.0,2.0,27.0,44.0,2.65,37.0,0.0,2.0,2.0,3.0,0.0,4.0,0.24,2.0,0.0,0.0,2.0,0.0,0.0,14.0,7,7.0,4.0,3.0,4.0,9.0,44.4,5.0,8.0,1.0,7.0,3,17.0,17.0,0.0,714.0,18.0,102.0,251.0,379.0,56.0,714.0,104.0,49.0,47.1,34.0,32.7,461.0,4017.0,2107.0,85.0,41.0,25.0,59.0,27.0,555.0,156.0,34,1496,44,43.7,16.6,12,73.0,3,22,28.0,2,1.18,12,30,-18,-1.08,-0.66,17.6,30.2,-12.6,-0.76,-0.27,0,21,34,7,81,7,0.0,0.0,0,66.0,39.0,25.0,60.9,,Right Winger,,,,,,,,,,10000000.0,
10,195,1989,Adnan Januzaj_2019_Real Sociedad,1.0980575979274683,76.27000000000001,2019,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",23,1995,20,13,1254,13.9,1,3,4,1,0,0,1,0,2.4,2.4,3.0,5.4,72.0,54.0,173.0,0.07,0.22,0.29,0.07,0.29,0.17,0.21,0.39,0.17,0.39,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,13.9,1,32,6,18.8,2.3,0.43,0.03,0.17,19.9,5.0,0,0,0.08,-1.4,-1.4,369.0,557.0,66.2,6946.0,2270.0,191.0,214.0,89.3,91.0,134.0,67.9,68.0,153.0,44.4,3.0,3.4,0.0,30.0,30.0,33.0,12.0,54.0,557.0,457.0,97.0,26.0,3.0,22.0,118,5.0,66.0,33.0,26.0,1.0,369.0,3.0,22.0,69.0,4.95,33.0,19.0,7.0,4.0,5.0,1.0,7.0,0.5,5.0,0.0,1.0,0.0,1.0,0.0,11.0,8,5.0,2.0,4.0,3.0,13.0,23.1,10.0,7.0,0.0,7.0,6,17.0,6.0,0.0,766.0,9.0,61.0,257.0,468.0,57.0,766.0,105.0,65.0,61.9,39.0,37.1,552.0,4311.0,2061.0,72.0,44.0,29.0,52.0,51.0,586.0,173.0,20,1254,63,36.7,13.9,13,86.0,8,7,20.0,0,1.35,21,11,10,0.72,1.17,21.9,17.3,4.6,0.33,0.47,0,16,35,5,118,8,0.0,0.0,0,59.0,3.0,14.0,17.6,-,Right Winger,2/5/1995,,Belgium,Sevilla FC,1.86,left,7/12/2017,Manchester United,6/30/2026,9500000.0,https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847
11,196,4676,Adnan Januzaj_2020_Real Sociedad,-0.24581426624603084,47.46,2020,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",24,1995,24,13,1167,13.0,3,3,6,3,0,0,3,0,1.9,1.9,3.0,5.0,62.0,57.0,133.0,0.23,0.23,0.46,0.23,0.46,0.15,0.23,0.38,0.15,0.38,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,13.0,3,24,8,33.3,1.85,0.62,0.13,0.38,20.3,4.0,0,0,0.08,1.1,1.1,316.0,495.0,63.8,5723.0,1810.0,153.0,203.0,75.4,97.0,129.0,75.2,50.0,114.0,43.9,3.0,2.4,0.0,23.0,23.0,24.0,2.0,57.0,495.0,435.0,57.0,24.0,4.0,8.0,65,4.0,28.0,19.0,3.0,1.0,316.0,3.0,20.0,60.0,4.63,31.0,9.0,7.0,4.0,7.0,2.0,6.0,0.46,3.0,1.0,0.0,1.0,0.0,1.0,8.0,7,3.0,2.0,3.0,3.0,16.0,18.8,13.0,9.0,1.0,8.0,7,15.0,2.0,0.0,667.0,6.0,45.0,283.0,343.0,38.0,667.0,68.0,37.0,54.4,31.0,45.6,503.0,3075.0,1566.0,62.0,35.0,20.0,50.0,30.0,534.0,133.0,24,1167,49,34.1,13.0,13,73.0,4,11,20.0,8,1.46,16,15,1,0.08,-0.2,16.6,12.9,3.7,0.29,0.21,0,25,39,2,65,7,0.0,0.0,0,51.0,4.0,14.0,22.2,-,Right Winger,2/5/1995,,Belgium,Sevilla FC,1.86,left,7/12/2017,Manchester United,6/30/2026,12000000.0,https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847
12,197,7452,Adnan Januzaj_2021_Real Sociedad,3.2999090249873446,95.88,2021,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",25,1995,27,12,1014,11.3,4,5,9,1,3,3,2,0,5.0,2.6,4.0,6.6,45.0,67.0,116.0,0.36,0.44,0.8,0.09,0.53,0.44,0.35,0.79,0.23,0.58,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,11.3,4,29,9,31.0,2.57,0.8,0.03,0.11,22.1,4.0,3,3,0.09,-1.0,-1.6,397.0,567.0,70.0,6787.0,2355.0,208.0,239.0,87.0,123.0,160.0,76.9,48.0,107.0,44.9,4.0,4.2,1.0,23.0,28.0,34.0,4.0,67.0,567.0,483.0,78.0,18.0,2.0,10.0,73,12.0,46.0,21.0,17.0,0.0,397.0,6.0,20.0,54.0,4.79,32.0,11.0,5.0,1.0,5.0,0.0,12.0,1.07,7.0,3.0,0.0,0.0,2.0,0.0,9.0,8,0.0,6.0,3.0,3.0,8.0,37.5,5.0,7.0,2.0,5.0,3,12.0,4.0,0.0,718.0,4.0,44.0,303.0,387.0,38.0,715.0,67.0,45.0,67.2,22.0,32.8,484.0,3075.0,1574.0,45.0,39.0,10.0,36.0,22.0,557.0,116.0,27,1014,38,29.6,11.3,12,64.0,0,15,16.0,5,1.7,24,10,14,1.24,0.98,24.2,7.6,16.5,1.47,1.28,0,8,36,2,73,8,1.0,0.0,0,60.0,8.0,11.0,42.1,-,Right Winger,2/5/1995,,Belgium,Sevilla FC,1.86,left,7/12/2017,Manchester United,6/30/2026,12000000.0,https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847
13,198,10364,Adnan Januzaj_2022_Real Sociedad,-0.4746637831074227,40.19,2022,Real Sociedad,La Liga,Adnan Januzaj,BEL,"FW,MF",26,1995,33,17,1625,18.1,3,0,3,1,2,2,5,0,4.1,2.5,2.9,5.4,65.0,80.0,140.0,0.17,0.0,0.17,0.06,0.06,0.23,0.16,0.39,0.14,0.3,https://fbref.com/en/players/4737cebe/Adnan-Januzaj,18.1,3,40,13,32.5,2.22,0.72,0.03,0.08,23.1,9.0,2,2,0.06,-1.1,-1.5,486.0,749.0,64.9,9086.0,3098.0,231.0,268.0,86.2,161.0,224.0,71.9,76.0,190.0,40.0,2.9,3.7,-2.9,34.0,46.0,35.0,9.0,80.0,749.0,606.0,134.0,44.0,5.0,15.0,146,7.0,82.0,34.0,39.0,0.0,486.0,9.0,27.0,78.0,4.32,42.0,20.0,5.0,9.0,2.0,0.0,6.0,0.33,1.0,0.0,1.0,3.0,1.0,0.0,17.0,11,5.0,8.0,4.0,9.0,24.0,37.5,15.0,15.0,3.0,12.0,12,29.0,15.0,0.0,1037.0,19.0,100.0,425.0,526.0,51.0,1035.0,79.0,46.0,58.2,33.0,41.8,633.0,4080.0,1906.0,65.0,61.0,20.0,79.0,45.0,730.0,140.0,33,1625,49,47.5,18.1,17,72.0,1,16,25.0,0,1.61,13,14,-1,-0.06,-0.26,22.6,16.9,5.7,0.31,-0.04,0,28,51,4,146,11,1.0,0.0,0,93.0,10.0,19.0,34.5,,Right Winger,,,,,,,,,,6000000.0,
14,370,9278,Alberto Soro_2022_Granada,-2.293105217177047,8.72,2022,Granada,La Liga,Alberto Soro,ESP,"MF,FW",22,1999,16,7,578,6.4,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.3,8.0,21.0,35.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.2,0.12,0.2,https://fbref.com/en/players/452c3055/Alberto-Soro,6.4,0,7,4,57.1,1.09,0.62,0.0,0.0,13.2,0.0,0,0,0.11,-0.8,-0.8,125.0,179.0,69.8,1715.0,591.0,78.0,91.0,85.7,36.0,54.0,66.7,5.0,15.0,33.3,0.5,0.4,-0.5,8.0,10.0,6.0,0.0,21.0,179.0,168.0,11.0,2.0,1.0,0.0,15,5.0,2.0,0.0,2.0,0.0,125.0,0.0,6.0,14.0,2.18,9.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10,3.0,6.0,3.0,1.0,7.0,14.3,6.0,21.0,2.0,19.0,3,15.0,4.0,0.0,260.0,6.0,59.0,96.0,107.0,18.0,260.0,11.0,6.0,54.5,5.0,45.5,129.0,605.0,316.0,8.0,5.0,2.0,18.0,14.0,156.0,35.0,16,578,36,16.9,6.4,7,68.0,1,9,11.0,18,1.06,11,14,-3,-0.47,-0.02,8.2,13.1,-4.9,-0.76,-0.21,0,5,5,2,15,10,0.0,0.0,0,37.0,10.0,19.0,34.5,,Right Winger,,,,,,,,,,2500000.0,
