,index,Unnamed: 0,unique_ID,calculated_war,percentile,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,player_num,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url
0,67,4339,Abdoul Kader Bamba_2020_Nantes,0.5601833130785152,65.38000000000001,2020,Nantes,Ligue 1,Abdoul Kader Bamba,FRA,"FW,MF",25,1994,27,16,1468,16.3,1,3,4,1,0,0,5,0,2.0,2.0,5.0,7.0,82.0,58.0,137.0,0.06,0.18,0.25,0.06,0.25,0.12,0.31,0.43,0.12,0.43,https://fbref.com/en/players/32f3d97e/Abdoul-Kader-Bamba,16.3,1,19,9,47.4,1.16,0.55,0.05,0.11,20.1,0.0,0,0,0.11,-1.0,-1.0,566.0,726.0,78.0,8182.0,2195.0,342.0,398.0,85.9,174.0,209.0,83.3,32.0,68.0,47.1,5.0,4.2,-2.0,37.0,34.0,26.0,5.0,58.0,726.0,674.0,50.0,18.0,3.0,2.0,55,10.0,21.0,13.0,6.0,1.0,566.0,2.0,18.0,74.0,4.54,46.0,9.0,6.0,3.0,10.0,0.0,6.0,0.37,2.0,1.0,1.0,1.0,1.0,0.0,19.0,15,5.0,9.0,5.0,9.0,30.0,30.0,21.0,8.0,2.0,6.0,16,35.0,8.0,0.0,945.0,9.0,107.0,463.0,396.0,43.0,945.0,106.0,58.0,54.7,47.0,44.3,665.0,4718.0,2564.0,82.0,66.0,25.0,46.0,31.0,705.0,137.0,27,1468,54,58.3,16.3,16,82.0,5,11,15.0,0,1.37,19,14,5,0.31,0.99,20.0,17.6,2.4,0.15,0.46,0,20,48,1,55,15,0.0,0.0,0,133.0,10.0,13.0,43.5,-,Right Winger,4/25/1994,,France,FC Nantes,1.77,right,7/1/2019,FC Nantes B,6/30/2024,2000000.0,https://www.transfermarkt.com/abdoul-kader-bamba/profil/spieler/560725
1,68,7154,Abdoul Kader Bamba_2021_Nantes,-0.4341578829930682,41.03,2021,Nantes,Ligue 1,Abdoul Kader Bamba,FRA,"FW,MF",26,1994,29,6,917,10.2,3,1,4,3,0,1,2,0,2.4,1.6,1.3,2.8,41.0,43.0,96.0,0.29,0.1,0.39,0.29,0.39,0.23,0.12,0.36,0.15,0.28,https://fbref.com/en/players/32f3d97e/Abdoul-Kader-Bamba,10.2,3,14,6,42.9,1.37,0.59,0.21,0.5,19.9,1.0,0,1,0.11,0.6,1.4,368.0,490.0,75.1,5544.0,1482.0,216.0,253.0,85.4,115.0,150.0,76.7,26.0,55.0,47.3,1.3,1.4,-0.3,23.0,25.0,10.0,0.0,43.0,490.0,441.0,47.0,21.0,1.0,4.0,39,6.0,17.0,9.0,8.0,0.0,368.0,2.0,17.0,45.0,4.42,28.0,7.0,4.0,1.0,5.0,0.0,3.0,0.29,2.0,0.0,1.0,0.0,0.0,0.0,18.0,3,7.0,8.0,3.0,11.0,18.0,61.1,7.0,10.0,0.0,10.0,7,25.0,4.0,1.0,617.0,3.0,70.0,284.0,274.0,32.0,616.0,47.0,27.0,57.4,20.0,42.6,390.0,2495.0,1174.0,41.0,21.0,20.0,26.0,18.0,450.0,96.0,29,917,32,26.8,10.2,6,76.0,0,23,20.0,1,0.9,10,21,-11,-1.08,-1.19,12.6,17.0,-4.4,-0.44,-0.43,0,8,41,0,39,3,0.0,0.0,0,71.0,4.0,10.0,28.6,,Right Winger,,,,,,,,,,2000000.0,
2,144,12551,Adam Ounas_2023_Lille,-0.09023216216197315,51.28,2023,Lille,Ligue 1,Adam Ounas,ALG,"FW,MF",25,1996,21,12,1064,11.8,1,1,2,1,0,0,2,0,2.3,2.3,2.8,5.1,55.0,66.0,125.0,0.08,0.08,0.17,0.08,0.17,0.2,0.23,0.43,0.2,0.43,https://fbref.com/en/players/ed90babd/Adam-Ounas,11.8,1,26,9,34.6,2.2,0.76,0.04,0.11,19.1,3.0,0,0,0.09,-1.3,-1.3,403.0,569.0,70.8,7134.0,2189.0,190.0,234.0,81.2,153.0,218.0,70.2,48.0,83.0,57.8,2.8,2.9,-1.8,26.0,34.0,32.0,4.0,66.0,569.0,510.0,54.0,11.0,5.0,5.0,75,7.0,36.0,15.0,8.0,0.0,403.0,5.0,19.0,56.0,4.74,36.0,11.0,4.0,3.0,2.0,0.0,6.0,0.51,3.0,1.0,0.0,1.0,1.0,0.0,20.0,11,4.0,10.0,6.0,8.0,13.0,61.5,5.0,16.0,0.0,16.0,7,27.0,5.0,0.0,727.0,6.0,56.0,270.0,420.0,37.0,727.0,82.0,37.0,45.1,31.0,37.8,564.0,4043.0,2014.0,55.0,43.0,11.0,25.0,25.0,532.0,125.0,21,1064,51,31.1,11.8,12,67.0,2,9,30.0,0,2.0,18,14,4,0.34,-0.31,21.6,12.3,9.4,0.79,0.07,0,15,29,2,75,11,1.0,0.0,0,60.0,5.0,10.0,33.3,11,Right Winger,11/11/1996,,Algeria,,1.72,left,9/1/2022,SSC Napoli,6/30/2024,7000000.0,https://www.transfermarkt.com/adam-ounas/profil/spieler/400485
3,169,4239,Adama Traore_2020_Metz,2.4108321551159713,91.03,2020,Metz,Ligue 1,Adama TraorÃƒÂ©,MLI,"FW,MF",24,1995,15,12,1007,11.2,1,4,5,1,0,0,1,0,1.3,1.3,2.6,4.0,24.0,60.0,37.0,0.09,0.36,0.45,0.09,0.45,0.12,0.24,0.35,0.12,0.35,https://fbref.com/en/players/1a6f2a66/Adama-Traore,11.2,1,17,4,23.5,1.52,0.36,0.06,0.25,25.3,7.0,0,0,0.08,-0.3,-0.3,394.0,484.0,81.4,6297.0,1972.0,209.0,235.0,88.9,136.0,166.0,81.9,36.0,57.0,63.2,2.6,2.4,1.4,35.0,38.0,12.0,0.0,60.0,484.0,411.0,71.0,18.0,3.0,1.0,44,5.0,39.0,19.0,13.0,1.0,394.0,2.0,4.0,61.0,5.45,40.0,14.0,3.0,0.0,3.0,1.0,4.0,0.36,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1,1.0,2.0,0.0,3.0,12.0,25.0,9.0,7.0,2.0,5.0,3,6.0,5.0,0.0,584.0,10.0,45.0,333.0,214.0,6.0,584.0,39.0,28.0,71.8,11.0,28.2,327.0,1996.0,863.0,24.0,22.0,2.0,17.0,14.0,412.0,37.0,15,1007,67,40.0,11.2,12,79.0,5,3,18.0,2,1.2,11,11,0,0.0,0.48,12.3,13.1,-0.8,-0.07,0.54,0,7,33,0,44,1,0.0,0.0,0,55.0,9.0,18.0,33.3,-,Right Winger,6/5/1995,,Mali,FerencvÃƒÂ¡rosi TC,1.78,left,8/20/2018,TP Mazembe,6/30/2025,30000000.0,https://www.transfermarkt.com/adama-traore/profil/spieler/364405
4,842,4703,Anastasios Donis_2020_Reims,-3.2016305835715686,1.28,2020,Reims,Ligue 1,Anastasios Donis,GRE,FW,22,1996,15,6,609,6.8,0,0,0,0,0,0,1,0,1.4,1.4,0.3,1.7,26.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,0.25,0.21,0.25,https://fbref.com/en/players/0f26fd24/Anastasios-Donis,6.8,0,16,7,43.8,2.36,1.03,0.0,0.0,21.5,0.0,0,0,0.09,-1.4,-1.4,66.0,122.0,54.1,1074.0,159.0,33.0,50.0,66.0,28.0,49.0,57.1,5.0,14.0,35.7,0.3,0.2,-0.3,6.0,1.0,1.0,1.0,3.0,122.0,113.0,9.0,0.0,0.0,0.0,23,3.0,1.0,0.0,1.0,0.0,66.0,0.0,8.0,12.0,1.77,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,2.0,1.0,0.0,1.0,9.0,11.1,8.0,2.0,0.0,2.0,1,4.0,3.0,0.0,193.0,4.0,17.0,76.0,108.0,20.0,193.0,33.0,21.0,63.6,12.0,36.4,125.0,1331.0,585.0,26.0,16.0,6.0,14.0,7.0,137.0,44.0,15,609,41,24.2,6.8,6,66.0,0,9,23.0,4,1.33,5,5,0,0.0,-0.24,8.5,6.2,2.3,0.33,0.34,0,18,8,5,23,2,0.0,0.0,0,20.0,8.0,24.0,25.0,-,Right Winger,8/29/1996,,Greece,Stade Reims,1.78,right,7/1/2020,VfB Stuttgart,6/30/2024,1000000.0,https://www.transfermarkt.com/anastasios-donis/profil/spieler/243606
5,1086,1848,Angel Di Maria_2019_Paris S-G,2.192220728218921,88.46000000000001,2019,Paris S-G,Ligue 1,ÃƒÂngel Di MarÃƒÂ­a,ARG,"FW,MF",30,1988,30,28,2324,25.8,12,11,23,12,0,0,2,0,8.7,8.7,7.8,16.5,98.0,151.0,277.0,0.46,0.43,0.89,0.46,0.89,0.34,0.3,0.64,0.34,0.64,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,25.8,12,97,30,30.9,3.76,1.16,0.12,0.4,19.6,9.0,0,0,0.09,3.3,3.3,1042.0,1439.0,72.4,15546.0,4506.0,571.0,676.0,84.5,302.0,405.0,74.6,86.0,200.0,43.0,7.8,9.5,3.2,55.0,90.0,58.0,6.0,151.0,1439.0,1295.0,136.0,39.0,26.0,16.0,149,20.0,72.0,41.0,14.0,1.0,1042.0,8.0,34.0,103.0,3.99,69.0,15.0,9.0,6.0,4.0,0.0,26.0,1.01,15.0,4.0,4.0,2.0,1.0,0.0,29.0,17,12.0,10.0,7.0,10.0,42.0,23.8,32.0,24.0,1.0,23.0,16,45.0,4.0,0.0,1748.0,16.0,119.0,711.0,937.0,136.0,1747.0,84.0,41.0,48.8,42.0,50.0,1086.0,6038.0,3283.0,98.0,74.0,35.0,48.0,44.0,1342.0,277.0,30,2324,77,68.0,25.8,28,82.0,12,2,20.0,1,2.57,70,20,50,1.94,0.29,55.1,25.1,30.0,1.16,-0.59,0,11,19,6,149,17,1.0,0.0,0,100.0,0.0,2.0,0.0,-,Right Winger,2/14/1988,,Argentina,SL Benfica,1.8,left,8/6/2015,Manchester United,6/30/2024,32000000.0,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
6,1087,4564,Angel Di Maria_2020_Paris S-G,3.4974598611340912,94.87,2020,Paris S-G,Ligue 1,ÃƒÂngel Di MarÃƒÂ­a,ARG,"FW,MF",31,1988,26,23,2000,22.2,8,14,22,7,1,2,2,0,8.3,6.7,14.5,21.2,111.0,178.0,275.0,0.36,0.63,0.99,0.32,0.95,0.37,0.65,1.02,0.3,0.95,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,22.2,8,72,22,30.6,3.24,0.99,0.1,0.32,21.0,8.0,1,2,0.09,-0.3,0.3,908.0,1292.0,70.3,14893.0,4760.0,483.0,554.0,87.2,267.0,375.0,71.2,109.0,220.0,49.5,14.5,11.0,-0.5,77.0,82.0,82.0,15.0,178.0,1292.0,1133.0,142.0,27.0,30.0,14.0,175,26.0,89.0,53.0,22.0,1.0,908.0,17.0,29.0,143.0,6.44,101.0,23.0,12.0,4.0,3.0,0.0,24.0,1.08,17.0,4.0,2.0,1.0,0.0,0.0,17.0,12,2.0,8.0,7.0,4.0,34.0,11.8,30.0,14.0,3.0,11.0,11,28.0,1.0,3.0,1584.0,4.0,81.0,635.0,883.0,117.0,1582.0,133.0,67.0,50.4,66.0,49.6,989.0,6153.0,3165.0,111.0,82.0,38.0,53.0,27.0,1219.0,275.0,26,2000,77,82.3,22.2,23,83.0,15,3,27.0,1,2.5,63,20,43,1.94,0.26,62.5,20.2,42.4,1.91,0.07,0,12,22,6,175,12,0.0,0.0,0,86.0,1.0,3.0,25.0,-,Right Winger,2/14/1988,,Argentina,SL Benfica,1.8,left,8/6/2015,Manchester United,6/30/2024,20000000.0,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
7,1088,7315,Angel Di Maria_2021_Paris S-G,2.6407655840342508,92.31,2021,Paris S-G,Ligue 1,ÃƒÂngel Di MarÃƒÂ­a,ARG,"FW,MF",32,1988,27,23,1853,20.6,4,9,13,4,0,0,1,0,4.7,4.7,11.2,15.9,90.0,159.0,219.0,0.19,0.44,0.63,0.19,0.63,0.23,0.55,0.77,0.23,0.77,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,20.6,4,60,17,28.3,2.91,0.83,0.07,0.24,21.5,6.0,0,0,0.08,-0.7,-0.7,885.0,1220.0,72.5,14565.0,5035.0,470.0,534.0,88.0,266.0,375.0,70.9,102.0,194.0,52.6,11.2,10.4,-2.2,69.0,106.0,76.0,12.0,159.0,1220.0,1072.0,140.0,28.0,16.0,17.0,188,31.0,79.0,39.0,24.0,0.0,885.0,8.0,28.0,132.0,6.41,82.0,24.0,9.0,7.0,9.0,1.0,18.0,0.87,13.0,1.0,1.0,1.0,2.0,0.0,26.0,17,6.0,8.0,12.0,11.0,45.0,24.4,34.0,14.0,1.0,13.0,6,32.0,7.0,0.0,1447.0,13.0,75.0,540.0,846.0,84.0,1447.0,78.0,40.0,51.3,38.0,48.7,962.0,5564.0,2661.0,90.0,67.0,24.0,56.0,22.0,1144.0,219.0,27,1853,69,54.2,20.6,23,76.0,7,4,25.0,2,2.04,47,13,34,1.65,0.27,47.1,20.7,26.4,1.28,0.53,0,11,26,8,188,17,1.0,0.0,0,59.0,0.0,1.0,0.0,-,Right Winger,2/14/1988,,Argentina,SL Benfica,1.8,left,8/6/2015,Manchester United,6/30/2024,12000000.0,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
8,1089,10234,Angel Di Maria_2022_Paris S-G,2.1587614062332063,87.18,2022,Paris S-G,Ligue 1,ÃƒÂngel Di MarÃƒÂ­a,ARG,FW,33,1988,26,19,1645,18.3,5,7,12,5,0,0,2,0,5.4,5.4,7.0,12.3,74.0,112.0,235.0,0.27,0.38,0.66,0.27,0.66,0.29,0.38,0.67,0.29,0.67,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,18.3,5,51,22,43.1,2.79,1.2,0.1,0.23,19.7,1.0,0,0,0.11,-0.4,-0.4,881.0,1182.0,74.5,14089.0,3752.0,473.0,548.0,86.3,277.0,365.0,75.9,84.0,157.0,53.5,7.0,7.7,0.0,54.0,69.0,43.0,14.0,112.0,1182.0,1088.0,86.0,15.0,10.0,14.0,122,21.0,49.0,22.0,18.0,0.0,881.0,8.0,22.0,104.0,5.69,76.0,16.0,6.0,4.0,2.0,0.0,12.0,0.66,11.0,0.0,0.0,0.0,1.0,0.0,29.0,18,6.0,13.0,10.0,14.0,37.0,37.8,23.0,17.0,0.0,17.0,6,35.0,3.0,0.0,1400.0,11.0,103.0,546.0,769.0,83.0,1400.0,61.0,31.0,50.8,30.0,49.2,997.0,6044.0,3000.0,74.0,67.0,27.0,46.0,16.0,1127.0,235.0,26,1645,63,48.1,18.3,19,79.0,4,7,20.0,3,2.12,39,13,26,1.42,0.0,39.4,18.4,21.0,1.15,0.34,0,9,14,7,122,18,1.0,0.0,0,71.0,0.0,0.0,,,Right Winger,,,,,,,,,,8000000.0,
9,1373,12889,Arnaud Nordin_2023_Montpellier,-0.2763351519894732,44.87,2023,Montpellier,Ligue 1,Arnaud Nordin,FRA,FW,24,1998,36,30,2401,26.7,9,3,12,9,0,0,4,0,6.5,6.5,2.9,9.4,109.0,63.0,181.0,0.34,0.11,0.45,0.34,0.45,0.24,0.11,0.35,0.24,0.35,https://fbref.com/en/players/7b9a9e25/Arnaud-Nordin,26.7,9,59,24,40.7,2.21,0.9,0.15,0.38,16.1,0.0,0,0,0.11,2.5,2.5,485.0,661.0,73.4,7015.0,1948.0,268.0,334.0,80.2,156.0,213.0,73.2,26.0,44.0,59.1,2.9,2.0,0.1,20.0,28.0,19.0,3.0,63.0,661.0,631.0,28.0,4.0,2.0,2.0,49,13.0,4.0,1.0,2.0,0.0,485.0,2.0,24.0,63.0,2.36,41.0,1.0,3.0,6.0,11.0,1.0,10.0,0.37,7.0,0.0,1.0,0.0,2.0,0.0,26.0,14,10.0,12.0,4.0,12.0,28.0,42.9,16.0,19.0,1.0,18.0,14,40.0,7.0,0.0,954.0,14.0,123.0,389.0,464.0,109.0,954.0,98.0,38.0,38.8,30.0,30.6,741.0,5545.0,2781.0,109.0,63.0,37.0,62.0,42.0,688.0,181.0,36,2401,67,70.2,26.7,30,75.0,7,6,25.0,1,1.31,50,41,9,0.34,0.87,36.9,38.8,-1.9,-0.07,0.64,0,21,82,4,49,14,2.0,0.0,0,120.0,21.0,59.0,26.3,7,Right Winger,6/17/1998,,France,,1.7,left,7/1/2022,AS Saint-Ãƒâ€°tienne,6/30/2025,7000000.0,https://www.transfermarkt.com/arnaud-nordin/profil/spieler/324811
10,1527,13020,Badredine Bouanani_2023_Nice,1.7966345623152693,85.9,2023,Nice,Ligue 1,Badredine Bouanani,ALG,"FW,MF",17,2004,19,9,863,9.6,0,4,4,0,0,0,0,0,1.7,1.7,3.5,5.2,47.0,31.0,98.0,0.0,0.42,0.42,0.0,0.42,0.18,0.36,0.54,0.18,0.54,https://fbref.com/en/players/0400dd2f/Badredine-Bouanani,9.6,0,24,10,41.7,2.5,1.04,0.0,0.0,21.1,1.0,0,0,0.07,-1.7,-1.7,288.0,378.0,76.2,4811.0,1017.0,146.0,169.0,86.4,102.0,125.0,81.6,29.0,59.0,49.2,3.5,2.6,0.5,22.0,18.0,18.0,8.0,31.0,378.0,352.0,25.0,6.0,6.0,5.0,47,6.0,13.0,6.0,2.0,0.0,288.0,1.0,12.0,45.0,4.7,28.0,3.0,8.0,3.0,2.0,1.0,7.0,0.73,5.0,0.0,0.0,2.0,0.0,0.0,13.0,9,2.0,7.0,4.0,7.0,14.0,50.0,7.0,4.0,0.0,4.0,1,14.0,2.0,0.0,498.0,1.0,61.0,203.0,243.0,35.0,498.0,51.0,27.0,52.9,20.0,39.2,406.0,3033.0,1541.0,47.0,25.0,16.0,23.0,13.0,389.0,98.0,19,863,45,25.2,9.6,9,71.0,1,10,22.0,3,1.63,12,7,5,0.52,0.31,15.5,10.8,4.7,0.49,0.21,0,9,21,1,47,9,0.0,0.0,0,43.0,1.0,7.0,12.5,35,Right Winger,12/8/2004,,Algeria,,1.77,left,7/7/2022,LOSC Lille B,6/30/2027,6000000.0,https://www.transfermarkt.com/badredine-bouanani/profil/spieler/707242
11,1584,1786,Bassem Srarfi_2019_Nice,-0.344679799492149,42.309999999999995,2019,Nice,Ligue 1,Bassem Srarfi,TUN,"FW,MF",21,1997,22,8,817,9.1,1,0,1,1,0,0,2,0,1.6,1.6,1.1,2.7,32.0,26.0,85.0,0.11,0.0,0.11,0.11,0.11,0.18,0.12,0.29,0.18,0.29,https://fbref.com/en/players/84549a07/Bassem-Srarfi,9.1,1,11,3,27.3,1.21,0.33,0.09,0.33,19.4,0.0,0,0,0.15,-0.6,-0.6,258.0,331.0,77.9,4022.0,723.0,137.0,159.0,86.2,88.0,110.0,80.0,19.0,28.0,67.9,1.1,0.9,-1.1,9.0,13.0,5.0,2.0,26.0,331.0,317.0,13.0,3.0,0.0,3.0,20,5.0,3.0,1.0,1.0,0.0,258.0,1.0,12.0,21.0,2.31,14.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,8.0,8.0,4.0,6.0,17.0,35.3,11.0,8.0,0.0,8.0,5,25.0,5.0,0.0,437.0,8.0,63.0,202.0,182.0,25.0,437.0,36.0,22.0,61.1,14.0,38.9,278.0,1842.0,957.0,32.0,20.0,8.0,20.0,8.0,317.0,85.0,22,817,37,23.9,9.1,8,74.0,1,14,16.0,8,0.91,5,9,-4,-0.44,-0.41,13.9,9.5,4.4,0.48,0.76,0,14,21,4,20,11,0.0,0.0,0,43.0,8.0,12.0,40.0,-,Right Winger,6/25/1997,,Tunisia,Al-Arabi SC (Kuwait),1.76,left,1/31/2017,Club Africain Tunis,6/30/2025,1600000.0,https://www.transfermarkt.com/bassem-srarfi/profil/spieler/401836
12,1740,1464,Bertrand Traore_2019_Lyon,1.506903042220271,84.61999999999999,2019,Lyon,Ligue 1,Bertrand TraorÃƒÂ©,BFA,FW,22,1995,34,24,2117,23.5,7,2,9,7,0,0,5,0,6.0,6.0,2.6,8.6,96.0,113.0,288.0,0.3,0.09,0.38,0.3,0.38,0.25,0.11,0.36,0.25,0.36,https://fbref.com/en/players/c47541e0/Bertrand-Traore,23.5,7,66,28,42.4,2.81,1.19,0.11,0.25,17.2,2.0,0,0,0.09,1.0,1.0,840.0,1041.0,80.7,12241.0,2726.0,495.0,566.0,87.5,253.0,317.0,79.8,56.0,76.0,73.7,2.6,2.7,-0.6,24.0,57.0,41.0,5.0,113.0,1041.0,1013.0,26.0,5.0,4.0,7.0,30,12.0,4.0,2.0,1.0,0.0,840.0,2.0,25.0,93.0,3.95,63.0,0.0,15.0,4.0,11.0,0.0,15.0,0.64,11.0,0.0,3.0,0.0,1.0,0.0,36.0,22,19.0,13.0,4.0,12.0,26.0,46.2,14.0,23.0,5.0,18.0,15,51.0,18.0,0.0,1372.0,20.0,130.0,604.0,652.0,118.0,1372.0,90.0,52.0,57.8,38.0,42.2,1006.0,5940.0,2900.0,96.0,54.0,47.0,64.0,36.0,1092.0,288.0,34,2117,62,61.9,23.5,24,82.0,9,10,16.0,3,1.85,40,32,8,0.34,-0.7,44.8,26.7,18.1,0.77,-0.04,0,21,45,18,30,22,3.0,0.0,0,97.0,23.0,33.0,41.1,-,Right Winger,9/6/1995,,Burkina Faso,Aston Villa,1.81,left,7/1/2017,Chelsea FC,6/30/2024,9500000.0,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996
13,1741,4058,Bertrand Traore_2020_Lyon,1.0779077529033214,76.92,2020,Lyon,Ligue 1,Bertrand TraorÃƒÂ©,BFA,"FW,MF",23,1995,23,14,1253,13.9,1,3,4,1,0,0,6,0,3.7,3.7,3.2,6.9,36.0,52.0,132.0,0.07,0.22,0.29,0.07,0.29,0.26,0.23,0.49,0.26,0.49,https://fbref.com/en/players/c47541e0/Bertrand-Traore,13.9,1,36,11,30.6,2.59,0.79,0.03,0.09,16.4,2.0,0,0,0.1,-2.7,-2.7,433.0,584.0,74.1,7187.0,2331.0,217.0,251.0,86.5,144.0,192.0,75.0,49.0,91.0,53.8,3.2,2.8,-0.2,26.0,25.0,21.0,6.0,52.0,584.0,511.0,69.0,22.0,2.0,8.0,77,10.0,35.0,21.0,3.0,1.0,433.0,4.0,12.0,58.0,4.17,30.0,12.0,10.0,2.0,3.0,1.0,7.0,0.5,4.0,1.0,1.0,0.0,1.0,0.0,27.0,14,8.0,12.0,7.0,8.0,19.0,42.1,11.0,17.0,2.0,15.0,21,48.0,16.0,0.0,820.0,15.0,92.0,338.0,399.0,62.0,820.0,62.0,33.0,53.2,29.0,46.8,503.0,2692.0,1171.0,36.0,26.0,18.0,44.0,25.0,563.0,132.0,23,1253,54,49.7,13.9,14,75.0,4,9,22.0,4,1.35,28,11,17,1.22,1.36,22.3,13.3,8.9,0.64,0.53,0,21,19,3,77,14,1.0,0.0,0,64.0,15.0,19.0,44.1,-,Right Winger,9/6/1995,,Burkina Faso,Aston Villa,1.81,left,7/1/2017,Chelsea FC,6/30/2024,20000000.0,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996
14,1856,12620,Bradley Barcola_2023_Lyon,0.37106558927566713,60.260000000000005,2023,Lyon,Ligue 1,Bradley Barcola,FRA,"FW,MF",19,2002,26,15,1440,16.0,5,8,13,5,0,0,3,0,3.5,3.5,3.9,7.4,51.0,39.0,156.0,0.31,0.5,0.81,0.31,0.81,0.22,0.25,0.46,0.22,0.46,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,16.0,5,27,13,48.1,1.69,0.81,0.19,0.38,13.6,0.0,0,0,0.13,1.5,1.5,324.0,466.0,69.5,4152.0,1140.0,210.0,276.0,76.1,85.0,124.0,68.5,8.0,17.0,47.1,3.9,4.2,4.1,25.0,21.0,20.0,4.0,39.0,466.0,460.0,3.0,0.0,0.0,1.0,21,3.0,0.0,0.0,0.0,0.0,324.0,3.0,17.0,39.0,2.44,32.0,0.0,4.0,2.0,0.0,1.0,10.0,0.63,10.0,0.0,0.0,0.0,0.0,0.0,25.0,16,8.0,10.0,7.0,8.0,39.0,20.5,31.0,29.0,0.0,29.0,19,44.0,10.0,0.0,666.0,10.0,81.0,243.0,355.0,108.0,666.0,80.0,40.0,50.0,38.0,47.5,481.0,3202.0,1403.0,51.0,30.0,30.0,36.0,8.0,444.0,156.0,26,1440,55,42.1,16.0,15,83.0,8,11,18.0,5,1.69,34,18,16,1.0,0.91,25.2,24.2,1.0,0.06,-0.32,0,24,7,7,21,16,0.0,0.0,0,60.0,16.0,32.0,33.3,26,Right Winger,9/2/2002,,France,,1.86,right,1/7/2022,Olympique Lyon B,6/30/2026,18000000.0,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265
